Nro_Orden_Establecimiento;Periodo;C4RGC2;C4RGC4;C4RGC5;MANTRSCON;C4RGC6;CVPROGRSCONV;CVPROGRESPEL;TOTARSOL;C4RGA1aRO;C4RGA1cRO;RSORGRECICLA;C4RGA1bRO;C4RGA1dRO;RSORGVENTA;C4RGA1eRO;C4RGA2aPC;C4RGA2cPC;RSPAPELRECICLA;C4RGA2bPC;C4RGA2dPC;RSPAPELVENTA;C4RGA2ePC;C4RGA3aP;C4RGA3cP;RSPLASTRECICLA;C4RGA3bP;C4RGA3dP;RSPLASTVENTA;C4RGA3eP;C4RGA4aV;C4RGA4cV;RSVIDRIORECICLA;C4RGA4bV;C4RGA4dV;RSVIDRIOVENTA;C4RGA4eV;C4RGA5aMT;C4RGA5cMT;RSMETALRECICLA;C4RGA5bMT;C4RGA5dMT;RSMETALVENTA;C4RGA5eMT;C4RGA6aT;C4RGA6cT;RSTEXTILRECICLA;C4RGA6bT;C4RGA6dT;RSTEXTILVENTA;C4RGA6eT;C4RGA7aNMT;C4RGA7cNMT;RSNOMETALRECICLA;C4RGA7bNMT;C4RGA7dNMT;RSNOMETALVENTA;C4RGA7eNMT;RSMIXQ;RSMIXREUQ;RSMIXRECICLAQ;RSMIXDONAQ;RSMIXENTREGQ;RSMIXVENTAQ;RSMIXVENTAI;C4RGA8a;C4RGA8c;RSRECICLAT;C4RGA8b;C4RGA8d;RSVENTAT;C4RGA8e;C4RGA9VCRR;C4RGA10e;C4RGA10a;C4RGA10b;C4RGA10c;C4RGA10d;C4RGB1a;C4RGB1c;C4RGB1d;C4RGB1e;C4RGB1f;C4RGB3a;C4RGB3c;C4RGB3d;C4RGB3e;C4RGB3f;C4RGB4a;C4RGB4c;C4RGB4d;C4RGB4e;C4RGB4f;C4RGB5a;C4RGB5c;C4RGB5d;C4RGB5e;C4RGB5f;C4RGB6a;C4RGB6c;C4RGB6d;C4RGB6e;C4RGB6f;C4RGB7a;C4RGB7c;C4RGB7d;C4RGB7e;C4RGB7f;C4RGB8a;C4RGB8c;C4RGB8d;C4RGB8e;C4RGB8f;C4RGB9a;C4RGB9c;C4RGB9d;C4RGB9e;C4RGB9f;C4RGB10a;C4RGB10c;C4RGB10d;C4RGB10e;C4RGB10f;C4RGB11a;C4RGB11c;C4RGB11d;C4RGB11e;C4RGB11f;Otro_Respel_01;C4RGB12a;C4RGB12c;C4RGB12d;C4RGB12e;C4RGB12f;Otro_Respel_02;V13a;V13c;V13d;V13e;V13f;Otro_Respel_03;V14a;V14c;V14d;V14e;V14f;C4RGB13Ta;TOTALMA;TOTALAPROVE;TOTALTRAT;TOTALINCI;C4RGB2TOT;Sede;CODSUBSEDE;Subsede;NOVEDAD;ESTADO
296886259;2013;0;0;0;0;1566;0;0;1566;21900;0;0;0;21900;0;0;780;0;0;0;780;0;0;456;0;0;0;456;0;0;540;0;0;0;540;0;0;324;0;0;0;324;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;16;0;0;0;16;0;0;24066;0;0;0;24066;0;0;3180;X; ; ; ; ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;0;0;0;0;0;0;Medellín;6;Medellín;99;5
296886263;2013;0;0;0;0;1428;0;0;1428;6545;6545;0;0;0;0;0;1501;0;0;0;0;1501;62;303;0;0;0;0;303;62;1099;0;0;0;0;1099;62;780;0;0;0;0;780;60;0;0;0;0;0;0;0;710;0;0;0;710;0;0;1126;0;0;0;1126;0;0;12691;6545;0;0;2463;3683;246;3360;X; ; ; ; ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;0;0;0;0;0;0;Medellín;6;Medellín;99;5
296886264;2013;0;0;0;0;0;0;0;0;8535;0;0;8535;0;0;0;808;0;0;808;0;0;0;363;0;0;363;0;0;0;850;0;0;850;0;0;0;115;0;0;115;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11845;0;0;0;11845;0;0;24676;0;0;10671;14005;0;0;1255;X; ; ; ; ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;0;0;0;0;0;0;Medellín;6;Medellín;99;5
375263;2013;893;2000;0;1800;6000;0;0;10693;3462;0;0;0;3462;0;0;1200;0;0;0;1200;0;0;200;0;0;0;200;0;0;100;0;0;0;100;0;0;30;0;0;0;30;0;0;250;0;0;0;250;0;0;0;0;0;0;0;0;0;300;0;0;0;300;0;0;5742;0;0;0;5742;0;0;6918; ; ; ;X; ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;70;70;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;70;70;0;0;0;158;Medellín;6;Medellín;99;5
297730508;2013;0;0;0;159;634;0;0;793;92895;0;0;92895;0;0;0;2336;0;0;0;2336;0;0;236;0;0;0;236;0;0;3186;0;0;0;3186;0;0;1521;0;0;0;1521;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4683;0;0;0;4683;0;0;105669;0;0;92895;12774;0;0;11293; ; ;X; ; ;1;0;0;0;1;25;0;0;0;25;0;0;0;0;0;0;0;0;0;0;126;0;126;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;18;0;0;0;18;0;0;0;0;0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;170;0;126;0;44;349;Medellín;6;Medellín;99;5
375941;2013;500;0;0;500;2808;0;0;3808;3000;0;0;0;3000;0;0;600;0;0;600;0;0;0;600;0;0;600;0;0;0;600;0;0;600;0;0;0;300;0;0;300;0;0;0;0;0;0;0;0;0;0;300;0;0;0;300;0;0;0;0;0;0;0;0;0;6000;0;0;2100;3900;0;0;5742; ; ; ;X; ;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;0;0;0;1;0;Medellín;6;Medellín;99;5
457974;2013;0;0;0;1267;1044;0;0;2311;20633;0;0;20633;0;0;0;3673;0;3673;0;0;0;0;996;0;996;0;0;0;0;1543;0;1543;0;0;0;0;335;0;335;0;0;0;0;1500;0;0;1500;0;0;0;80;0;80;0;0;0;0;6949;0;0;0;6949;0;0;42656;0;6627;22133;13896;0;0;1115;X; ; ; ; ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;0;0;0;0;0;0;Medellín;6;Medellín;99;5
9787477;2013;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;45351;1;0;0;45350;0;0;45352;1;0;0;45351;0;0;1945;X; ; ; ; ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;0;0;0;0;0;0;Medellín;6;Medellín;99;5
297826674;2013;294;0;0;0;1279;0;0;1573;4500;4500;0;0;0;0;0;930;0;0;930;0;0;0;450;0;0;450;0;0;0;230;0;0;230;0;0;0;230;0;0;230;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7140;4500;0;1840;800;0;0;14280;9000;0;3680;1600;0;0;3537;X; ; ; ; ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;0;0;0;0;0;0;Medellín;6;Medellín;99;5
297730522;2013;300;0;0;100;960;0;0;1360;40000;7000;0;33000;0;0;0;1800;40;0;0;10;1750;1300;850;15;0;0;50;785;510;2000;0;0;0;0;2000;1200;500;0;0;0;0;500;625;200;50;0;150;0;0;0;20000;20000;0;0;0;0;0;70;0;0;0;70;0;0;65440;27105;0;33150;150;5035;3635;6855; ; ; ; ;X;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;0;0;0;0;0;0;Medellín;6;Medellín;99;5
