Nro_Orden_Establecimiento;Periodo;C3RHE1;C3RHE2;C3RHE5;PROGAHORR;TOTALARH;C3RHC1PTU;C3RHC4RCASUP;C3RHC5RCASUB;C3RHC6PMS;MULTABAS;C3RHC7TOGT;C3RHA1cAC;C3RHA1dAC;VOCONSBL;VACONSBLQ;C3RHA5cCT;C3RHA5dCT;VOLBOTLL;VRBOTLL;C3RHA6cALL;C3RHA7cTVU1;C3RHA7dTVPCA;C3RHA2aSUP;C3RHA2bSUP;FECHADESDESUP;FECHAHASTASUP;C3RHA2cSUP;C3RHA3aSUB;C3RHA3bSUB;FECHADESDESUB;FECHAHASTASUB;C3RHA3cSUB;C3RHA4aAM;C3RHA4bAM;FECHADESDEMAR;FECHAHASTAMAR;C3RHA4cAM;C3RHA7aTVC;C3RHA7bTPC;C3RHA7cTVU2;C3RHA7cTVU;CODSEDE;Sede;CODSUBSEDE;Subsede;NOVEDAD;ESTADO
371773;2013;0;0;0;0;0;0;0;0;0;0;0;2040;6004;0;0;0;0;0;0;0;2040;6004;0;0; ; ;0;0;0; ; ;0;0;0; ; ;0;0;0;0;2040;1;Barranquilla;1;Barranquilla;99;5
442290;2013;0;0;0;0;0;0;0;0;0;0;0;160;2331;720;0;0;0;0;0;500;1380;2331;0;0; ; ;0;0;0; ; ;0;0;0; ; ;0;0;0;0;1380;1;Barranquilla;22;San Andrés;99;5
125800;2013;0;0;640;0;640;26;0;0;0;0;26;7432;17836;0;0;0;0;0;0;0;7432;17836;0;0; ; ;0;0;0; ; ;0;0;0; ; ;0;0;0;0;7432;1;Barranquilla;1;Barranquilla;99;5
297826960;2013;0;0;0;0;0;5;0;0;0;0;5;1072;2599;0;0;0;0;0;0;0;1072;2599;0;0; ; ;0;0;0; ; ;0;0;0; ; ;0;0;0;0;1072;2;Bogotá;2;Bogotá;99;5
297821378;2013;0;153;0;5324;5477;3;0;0;0;0;3;2614;5760;0;0;0;0;0;0;0;2614;5760;0;0; ; ;0;0;0; ; ;0;0;0; ; ;0;0;0;0;2614;2;Bogotá;18;Villavicencio;99;5
444265;2013;0;0;0;0;0;2;0;0;0;0;2;3684;3942;0;0;0;0;0;0;0;3684;3942;0;0; ; ;0;0;0; ; ;0;0;0; ; ;0;0;0;0;3684;3;Bucaramanga;10;Cúcuta;99;5
297730497;2013;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;29000;280;09/09/2012;08/09/2014;18698;0;0; ; ;0;0;0; ; ;0;29000;280;18698;18698;5;Manizales;7;Pereira;99;5
297822798;2013;0;1000;1000;500;2500;74238;0;0;0;0;74238;2932;2895;0;0;0;0;0;0;0;2932;2895;0;0; ; ;0;0;0; ; ;0;0;0; ; ;0;0;0;0;2932;6;Medellín;6;Medellín;99;5
297826670;2013;0;0;0;0;0;0;0;0;0;0;0;23356;56721;0;0;0;0;0;0;0;23356;56721;0;0; ; ;0;0;0; ; ;0;0;0; ; ;0;0;0;0;23356;1;Barranquilla;1;Barranquilla;99;5
297826831;2013;0;0;0;0;0;47;0;0;0;0;47;27735;66233;0;0;0;0;0;0;0;27735;66233;0;0; ; ;0;0;0; ; ;0;0;0; ; ;0;0;0;0;27735;1;Barranquilla;1;Barranquilla;99;5
