Nro_Orden_Establecimiento;Periodo;NUMHAB;NUMCAMA;IHPN;IHPT;CODSEDE;Sede;CODSUBSEDE;Subsede;NOVEDAD;ESTADO
371773;2013;20;45;5021;5021;1;Barranquilla;1;Barranquilla;99;5
442290;2013;24;56;8698;2616;1;Barranquilla;22;San Andrés;99;5
125800;2013;90;101;16088;7041;1;Barranquilla;1;Barranquilla;99;5
297826960;2013;100;137;24418;11187;2;Bogotá;2;Bogotá;99;5
297821378;2013;50;143;7888;5590;2;Bogotá;18;Villavicencio;99;5
444265;2013;80;143;13397;9568;3;Bucaramanga;10;Cúcuta;99;5
297730497;2013;50;136;8448;4728;5;Manizales;7;Pereira;99;5
297822798;2013;127;184;22230;14073;6;Medellín;6;Medellín;99;5
297826670;2013;109;150;23502;14344;1;Barranquilla;1;Barranquilla;99;5
297826831;2013;72;94;20012;14101;1;Barranquilla;1;Barranquilla;99;5
297826723;2013;176;216;56499;52764;1;Barranquilla;1;Barranquilla;99;5
441900;2013;45;71;21600;8640;1;Barranquilla;9;Cartagena;99;5
297826718;2013;142;191;57551;57551;1;Barranquilla;1;Barranquilla;99;5
297826953;2013;76;294;33350;33071;1;Barranquilla;1;Barranquilla;99;5
297826792;2013;106;144;14276;10222;1;Barranquilla;1;Barranquilla;99;5
297826898;2013;193;314;23479;21663;1;Barranquilla;1;Barranquilla;99;5
296886290;2013;79;280;42901;17229;1;Barranquilla;9;Cartagena;99;5
9816110;2013;77;104;25464;9709;1;Barranquilla;1;Barranquilla;99;5
9815988;2013;58;126;5756;2872;1;Barranquilla;1;Barranquilla;99;5
297826722;2013;49;59;9327;9327;1;Barranquilla;1;Barranquilla;99;5
297827969;2013;44;96;10321;10321;1;Barranquilla;1;Barranquilla;99;5
297819041;2013;118;146;36715;36715;1;Barranquilla;1;Barranquilla;99;5
452218;2013;126;188;46512;46512;1;Barranquilla;1;Barranquilla;99;5
441772;2013;56;116;22885;22885;1;Barranquilla;1;Barranquilla;99;5
441802;2013;50;62;19265;19265;1;Barranquilla;1;Barranquilla;99;5
441854;2013;11;43;2252;2252;1;Barranquilla;1;Barranquilla;99;5
297826799;2013;32;42;6731;5327;2;Bogotá;2;Bogotá;99;5
297718659;2013;112;148;19901;11510;2;Bogotá;2;Bogotá;99;5
297826796;2013;36;43;4395;4277;2;Bogotá;2;Bogotá;99;5
297827958;2013;82;164;40290;22568;2;Bogotá;2;Bogotá;99;5
297827000;2013;66;80;22833;19301;2;Bogotá;2;Bogotá;99;5
414681;2013;97;133;23953;22542;2;Bogotá;2;Bogotá;99;5
382101;2013;47;117;8561;5421;4;Cali;15;Popayán;99;5
297826978;2013;330;473;81382;58254;2;Bogotá;2;Bogotá;99;5
297826677;2013;76;93;21959;18205;2;Bogotá;2;Bogotá;99;5
297826828;2013;108;116;25924;25824;2;Bogotá;2;Bogotá;99;5
297826830;2013;63;85;18477;14399;2;Bogotá;2;Bogotá;99;5
452491;2013;18;25;7942;2581;1;Barranquilla;9;Cartagena;99;5
9807355;2013;251;273;66989;47645;2;Bogotá;2;Bogotá;99;5
297826832;2013;69;138;20504;17119;2;Bogotá;2;Bogotá;99;5
297826833;2013;336;428;90177;84577;2;Bogotá;2;Bogotá;99;5
297826834;2013;219;353;88000;71762;2;Bogotá;2;Bogotá;99;5
452129;2013;65;130;15449;8872;2;Bogotá;2;Bogotá;99;5
9807356;2013;44;88;8554;3324;2;Bogotá;2;Bogotá;99;5
9807357;2013;52;104;11557;7206;2;Bogotá;2;Bogotá;99;5
297826941;2013;32;61;8467;6648;2;Bogotá;2;Bogotá;99;5
297826946;2013;95;118;32549;19107;2;Bogotá;2;Bogotá;99;5
297826982;2013;100;186;33075;25314;2;Bogotá;2;Bogotá;99;5
296886228;2013;89;198;32520;20620;1;Barranquilla;9;Cartagena;99;5
297826663;2013;39;78;13762;10670;2;Bogotá;2;Bogotá;99;5
297826985;2013;42;86;19082;14977;2;Bogotá;2;Bogotá;99;5
297826986;2013;58;98;21691;16596;2;Bogotá;2;Bogotá;99;5
297838044;2013;53;100;10208;7278;2;Bogotá;17;Tunja;99;5
409910;2013;62;185;62517;29770;5;Manizales;11;Ibagué;99;5
450883;2013;70;104;20076;14340;2;Bogotá;2;Bogotá;99;5
297839484;2013;56;112;22391;9994;2;Bogotá;2;Bogotá;99;5
299303284;2013;244;356;81178;63393;2;Bogotá;2;Bogotá;99;5
337133;2013;62;92;19130;15839;2;Bogotá;2;Bogotá;99;5
75000;2013;12;80;3189;1116;1;Barranquilla;16;Santa Marta;99;5
75007;2013;20;40;3874;2597;2;Bogotá;2;Bogotá;99;5
410376;2013;13;35;2872;1298;1;Barranquilla;16;Santa Marta;99;5
296886229;2013;72;136;15058;6552;1;Barranquilla;16;Santa Marta;99;5
296914023;2013;13;26;1053;388;1;Barranquilla;16;Santa Marta;99;5
297718272;2013;92;125;13168;6766;2;Bogotá;2;Bogotá;99;5
297826922;2013;42;84;17440;5328;2;Bogotá;2;Bogotá;99;5
451251;2013;28;64;10736;6524;1;Barranquilla;9;Cartagena;99;5
451446;2013;36;129;13860;13860;1;Barranquilla;16;Santa Marta;99;5
455513;2013;578;1598;109903;75787;2;Bogotá;2;Bogotá;99;5
9807403;2013;238;444;62092;33987;2;Bogotá;2;Bogotá;99;5
297730683;2013;78;110;27375;14293;4;Cali;4;Cali;99;5
296886232;2013;80;419;71982;71982;2;Bogotá;2;Bogotá;99;5
296886233;2013;47;225;44986;44986;2;Bogotá;2;Bogotá;99;5
296886234;2013;209;992;148082;148082;2;Bogotá;2;Bogotá;99;5
296886235;2013;66;282;66388;66388;2;Bogotá;2;Bogotá;99;5
296886236;2013;75;320;58835;58835;2;Bogotá;2;Bogotá;99;5
3834328;2013;72;123;26658;9586;2;Bogotá;2;Bogotá;99;5
297826903;2013;142;227;25396;10922;2;Bogotá;2;Bogotá;99;5
451463;2013;66;132;18719;17203;2;Bogotá;2;Bogotá;99;5
451466;2013;41;82;11529;10956;2;Bogotá;2;Bogotá;99;5
297826734;2013;194;248;83915;55153;2;Bogotá;2;Bogotá;99;5
297826735;2013;304;418;114748;71916;2;Bogotá;2;Bogotá;99;5
452253;2013;167;467;99214;47934;2;Bogotá;2;Bogotá;99;5
296886239;2013;142;590;105517;83673;5;Manizales;11;Ibagué;99;5
452256;2013;63;176;23451;18126;5;Manizales;11;Ibagué;99;5
297826882;2013;36;71;8975;6750;2;Bogotá;2;Bogotá;99;5
297826889;2013;145;284;31899;10604;2;Bogotá;2;Bogotá;99;5
297826988;2013;82;127;14159;12451;2;Bogotá;2;Bogotá;99;5
457978;2013;25;50;2876;2587;2;Bogotá;2;Bogotá;99;5
457979;2013;23;41;649;573;2;Bogotá;2;Bogotá;99;5
297718280;2013;70;240;6687;4654;2;Bogotá;2;Bogotá;99;5
451402;2013;12;25;4917;4620;2;Bogotá;2;Bogotá;99;5
297826991;2013;39;58;8008;4484;2;Bogotá;2;Bogotá;99;5
9807346;2013;41;82;11343;11343;2;Bogotá;2;Bogotá;99;5
9807408;2013;137;287;56638;7063;2;Bogotá;2;Bogotá;99;5
297826672;2013;53;101;15650;7637;2;Bogotá;2;Bogotá;99;5
297838058;2013;46;64;8502;8226;2;Bogotá;2;Bogotá;99;5
297827017;2013;24;48;6582;4757;2;Bogotá;2;Bogotá;99;5
297826791;2013;48;74;14102;9217;2;Bogotá;2;Bogotá;99;5
297826945;2013;51;106;14922;10216;2;Bogotá;2;Bogotá;99;5
297838050;2013;50;127;26066;3564;2;Bogotá;91;Leticia;99;5
299303287;2013;73;81;17612;16311;2;Bogotá;2;Bogotá;99;5
9815066;2013;28;60;6983;3830;2;Bogotá;2;Bogotá;99;5
297823688;2013;8;26;1794;1378;2;Bogotá;2;Bogotá;99;5
297821685;2013;12;33;1457;564;2;Bogotá;2;Bogotá;99;5
450816;2013;53;57;10848;4848;2;Bogotá;2;Bogotá;99;5
74977;2013;13;26;7447;5242;2;Bogotá;2;Bogotá;99;5
407032;2013;30;31;7583;3567;2;Bogotá;2;Bogotá;99;5
297824160;2013;21;30;6674;4564;2;Bogotá;2;Bogotá;99;5
297834339;2013;8;14;235;180;2;Bogotá;2;Bogotá;99;5
297822959;2013;8;22;2331;1712;2;Bogotá;2;Bogotá;99;5
297822527;2013;12;32;3068;2921;2;Bogotá;2;Bogotá;99;5
297826739;2013;64;68;14956;11208;2;Bogotá;2;Bogotá;99;5
297823552;2013;24;48;4268;3880;2;Bogotá;2;Bogotá;99;5
297822516;2013;15;17;5907;5881;2;Bogotá;2;Bogotá;99;5
449312;2013;12;28;2879;1256;2;Bogotá;2;Bogotá;99;5
297825166;2013;8;14;1927;1307;2;Bogotá;2;Bogotá;99;5
297820854;2013;7;13;640;171;2;Bogotá;2;Bogotá;99;5
297823234;2013;9;28;6571;2172;2;Bogotá;2;Bogotá;99;5
297826977;2013;46;63;14837;14584;2;Bogotá;2;Bogotá;99;5
297826749;2013;59;70;15110;15110;2;Bogotá;2;Bogotá;99;5
297823613;2013;52;63;5110;2600;2;Bogotá;2;Bogotá;99;5
297827058;2013;9;20;964;790;2;Bogotá;2;Bogotá;99;5
297823853;2013;10;18;675;656;2;Bogotá;2;Bogotá;99;5
297824060;2013;10;20;2279;1819;2;Bogotá;2;Bogotá;99;5
297824123;2013;18;45;3897;2346;2;Bogotá;2;Bogotá;99;5
297823455;2013;5;16;303;233;2;Bogotá;2;Bogotá;99;5
297823642;2013;7;10;2276;2214;2;Bogotá;2;Bogotá;99;5
297818827;2013;6;11;2168;1203;2;Bogotá;2;Bogotá;99;5
297823431;2013;25;40;3905;3821;2;Bogotá;2;Bogotá;99;5
297839499;2013;24;72;9757;5329;2;Bogotá;2;Bogotá;99;5
297823062;2013;25;58;2142;1648;2;Bogotá;2;Bogotá;99;5
297827337;2013;95;204;6545;6460;2;Bogotá;2;Bogotá;99;5
413402;2013;19;30;1381;876;2;Bogotá;2;Bogotá;99;5
297822677;2013;30;45;909;817;2;Bogotá;2;Bogotá;99;5
297826662;2013;327;727;64563;52341;2;Bogotá;2;Bogotá;99;5
297822990;2013;45;85;4012;2663;2;Bogotá;2;Bogotá;99;5
450886;2013;20;28;2164;1898;2;Bogotá;2;Bogotá;99;5
297823265;2013;13;31;2458;707;2;Bogotá;2;Bogotá;99;5
297823601;2013;28;32;4577;3205;2;Bogotá;2;Bogotá;99;5
297821402;2013;16;18;5703;5703;2;Bogotá;2;Bogotá;99;5
297823258;2013;40;55;2920;2165;2;Bogotá;2;Bogotá;99;5
297819921;2013;8;24;1126;926;2;Bogotá;2;Bogotá;99;5
408533;2013;34;68;14842;10179;2;Bogotá;2;Bogotá;99;5
450869;2013;51;71;10313;7133;2;Bogotá;2;Bogotá;99;5
297823316;2013;16;22;515;332;2;Bogotá;2;Bogotá;99;5
297826835;2013;52;67;14863;14398;2;Bogotá;2;Bogotá;99;5
165923;2013;28;48;1438;1330;2;Bogotá;2;Bogotá;99;5
297826497;2013;14;28;6348;5379;2;Bogotá;2;Bogotá;99;5
297820374;2013;11;16;471;348;2;Bogotá;2;Bogotá;99;5
297819999;2013;21;34;2245;1247;2;Bogotá;2;Bogotá;99;5
297823669;2013;15;30;2839;2839;2;Bogotá;2;Bogotá;99;5
297834076;2013;22;27;2950;382;2;Bogotá;2;Bogotá;99;5
299303245;2013;12;36;2515;1150;2;Bogotá;2;Bogotá;99;5
441267;2013;75;155;14837;8442;2;Bogotá;2;Bogotá;99;5
441565;2013;12;24;2244;842;2;Bogotá;2;Bogotá;99;5
441566;2013;6;12;1450;589;2;Bogotá;2;Bogotá;99;5
441567;2013;12;48;3151;1353;2;Bogotá;2;Bogotá;99;5
441568;2013;11;24;2371;1198;2;Bogotá;2;Bogotá;99;5
441569;2013;10;20;2324;1294;2;Bogotá;2;Bogotá;99;5
441570;2013;16;42;3720;2330;2;Bogotá;2;Bogotá;99;5
450863;2013;10;40;2728;1348;2;Bogotá;2;Bogotá;99;5
297823534;2013;7;23;1397;855;2;Bogotá;2;Bogotá;99;5
299303246;2013;10;20;3350;964;2;Bogotá;2;Bogotá;99;5
297824086;2013;38;73;3690;2265;2;Bogotá;2;Bogotá;99;5
447079;2013;51;116;26616;18933;2;Bogotá;2;Bogotá;99;5
297826870;2013;239;311;79308;62288;2;Bogotá;2;Bogotá;99;5
297826640;2013;40;42;9726;9725;2;Bogotá;2;Bogotá;99;5
297826980;2013;55;142;28431;13948;2;Bogotá;2;Bogotá;99;5
299304555;2013;42;84;4988;2835;2;Bogotá;2;Bogotá;99;5
297826975;2013;76;92;24081;23095;2;Bogotá;2;Bogotá;99;5
297839506;2013;35;72;10155;9706;2;Bogotá;2;Bogotá;99;5
9807441;2013;42;64;4780;4156;2;Bogotá;2;Bogotá;99;5
9807448;2013;42;80;17736;9954;2;Bogotá;2;Bogotá;99;5
441825;2013;69;138;16299;13493;1;Barranquilla;16;Santa Marta;99;5
9795548;2013;23;81;5167;2665;2;Bogotá;18;Villavicencio;99;5
297826990;2013;60;81;22693;15292;2;Bogotá;2;Bogotá;99;5
297826738;2013;260;354;66896;66617;2;Bogotá;2;Bogotá;99;5
297839497;2013;213;448;74437;68470;2;Bogotá;2;Bogotá;99;5
297826642;2013;196;283;61935;42888;2;Bogotá;2;Bogotá;99;5
297718322;2013;60;120;14634;4403;2;Bogotá;2;Bogotá;99;5
297826647;2013;30;55;7770;5948;2;Bogotá;2;Bogotá;99;5
9815979;2013;47;122;9934;5737;1;Barranquilla;16;Santa Marta;99;5
299303285;2013;78;189;9979;3484;2;Bogotá;2;Bogotá;99;5
448987;2013;124;203;38090;26140;2;Bogotá;2;Bogotá;99;5
297730503;2013;24;48;2399;2399;1;Barranquilla;16;Santa Marta;99;5
297718312;2013;137;190;37736;29915;2;Bogotá;2;Bogotá;99;5
297718302;2013;242;253;74148;73828;2;Bogotá;2;Bogotá;99;5
297822448;2013;53;108;22884;12166;2;Bogotá;2;Bogotá;99;5
297839505;2013;188;228;56860;54328;2;Bogotá;2;Bogotá;99;5
297821308;2013;140;378;78053;36945;2;Bogotá;2;Bogotá;99;5
297718360;2013;55;64;12075;9413;2;Bogotá;2;Bogotá;99;5
297718363;2013;128;140;35540;24336;2;Bogotá;2;Bogotá;99;5
297718362;2013;132;280;21935;8179;2;Bogotá;2;Bogotá;99;5
297822336;2013;40;80;4054;2205;2;Bogotá;2;Bogotá;99;5
297717006;2013;54;74;12778;9575;2;Bogotá;2;Bogotá;99;5
297717021;2013;250;319;52141;51841;2;Bogotá;2;Bogotá;99;5
297717024;2013;75;115;14005;11414;2;Bogotá;2;Bogotá;99;5
297839796;2013;14;16;3009;1490;2;Bogotá;2;Bogotá;99;5
297818794;2013;25;28;3200;3150;2;Bogotá;2;Bogotá;99;5
283047;2013;24;68;6616;5560;2;Bogotá;2;Bogotá;99;5
297820580;2013;25;96;1679;559;2;Bogotá;85;Yopal;99;5
452232;2013;29;113;3625;1450;2;Bogotá;2;Bogotá;99;5
297718330;2013;40;60;7910;7284;2;Bogotá;2;Bogotá;99;5
297821918;2013;21;44;9276;882;2;Bogotá;2;Bogotá;99;5
297822767;2013;63;74;18101;12027;2;Bogotá;2;Bogotá;99;5
297822929;2013;41;105;8253;3667;2;Bogotá;2;Bogotá;99;5
299303275;2013;57;342;9842;7254;2;Bogotá;2;Bogotá;99;5
297827029;2013;11;30;1779;659;2;Bogotá;91;Leticia;99;5
297821059;2013;22;44;2907;947;2;Bogotá;91;Leticia;99;5
256628;2013;44;88;7022;3511;2;Bogotá;91;Leticia;99;5
297839502;2013;10;40;192;127;2;Bogotá;91;Leticia;99;5
297730495;2013;16;60;1501;950;2;Bogotá;91;Leticia;99;5
297827899;2013;41;102;10728;5364;2;Bogotá;91;Leticia;99;5
297827887;2013;2;8;1460;1460;2;Bogotá;91;Leticia;99;5
441040;2013;17;51;8700;3600;2;Bogotá;91;Leticia;99;5
297823991;2013;14;53;1865;770;2;Bogotá;2;Bogotá;99;5
444211;2013;30;42;1372;875;2;Bogotá;18;Villavicencio;99;5
297822054;2013;72;106;14046;9231;2;Bogotá;2;Bogotá;99;5
297819453;2013;45;93;5197;3755;2;Bogotá;2;Bogotá;99;5
450867;2013;24;68;10549;10449;2;Bogotá;2;Bogotá;99;5
441850;2013;44;166;29653;9723;1;Barranquilla;22;San Andrés;99;5
297823164;2013;20;48;5156;3682;2;Bogotá;2;Bogotá;99;5
297718671;2013;82;150;14785;14373;2;Bogotá;2;Bogotá;99;5
297717025;2013;64;86;8415;7934;2;Bogotá;2;Bogotá;99;5
297821128;2013;95;232;18767;3989;2;Bogotá;2;Bogotá;99;5
297826003;2013;64;76;12852;4045;2;Bogotá;2;Bogotá;99;5
297827332;2013;75;155;14837;8442;2;Bogotá;2;Bogotá;99;5
299304556;2013;12;18;840;209;2;Bogotá;2;Bogotá;99;5
297824845;2013;17;32;1690;1440;2;Bogotá;91;Leticia;99;5
297840105;2013;8;18;3000;1500;2;Bogotá;91;Leticia;99;5
297825821;2013;8;31;280;275;2;Bogotá;91;Leticia;99;5
297827619;2013;6;24;594;297;2;Bogotá;91;Leticia;99;5
297840102;2013;9;15;800;400;2;Bogotá;91;Leticia;99;5
297825685;2013;18;72;2303;808;2;Bogotá;91;Leticia;99;5
297823003;2013;8;25;3047;1172;2;Bogotá;91;Leticia;99;5
297826634;2013;32;76;2838;2664;2;Bogotá;91;Leticia;99;5
297822047;2013;9;28;1511;521;2;Bogotá;91;Leticia;99;5
446751;2013;11;30;830;332;2;Bogotá;91;Leticia;99;5
259709;2013;13;26;430;318;2;Bogotá;91;Leticia;99;5
297818963;2013;14;32;1805;668;2;Bogotá;91;Leticia;99;5
297840103;2013;13;45;435;174;2;Bogotá;91;Leticia;99;5
394762;2013;8;29;1410;470;2;Bogotá;91;Leticia;99;5
297833958;2013;16;39;309;273;2;Bogotá;91;Leticia;99;5
297823481;2013;8;38;1980;840;2;Bogotá;91;Leticia;99;5
297821674;2013;26;54;1900;1135;2;Bogotá;91;Leticia;99;5
299304550;2013;80;119;1281;897;2;Bogotá;2;Bogotá;99;5
297827324;2013;60;120;305;305;2;Bogotá;2;Bogotá;99;5
296886227;2013;58;59;8331;7985;2;Bogotá;2;Bogotá;99;5
297718270;2013;64;68;16960;14133;2;Bogotá;2;Bogotá;99;5
452147;2013;29;99;10605;6923;3;Bucaramanga;3;Bucaramanga;99;5
296886218;2013;65;148;17887;16485;3;Bucaramanga;3;Bucaramanga;99;5
297839501;2013;97;180;23953;22542;2;Bogotá;2;Bogotá;99;5
382102;2013;134;164;54566;45473;3;Bucaramanga;3;Bucaramanga;99;5
297826761;2013;59;104;11048;7397;3;Bucaramanga;3;Bucaramanga;99;5
296914019;2013;53;72;5879;5879;3;Bucaramanga;3;Bucaramanga;99;5
297826917;2013;162;268;21050;14431;3;Bucaramanga;3;Bucaramanga;99;5
297826729;2013;60;140;16014;10743;3;Bucaramanga;3;Bucaramanga;99;5
