Nro_Orden_Establecimiento;Periodo;IDDEPTO;CODSEDE;Sede;CODSUBSEDE;Subsede;NOVEDAD;ESTADO
297824160;2013;11;2;Bogotá;2;Bogotá;99;5
297834339;2013;11;2;Bogotá;2;Bogotá;99;5
297822959;2013;11;2;Bogotá;2;Bogotá;99;5
297822527;2013;11;2;Bogotá;2;Bogotá;99;5
297826739;2013;11;2;Bogotá;2;Bogotá;99;5
297823552;2013;11;2;Bogotá;2;Bogotá;99;5
297822516;2013;11;2;Bogotá;2;Bogotá;99;5
449312;2013;11;2;Bogotá;2;Bogotá;99;5
297825166;2013;11;2;Bogotá;2;Bogotá;99;5
297820854;2013;11;2;Bogotá;2;Bogotá;99;5
297823234;2013;11;2;Bogotá;2;Bogotá;99;5
297826977;2013;11;2;Bogotá;2;Bogotá;99;5
297826749;2013;11;2;Bogotá;2;Bogotá;99;5
297823613;2013;11;2;Bogotá;2;Bogotá;99;5
297827058;2013;11;2;Bogotá;2;Bogotá;99;5
297823853;2013;11;2;Bogotá;2;Bogotá;99;5
297824060;2013;11;2;Bogotá;2;Bogotá;99;5
297824123;2013;11;2;Bogotá;2;Bogotá;99;5
297823455;2013;11;2;Bogotá;2;Bogotá;99;5
297823642;2013;11;2;Bogotá;2;Bogotá;99;5
297818827;2013;11;2;Bogotá;2;Bogotá;99;5
297823431;2013;11;2;Bogotá;2;Bogotá;99;5
297839499;2013;11;2;Bogotá;2;Bogotá;99;5
297823062;2013;11;2;Bogotá;2;Bogotá;99;5
297827337;2013;11;2;Bogotá;2;Bogotá;99;5
413402;2013;11;2;Bogotá;2;Bogotá;99;5
297822677;2013;11;2;Bogotá;2;Bogotá;99;5
297826662;2013;11;2;Bogotá;2;Bogotá;99;5
297822990;2013;11;2;Bogotá;2;Bogotá;99;5
450886;2013;11;2;Bogotá;2;Bogotá;99;5
297823265;2013;11;2;Bogotá;2;Bogotá;99;5
297823601;2013;11;2;Bogotá;2;Bogotá;99;5
297821402;2013;11;2;Bogotá;2;Bogotá;99;5
297823258;2013;11;2;Bogotá;2;Bogotá;99;5
297819921;2013;11;2;Bogotá;2;Bogotá;99;5
408533;2013;11;2;Bogotá;2;Bogotá;99;5
450869;2013;11;2;Bogotá;2;Bogotá;99;5
297823316;2013;11;2;Bogotá;2;Bogotá;99;5
297826835;2013;11;2;Bogotá;2;Bogotá;99;5
165923;2013;11;2;Bogotá;2;Bogotá;99;5
297826497;2013;11;2;Bogotá;2;Bogotá;99;5
297820374;2013;11;2;Bogotá;2;Bogotá;99;5
297819999;2013;11;2;Bogotá;2;Bogotá;99;5
297823669;2013;11;2;Bogotá;2;Bogotá;99;5
297834076;2013;11;2;Bogotá;2;Bogotá;99;5
299303245;2013;11;2;Bogotá;2;Bogotá;99;5
441267;2013;11;2;Bogotá;2;Bogotá;99;5
441565;2013;11;2;Bogotá;2;Bogotá;99;5
441566;2013;11;2;Bogotá;2;Bogotá;99;5
441567;2013;11;2;Bogotá;2;Bogotá;99;5
441568;2013;11;2;Bogotá;2;Bogotá;99;5
441569;2013;11;2;Bogotá;2;Bogotá;99;5
441570;2013;11;2;Bogotá;2;Bogotá;99;5
450863;2013;11;2;Bogotá;2;Bogotá;99;5
297823534;2013;11;2;Bogotá;2;Bogotá;99;5
299303246;2013;11;2;Bogotá;2;Bogotá;99;5
297824086;2013;11;2;Bogotá;2;Bogotá;99;5
447079;2013;11;2;Bogotá;2;Bogotá;99;5
297826870;2013;11;2;Bogotá;2;Bogotá;99;5
297826640;2013;11;2;Bogotá;2;Bogotá;99;5
297826980;2013;11;2;Bogotá;2;Bogotá;99;5
299304555;2013;11;2;Bogotá;2;Bogotá;99;5
297826975;2013;11;2;Bogotá;2;Bogotá;99;5
297839506;2013;11;2;Bogotá;2;Bogotá;99;5
9807441;2013;11;2;Bogotá;2;Bogotá;99;5
9807448;2013;11;2;Bogotá;2;Bogotá;99;5
441825;2013;11;1;Barranquilla;16;Santa Marta;99;5
9795548;2013;11;2;Bogotá;18;Villavicencio;99;5
297826990;2013;11;2;Bogotá;2;Bogotá;99;5
297826738;2013;11;2;Bogotá;2;Bogotá;99;5
297839497;2013;11;2;Bogotá;2;Bogotá;99;5
297826642;2013;11;2;Bogotá;2;Bogotá;99;5
297718322;2013;11;2;Bogotá;2;Bogotá;99;5
297826647;2013;11;2;Bogotá;2;Bogotá;99;5
9815979;2013;47;1;Barranquilla;16;Santa Marta;99;5
299303285;2013;11;2;Bogotá;2;Bogotá;99;5
448987;2013;11;2;Bogotá;2;Bogotá;99;5
297730503;2013;11;1;Barranquilla;16;Santa Marta;99;5
297718312;2013;11;2;Bogotá;2;Bogotá;99;5
297718302;2013;11;2;Bogotá;2;Bogotá;99;5
297822448;2013;11;2;Bogotá;2;Bogotá;99;5
297839505;2013;11;2;Bogotá;2;Bogotá;99;5
297821308;2013;11;2;Bogotá;2;Bogotá;99;5
297718360;2013;11;2;Bogotá;2;Bogotá;99;5
297718363;2013;11;2;Bogotá;2;Bogotá;99;5
297718362;2013;11;2;Bogotá;2;Bogotá;99;5
297822336;2013;11;2;Bogotá;2;Bogotá;99;5
297717006;2013;11;2;Bogotá;2;Bogotá;99;5
297717021;2013;11;2;Bogotá;2;Bogotá;99;5
297717024;2013;11;2;Bogotá;2;Bogotá;99;5
297839796;2013;11;2;Bogotá;2;Bogotá;99;5
297818794;2013;11;2;Bogotá;2;Bogotá;99;5
283047;2013;11;2;Bogotá;2;Bogotá;99;5
297820580;2013;85;2;Bogotá;85;Yopal;99;5
452232;2013;25;2;Bogotá;2;Bogotá;99;5
297718330;2013;11;2;Bogotá;2;Bogotá;99;5
297821918;2013;11;2;Bogotá;2;Bogotá;99;5
297822767;2013;11;2;Bogotá;2;Bogotá;99;5
297822929;2013;25;2;Bogotá;2;Bogotá;99;5
299303275;2013;11;2;Bogotá;2;Bogotá;99;5
297827029;2013;91;2;Bogotá;91;Leticia;99;5
297821059;2013;91;2;Bogotá;91;Leticia;99;5
256628;2013;91;2;Bogotá;91;Leticia;99;5
297839502;2013;91;2;Bogotá;91;Leticia;99;5
297730495;2013;91;2;Bogotá;91;Leticia;99;5
297827899;2013;91;2;Bogotá;91;Leticia;99;5
297827887;2013;91;2;Bogotá;91;Leticia;99;5
441040;2013;91;2;Bogotá;91;Leticia;99;5
297823991;2013;11;2;Bogotá;2;Bogotá;99;5
444211;2013;97;2;Bogotá;18;Villavicencio;99;5
297822054;2013;11;2;Bogotá;2;Bogotá;99;5
297819453;2013;11;2;Bogotá;2;Bogotá;99;5
450867;2013;11;2;Bogotá;2;Bogotá;99;5
441850;2013;88;1;Barranquilla;22;San Andrés;99;5
297823164;2013;11;2;Bogotá;2;Bogotá;99;5
297718671;2013;11;2;Bogotá;2;Bogotá;99;5
297717025;2013;11;2;Bogotá;2;Bogotá;99;5
297821128;2013;11;2;Bogotá;2;Bogotá;99;5
297826003;2013;11;2;Bogotá;2;Bogotá;99;5
297827332;2013;11;2;Bogotá;2;Bogotá;99;5
299304556;2013;11;2;Bogotá;2;Bogotá;99;5
297824845;2013;91;2;Bogotá;91;Leticia;99;5
297840105;2013;91;2;Bogotá;91;Leticia;99;5
297825821;2013;91;2;Bogotá;91;Leticia;99;5
297827619;2013;91;2;Bogotá;91;Leticia;99;5
297840102;2013;91;2;Bogotá;91;Leticia;99;5
297825685;2013;91;2;Bogotá;91;Leticia;99;5
297823003;2013;91;2;Bogotá;91;Leticia;99;5
297826634;2013;91;2;Bogotá;91;Leticia;99;5
297822047;2013;91;2;Bogotá;91;Leticia;99;5
446751;2013;91;2;Bogotá;91;Leticia;99;5
259709;2013;91;2;Bogotá;91;Leticia;99;5
297818963;2013;91;2;Bogotá;91;Leticia;99;5
297840103;2013;91;2;Bogotá;91;Leticia;99;5
394762;2013;91;2;Bogotá;91;Leticia;99;5
297833958;2013;91;2;Bogotá;91;Leticia;99;5
297823481;2013;91;2;Bogotá;91;Leticia;99;5
297821674;2013;91;2;Bogotá;91;Leticia;99;5
299304550;2013;11;2;Bogotá;2;Bogotá;99;5
297827324;2013;11;2;Bogotá;2;Bogotá;99;5
296886227;2013;11;2;Bogotá;2;Bogotá;99;5
297718270;2013;11;2;Bogotá;2;Bogotá;99;5
452147;2013;68;3;Bucaramanga;3;Bucaramanga;99;5
296886218;2013;68;3;Bucaramanga;3;Bucaramanga;99;5
297839501;2013;11;2;Bogotá;2;Bogotá;99;5
382102;2013;11;3;Bucaramanga;3;Bucaramanga;99;5
297826761;2013;68;3;Bucaramanga;3;Bucaramanga;99;5
296914019;2013;68;3;Bucaramanga;3;Bucaramanga;99;5
297826917;2013;68;3;Bucaramanga;3;Bucaramanga;99;5
297826729;2013;68;3;Bucaramanga;3;Bucaramanga;99;5
297826888;2013;68;3;Bucaramanga;3;Bucaramanga;99;5
297826958;2013;68;3;Bucaramanga;3;Bucaramanga;99;5
452268;2013;68;3;Bucaramanga;3;Bucaramanga;99;5
452269;2013;68;3;Bucaramanga;3;Bucaramanga;99;5
297826916;2013;68;3;Bucaramanga;3;Bucaramanga;99;5
455214;2013;68;3;Bucaramanga;3;Bucaramanga;99;5
297826915;2013;68;3;Bucaramanga;3;Bucaramanga;99;5
297826605;2013;68;3;Bucaramanga;3;Bucaramanga;99;5
420510;2013;68;3;Bucaramanga;3;Bucaramanga;99;5
297823964;2013;68;3;Bucaramanga;3;Bucaramanga;99;5
297822876;2013;68;3;Bucaramanga;3;Bucaramanga;99;5
297824118;2013;68;3;Bucaramanga;3;Bucaramanga;99;5
297827338;2013;68;3;Bucaramanga;3;Bucaramanga;99;5
452141;2013;68;3;Bucaramanga;3;Bucaramanga;99;5
444253;2013;68;3;Bucaramanga;3;Bucaramanga;99;5
452143;2013;68;3;Bucaramanga;3;Bucaramanga;99;5
297820053;2013;68;3;Bucaramanga;3;Bucaramanga;99;5
299304551;2013;68;3;Bucaramanga;3;Bucaramanga;99;5
297838190;2013;76;4;Cali;4;Cali;99;5
455239;2013;76;4;Cali;4;Cali;99;5
297826717;2013;76;4;Cali;4;Cali;99;5
297826765;2013;76;4;Cali;4;Cali;99;5
297826766;2013;76;4;Cali;4;Cali;99;5
297821302;2013;76;4;Cali;4;Cali;99;5
297826771;2013;76;4;Cali;4;Cali;99;5
297821622;2013;76;4;Cali;4;Cali;99;5
452422;2013;76;5;Manizales;5;Manizales;99;5
452426;2013;76;5;Manizales;11;Ibagué;99;5
9807415;2013;76;2;Bogotá;2;Bogotá;99;5
296886245;2013;76;6;Medellín;6;Medellín;99;5
296886246;2013;76;2;Bogotá;2;Bogotá;99;5
296886247;2013;76;2;Bogotá;2;Bogotá;99;5
296886248;2013;76;5;Manizales;5;Manizales;99;5
296886249;2013;76;5;Manizales;5;Manizales;99;5
296886250;2013;76;1;Barranquilla;16;Santa Marta;99;5
297718282;2013;76;1;Barranquilla;9;Cartagena;99;5
297730369;2013;76;2;Bogotá;2;Bogotá;99;5
297730371;2013;76;2;Bogotá;2;Bogotá;99;5
297730372;2013;76;2;Bogotá;2;Bogotá;99;5
297730373;2013;76;1;Barranquilla;1;Barranquilla;99;5
297730375;2013;76;6;Medellín;6;Medellín;99;5
297730377;2013;76;2;Bogotá;17;Tunja;99;5
297730504;2013;76;6;Medellín;6;Medellín;99;5
297730506;2013;76;5;Manizales;11;Ibagué;99;5
297730507;2013;76;2;Bogotá;2;Bogotá;99;5
297838052;2013;76;4;Cali;4;Cali;99;5
296914052;2013;76;4;Cali;4;Cali;99;5
297826920;2013;76;4;Cali;4;Cali;99;5
446013;2013;76;4;Cali;4;Cali;99;5
452409;2013;76;4;Cali;4;Cali;99;5
297826959;2013;76;4;Cali;4;Cali;99;5
306981;2013;76;4;Cali;4;Cali;99;5
297730524;2013;52;4;Cali;14;Pasto;99;5
297826949;2013;76;4;Cali;4;Cali;99;5
297826764;2013;76;4;Cali;4;Cali;99;5
297826736;2013;76;4;Cali;4;Cali;99;5
297826872;2013;76;4;Cali;4;Cali;99;5
297826769;2013;76;4;Cali;4;Cali;99;5
297826768;2013;76;4;Cali;4;Cali;99;5
297827862;2013;76;4;Cali;4;Cali;99;5
444764;2013;76;4;Cali;4;Cali;99;5
455224;2013;76;4;Cali;4;Cali;99;5
297820355;2013;76;4;Cali;4;Cali;99;5
299304554;2013;76;4;Cali;4;Cali;99;5
297822435;2013;76;4;Cali;4;Cali;99;5
299303283;2013;17;5;Manizales;5;Manizales;99;5
375000;2013;17;5;Manizales;5;Manizales;99;5
455637;2013;17;5;Manizales;5;Manizales;99;5
7070958;2013;17;5;Manizales;5;Manizales;99;5
297826773;2013;17;5;Manizales;5;Manizales;99;5
444122;2013;17;5;Manizales;5;Manizales;99;5
452099;2013;17;5;Manizales;8;Armenia;99;5
9800577;2013;17;5;Manizales;5;Manizales;99;5
452101;2013;5;6;Medellín;6;Medellín;99;5
297826671;2013;5;6;Medellín;6;Medellín;99;5
297718664;2013;5;6;Medellín;6;Medellín;99;5
297826675;2013;5;6;Medellín;6;Medellín;99;5
297826976;2013;5;6;Medellín;6;Medellín;99;5
297718666;2013;5;6;Medellín;6;Medellín;99;5
452177;2013;5;6;Medellín;6;Medellín;99;5
297826851;2013;5;6;Medellín;6;Medellín;99;5
297718265;2013;5;6;Medellín;6;Medellín;99;5
296886274;2013;5;6;Medellín;6;Medellín;99;5
296886224;2013;5;6;Medellín;6;Medellín;99;5
299303330;2013;5;6;Medellín;6;Medellín;99;5
297826800;2013;5;6;Medellín;6;Medellín;99;5
297718269;2013;5;6;Medellín;6;Medellín;99;5
299303276;2013;11;6;Medellín;6;Medellín;99;5
446746;2013;5;6;Medellín;6;Medellín;99;5
296886259;2013;5;6;Medellín;6;Medellín;99;5
296886263;2013;5;6;Medellín;6;Medellín;99;5
296886264;2013;5;6;Medellín;6;Medellín;99;5
375263;2013;5;6;Medellín;6;Medellín;99;5
297730508;2013;11;6;Medellín;6;Medellín;99;5
375941;2013;5;6;Medellín;6;Medellín;99;5
457974;2013;5;6;Medellín;6;Medellín;99;5
9787477;2013;5;6;Medellín;6;Medellín;99;5
297826674;2013;5;6;Medellín;6;Medellín;99;5
297730522;2013;5;6;Medellín;6;Medellín;99;5
377233;2013;5;5;Manizales;8;Armenia;99;5
378275;2013;5;6;Medellín;20;Quibdó;99;5
