Nro_Orden_Establecimiento;Periodo;IDDEPTO;CODSEDE;Sede;CODSUBSEDE;Subsede;NOVEDAD;ESTADO
299304532;2013;86;4;Cali;14;Pasto;99;5
297819287;2013;86;4;Cali;14;Pasto;99;5
297820340;2013;86;4;Cali;14;Pasto;99;5
297820632;2013;86;4;Cali;14;Pasto;99;5
299303280;2013;86;4;Cali;14;Pasto;99;5
297826952;2013;19;4;Cali;15;Popayán;99;5
296886217;2013;47;1;Barranquilla;16;Santa Marta;99;5
297826801;2013;47;1;Barranquilla;16;Santa Marta;99;5
297826802;2013;47;1;Barranquilla;16;Santa Marta;99;5
297826803;2013;47;1;Barranquilla;16;Santa Marta;99;5
297838055;2013;47;1;Barranquilla;16;Santa Marta;99;5
9816056;2013;47;1;Barranquilla;16;Santa Marta;99;5
9816058;2013;47;1;Barranquilla;16;Santa Marta;99;5
297826804;2013;47;1;Barranquilla;16;Santa Marta;99;5
441237;2013;47;1;Barranquilla;16;Santa Marta;99;5
441867;2013;47;1;Barranquilla;16;Santa Marta;99;5
299303290;2013;47;1;Barranquilla;16;Santa Marta;99;5
297826653;2013;47;1;Barranquilla;16;Santa Marta;99;5
412206;2013;47;1;Barranquilla;16;Santa Marta;99;5
297839770;2013;47;1;Barranquilla;16;Santa Marta;99;5
297823689;2013;47;1;Barranquilla;16;Santa Marta;99;5
378399;2013;15;2;Bogotá;17;Tunja;99;5
296886273;2013;15;2;Bogotá;17;Tunja;99;5
452209;2013;15;2;Bogotá;17;Tunja;99;5
297839496;2013;15;2;Bogotá;17;Tunja;99;5
297827967;2013;15;2;Bogotá;17;Tunja;99;5
297827223;2013;15;2;Bogotá;17;Tunja;99;5
452242;2013;15;2;Bogotá;17;Tunja;99;5
297826805;2013;50;2;Bogotá;18;Villavicencio;99;5
297718278;2013;50;2;Bogotá;18;Villavicencio;99;5
297826874;2013;50;2;Bogotá;18;Villavicencio;99;5
297826880;2013;50;2;Bogotá;18;Villavicencio;99;5
419955;2013;50;2;Bogotá;18;Villavicencio;99;5
297717022;2013;50;2;Bogotá;18;Villavicencio;99;5
359228;2013;25;2;Bogotá;2;Bogotá;99;5
297827893;2013;50;2;Bogotá;18;Villavicencio;99;5
451486;2013;50;2;Bogotá;18;Villavicencio;99;5
416445;2013;50;2;Bogotá;18;Villavicencio;99;5
297822935;2013;50;2;Bogotá;18;Villavicencio;99;5
452022;2013;50;2;Bogotá;18;Villavicencio;99;5
297827069;2013;81;2;Bogotá;18;Villavicencio;99;5
445035;2013;81;2;Bogotá;18;Villavicencio;99;5
297824171;2013;81;2;Bogotá;18;Villavicencio;99;5
297819819;2013;81;2;Bogotá;18;Villavicencio;99;5
119269;2013;85;2;Bogotá;85;Yopal;99;5
297822942;2013;85;2;Bogotá;85;Yopal;99;5
451546;2013;85;2;Bogotá;85;Yopal;99;5
451479;2013;85;2;Bogotá;85;Yopal;99;5
451823;2013;85;2;Bogotá;85;Yopal;99;5
297818782;2013;85;2;Bogotá;85;Yopal;99;5
297821835;2013;85;2;Bogotá;85;Yopal;99;5
297822565;2013;85;2;Bogotá;85;Yopal;99;5
297826938;2013;85;2;Bogotá;85;Yopal;99;5
297819575;2013;85;2;Bogotá;85;Yopal;99;5
297820273;2013;85;2;Bogotá;85;Yopal;99;5
297825550;2013;85;2;Bogotá;85;Yopal;99;5
299303279;2013;85;2;Bogotá;85;Yopal;99;5
297837540;2013;85;2;Bogotá;85;Yopal;99;5
297823050;2013;85;2;Bogotá;85;Yopal;99;5
297823808;2013;85;2;Bogotá;85;Yopal;99;5
445605;2013;85;2;Bogotá;85;Yopal;99;5
297834039;2013;85;2;Bogotá;18;Villavicencio;99;5
451473;2013;11;2;Bogotá;18;Villavicencio;99;5
297822619;2013;85;2;Bogotá;18;Villavicencio;99;5
111989;2013;85;2;Bogotá;18;Villavicencio;99;5
442454;2013;15;2;Bogotá;18;Villavicencio;99;5
446361;2013;85;2;Bogotá;18;Villavicencio;99;5
445797;2013;85;2;Bogotá;18;Villavicencio;99;5
442347;2013;85;2;Bogotá;18;Villavicencio;99;5
297821837;2013;85;2;Bogotá;18;Villavicencio;99;5
451828;2013;85;2;Bogotá;18;Villavicencio;99;5
297820211;2013;85;2;Bogotá;18;Villavicencio;99;5
297824064;2013;15;2;Bogotá;17;Tunja;99;5
297824422;2013;85;2;Bogotá;18;Villavicencio;99;5
172844;2013;85;2;Bogotá;18;Villavicencio;99;5
297820051;2013;85;2;Bogotá;18;Villavicencio;99;5
446231;2013;85;2;Bogotá;18;Villavicencio;99;5
445004;2013;85;2;Bogotá;18;Villavicencio;99;5
297821149;2013;94;2;Bogotá;18;Villavicencio;99;5
297824008;2013;94;2;Bogotá;18;Villavicencio;99;5
299303288;2013;44;1;Barranquilla;21;Riohacha;99;5
444209;2013;44;1;Barranquilla;21;Riohacha;99;5
297827496;2013;44;1;Barranquilla;21;Riohacha;99;5
9815982;2013;88;1;Barranquilla;22;San Andrés;99;5
296913989;2013;88;1;Barranquilla;22;San Andrés;99;5
296913990;2013;88;1;Barranquilla;22;San Andrés;99;5
297718663;2013;88;1;Barranquilla;22;San Andrés;99;5
297730498;2013;88;1;Barranquilla;22;San Andrés;99;5
297826665;2013;88;1;Barranquilla;22;San Andrés;99;5
74973;2013;11;1;Barranquilla;22;San Andrés;99;5
457976;2013;11;6;Medellín;12;Monteria;99;5
9816029;2013;11;1;Barranquilla;22;San Andrés;99;5
296914091;2013;11;1;Barranquilla;22;San Andrés;99;5
297730513;2013;11;1;Barranquilla;22;San Andrés;99;5
297730514;2013;11;1;Barranquilla;22;San Andrés;99;5
297730681;2013;11;1;Barranquilla;22;San Andrés;99;5
297821667;2013;11;1;Barranquilla;22;San Andrés;99;5
452535;2013;11;1;Barranquilla;22;San Andrés;99;5
297826875;2013;88;1;Barranquilla;22;San Andrés;99;5
455784;2013;88;1;Barranquilla;22;San Andrés;99;5
296914053;2013;88;1;Barranquilla;22;San Andrés;99;5
297826666;2013;88;1;Barranquilla;22;San Andrés;99;5
297826646;2013;88;1;Barranquilla;22;San Andrés;99;5
297826948;2013;88;1;Barranquilla;22;San Andrés;99;5
297826737;2013;88;1;Barranquilla;22;San Andrés;99;5
299303281;2013;88;1;Barranquilla;22;San Andrés;99;5
452123;2013;88;1;Barranquilla;22;San Andrés;99;5
452124;2013;88;1;Barranquilla;22;San Andrés;99;5
452125;2013;88;2;Bogotá;91;Leticia;99;5
296913996;2013;88;1;Barranquilla;22;San Andrés;99;5
297730349;2013;88;1;Barranquilla;22;San Andrés;99;5
297838041;2013;88;1;Barranquilla;22;San Andrés;99;5
299303289;2013;88;1;Barranquilla;22;San Andrés;99;5
9815645;2013;88;1;Barranquilla;22;San Andrés;99;5
9815680;2013;88;1;Barranquilla;22;San Andrés;99;5
441678;2013;88;1;Barranquilla;22;San Andrés;99;5
297819308;2013;88;1;Barranquilla;22;San Andrés;99;5
297822447;2013;88;1;Barranquilla;22;San Andrés;99;5
9816028;2013;88;1;Barranquilla;22;San Andrés;99;5
9809870;2013;68;1;Barranquilla;22;San Andrés;99;5
441826;2013;88;1;Barranquilla;22;San Andrés;99;5
297818939;2013;88;1;Barranquilla;22;San Andrés;99;5
297819945;2013;88;1;Barranquilla;22;San Andrés;99;5
74974;2013;88;1;Barranquilla;22;San Andrés;99;5
110501;2013;88;1;Barranquilla;22;San Andrés;99;5
297822317;2013;88;1;Barranquilla;22;San Andrés;99;5
444120;2013;88;1;Barranquilla;22;San Andrés;99;5
287782;2013;88;1;Barranquilla;22;San Andrés;99;5
297821876;2013;88;1;Barranquilla;22;San Andrés;99;5
448118;2013;88;1;Barranquilla;22;San Andrés;99;5
441851;2013;11;1;Barranquilla;22;San Andrés;99;5
297818836;2013;88;1;Barranquilla;22;San Andrés;99;5
297822109;2013;88;1;Barranquilla;22;San Andrés;99;5
297823002;2013;88;1;Barranquilla;22;San Andrés;99;5
297823811;2013;88;1;Barranquilla;22;San Andrés;99;5
451392;2013;88;1;Barranquilla;22;San Andrés;99;5
297826444;2013;88;1;Barranquilla;22;San Andrés;99;5
297818425;2013;70;1;Barranquilla;23;Sincelejo;99;5
444146;2013;70;1;Barranquilla;23;Sincelejo;99;5
297838035;2013;20;1;Barranquilla;24;Valledupar;99;5
297718293;2013;20;1;Barranquilla;24;Valledupar;99;5
297718291;2013;20;1;Barranquilla;24;Valledupar;99;5
297718319;2013;20;1;Barranquilla;24;Valledupar;99;5
451467;2013;11;2;Bogotá;2;Bogotá;99;5
297839487;2013;13;1;Barranquilla;9;Cartagena;99;5
