Nro_Orden_Establecimiento;Periodo;C6GAA2ab;C6GAA1e;C6GAA2d;C6GAA2f;C6GAA2g;C6GAA2h;C6GAA2i;TOTALGAA;C6GAAB1a;C6GAAB1b;C6GAAB1c;C6GAAB1d;C6GAAB2a;C6GAAB2b;C6GAAB2c;C6GAAB2d;C6GAAB3a;C6GAAB3b;C6GAAB3c;C6GAAB3d;C6GAAB4a;C6GAAB4b;C6GAAB4c;C6GAAB4d;POTPSFR;C6AAC1d;POTPERM;C6AAC2d;POTTCDE;C6AAC3d;POTTCAG;C6AAC4d;POTPAU;C6AAC5d;POTTOT;C6AAC6dT;GPPSI;GPPER;GPPPSP;GPPPST;GPPCPO;GPPANO;GPPAVO;GPPGPA;GPPGPN;GPPTPOT;GPPPTA;C6AAC1bRPA;C6AAC2bRPA;C6AAC3bRPA;C6AAC4bRPA;C6AAC5bRPA;C6AAC6bRPA;C6AAC7bRPA;C6AAC8bRPA;C6AAC9bRPA;C6AAC10bTRPA;C6AAC11bRPA;C6AA12bPSAAA;CODSEDE;Sede;CODSUBSEDE;Subsede;NOVEDAD;ESTADO
296914023;2013;0;0;0;0;0;0;0;0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;0;0;6;0;0;0;10;0;0;0;16;0;0;46107;11286;0;10587;4000;0;0;3025;75005;125357;0;0;0;0;0;0;0;0;0;0;0;0;1;Barranquilla;16;Santa Marta;99;5
297718272;2013;0;0;0;0;0;0;0;0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;0;0;55;0;0;0;26;0;2;0;83;0;32777;1007680;252776;0;234234;70453;0;11667;167638;1777225;293352;0;0;0;0;0;0;0;0;0;0;0;0;2;Bogotá;2;Bogotá;99;5
297826922;2013;0;0;3700;3500;0;0;0;7200; ; ; ; ; ; ; ; ; ;b;22/11/2012;22/11/2015; ;b;22/11/2012;22/11/2015;0;0;28;0;0;0;2;0;2;0;32;0;0;440977;111484;0;102069;29083;0;7903;76348;767864;76348;0;0;0;0;0;0;0;0;0;0;0;0;2;Bogotá;2;Bogotá;99;5
451251;2013;0;0;0;0;0;0;0;0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;0;0;6;0;0;0;8;0;0;0;14;0;0;114886;53523;0;32414;12517;0;0;0;213340;132840;0;0;0;0;0;0;0;0;0;0;0;0;1;Barranquilla;9;Cartagena;99;5
451446;2013;0;0;0;0;0;0;0;0;a; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;0;0;7;0;0;0;13;0;0;0;20;0;0;132746;27876;0;31852;11947;0;0;0;204421;156000;0;0;0;0;0;0;0;0;0;0;0;0;1;Barranquilla;16;Santa Marta;99;5
455513;2013;0;0;0;0;0;0;0;0; ; ; ; ; ;b;14/02/2014;13/02/2017; ;b;16/07/2012;15/07/2015; ;b;16/07/2012;15/07/2015;0;0;259;4;0;0;405;0;12;0;676;4;0;3955848;1532752;0;898445;318001;0;79102;6610155;13394303;5664597;0;47015;17822;0;10447;4117;0;0;1327000;1406401;1324;0;2;Bogotá;2;Bogotá;99;5
9807403;2013;0;0;0;0;0;0;0;0; ; ; ; ; ;b;14/02/2014;13/02/2017; ;b;16/07/2012;15/07/2015; ;b;16/07/2012;15/07/2015;0;0;23;0;0;0;27;0;0;0;50;0;0;437265;259958;0;82355;38000;0;0;60904;878482;469929;0;0;0;0;0;0;0;0;0;0;0;0;2;Bogotá;2;Bogotá;99;5
297730683;2013;0;0;0;0;0;0;0;0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;0;0;10;0;0;0;28;0;1;0;39;0;0;115972;35799;0;27169;11092;0;6380;5823;202235;307484;0;0;0;0;0;0;0;0;0;0;0;0;4;Cali;4;Cali;99;5
296886232;2013;0;70;0;200;0;0;0;270; ;b;22/11/2004;23/11/2013; ; ; ; ; ; ; ; ; ; ; ; ;0;0;110;2;0;0;3;0;5;0;118;2;0;1134253;264661;0;278948;109663;0;24404;25816;1837745;39829;0;14058;6537;0;3516;1461;0;0;0;25572;0;0;2;Bogotá;2;Bogotá;99;5
296886233;2013;2000;0;0;0;0;0;0;2000; ;b;22/11/2004;23/10/2013; ; ; ; ; ; ; ; ; ; ; ; ;0;0;71;0;0;0;4;0;0;0;75;0;0;1001885;243409;0;239694;96408;0;0;48452;1629848;47588;0;0;0;0;0;0;0;0;0;0;0;0;2;Bogotá;2;Bogotá;99;5
296886234;2013;2000;0;0;1000;0;0;0;3000; ;b;22/11/2004;23/11/2013; ; ; ; ; ; ; ; ; ; ; ; ;0;0;175;0;0;0;7;0;6;0;188;0;87619;1902035;445122;0;465583;187062;0;40802;39796;3168019;84780;0;0;0;0;0;0;0;0;0;0;0;0;2;Bogotá;2;Bogotá;99;5
296886235;2013;0;0;0;1200;0;0;0;1200; ;b;22/11/2004;23/10/2013; ; ; ; ; ; ; ; ; ; ; ; ;0;0;91;2;0;0;2;0;0;0;93;2;0;1175463;266471;0;263482;107485;0;0;75136;1888037;19042;0;25514;8191;0;5406;2030;0;0;1903;43044;0;0;2;Bogotá;2;Bogotá;99;5
296886236;2013;0;0;0;1300;0;0;0;1300; ;b;11/11/2011;23/10/2013; ; ; ; ; ; ; ; ; ; ; ; ;0;0;88;2;0;0;6;0;4;0;98;2;91962;957139;249727;0;262632;103438;0;22967;57353;1745218;76280;0;29355;12890;0;5798;2421;0;0;1898;52362;0;0;2;Bogotá;2;Bogotá;99;5
3834328;2013;0;0;0;0;0;0;0;0;a; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;0;0;78;0;0;0;5;0;0;0;83;0;0;1068860;246139;0;216929;60771;0;0;158329;1751028;51960;0;0;0;0;0;0;0;0;0;0;0;0;2;Bogotá;2;Bogotá;99;5
