Nro_Orden_Establecimiento;Periodo;INSERTOT;CODSEDE;Sede;CODSUBSEDE;Subsede;NOVEDAD;ESTADO
407032;2013;2107427;2;Bogotá;2;Bogotá;99;5
297824160;2013;106958;2;Bogotá;2;Bogotá;99;5
297834339;2013;69000;2;Bogotá;2;Bogotá;99;5
297822959;2013;79894;2;Bogotá;2;Bogotá;99;5
297822527;2013;334451;2;Bogotá;2;Bogotá;99;5
297826739;2013;3876684;2;Bogotá;2;Bogotá;99;5
297823552;2013;1426159;2;Bogotá;2;Bogotá;99;5
297822516;2013;219206;2;Bogotá;2;Bogotá;99;5
449312;2013;71089;2;Bogotá;2;Bogotá;99;5
297825166;2013;37057;2;Bogotá;2;Bogotá;99;5
297820854;2013;70511;2;Bogotá;2;Bogotá;99;5
297823234;2013;99375;2;Bogotá;2;Bogotá;99;5
297826977;2013;2503506;2;Bogotá;2;Bogotá;99;5
297826749;2013;1159936;2;Bogotá;2;Bogotá;99;5
297823613;2013;110000;2;Bogotá;2;Bogotá;99;5
297827058;2013;184070;2;Bogotá;2;Bogotá;99;5
297823853;2013;77725;2;Bogotá;2;Bogotá;99;5
297824060;2013;199564;2;Bogotá;2;Bogotá;99;5
297824123;2013;179939;2;Bogotá;2;Bogotá;99;5
297823455;2013;17065;2;Bogotá;2;Bogotá;99;5
297823642;2013;201103;2;Bogotá;2;Bogotá;99;5
297818827;2013;79704;2;Bogotá;2;Bogotá;99;5
297823431;2013;147416;2;Bogotá;2;Bogotá;99;5
297839499;2013;1628660;2;Bogotá;2;Bogotá;99;5
297823062;2013;64260;2;Bogotá;2;Bogotá;99;5
297827337;2013;772704;2;Bogotá;2;Bogotá;99;5
413402;2013;94859;2;Bogotá;2;Bogotá;99;5
297822677;2013;27270;2;Bogotá;2;Bogotá;99;5
297826662;2013;13523691;2;Bogotá;2;Bogotá;99;5
297822990;2013;892270;2;Bogotá;2;Bogotá;99;5
450886;2013;161620;2;Bogotá;2;Bogotá;99;5
297823265;2013;88338;2;Bogotá;2;Bogotá;99;5
297823601;2013;216802;2;Bogotá;2;Bogotá;99;5
297821402;2013;45620;2;Bogotá;2;Bogotá;99;5
297823258;2013;53713;2;Bogotá;2;Bogotá;99;5
297819921;2013;65180;2;Bogotá;2;Bogotá;99;5
408533;2013;1420004;2;Bogotá;2;Bogotá;99;5
450869;2013;1365105;2;Bogotá;2;Bogotá;99;5
297823316;2013;17023;2;Bogotá;2;Bogotá;99;5
297826835;2013;2130598;2;Bogotá;2;Bogotá;99;5
165923;2013;96855;2;Bogotá;2;Bogotá;99;5
297826497;2013;105925;2;Bogotá;2;Bogotá;99;5
297820374;2013;49545;2;Bogotá;2;Bogotá;99;5
297819999;2013;110117;2;Bogotá;2;Bogotá;99;5
297823669;2013;47000;2;Bogotá;2;Bogotá;99;5
297834076;2013;86830;2;Bogotá;2;Bogotá;99;5
299303245;2013;182327;2;Bogotá;2;Bogotá;99;5
441267;2013;2070206;2;Bogotá;2;Bogotá;99;5
441565;2013;320231;2;Bogotá;2;Bogotá;99;5
441566;2013;129845;2;Bogotá;2;Bogotá;99;5
441567;2013;564734;2;Bogotá;2;Bogotá;99;5
441568;2013;269555;2;Bogotá;2;Bogotá;99;5
441569;2013;277007;2;Bogotá;2;Bogotá;99;5
441570;2013;887036;2;Bogotá;2;Bogotá;99;5
450863;2013;92366;2;Bogotá;2;Bogotá;99;5
297823534;2013;107125;2;Bogotá;2;Bogotá;99;5
299303246;2013;254517;2;Bogotá;2;Bogotá;99;5
297824086;2013;370880;2;Bogotá;2;Bogotá;99;5
447079;2013;4243905;2;Bogotá;2;Bogotá;99;5
297826870;2013;30334878;2;Bogotá;2;Bogotá;99;5
297826640;2013;2029192;2;Bogotá;2;Bogotá;99;5
297826980;2013;4610368;2;Bogotá;2;Bogotá;99;5
299304555;2013;972000;2;Bogotá;2;Bogotá;99;5
297826975;2013;6415169;2;Bogotá;2;Bogotá;99;5
297839506;2013;873661;2;Bogotá;2;Bogotá;99;5
9807441;2013;2526938;2;Bogotá;2;Bogotá;99;5
9807448;2013;3230699;2;Bogotá;2;Bogotá;99;5
441825;2013;3071684;1;Barranquilla;16;Santa Marta;99;5
9795548;2013;755253;2;Bogotá;18;Villavicencio;99;5
297826990;2013;3345201;2;Bogotá;2;Bogotá;99;5
297826738;2013;46629964;2;Bogotá;2;Bogotá;99;5
297839497;2013;7648482;2;Bogotá;2;Bogotá;99;5
297826642;2013;18665883;2;Bogotá;2;Bogotá;99;5
297718322;2013;2826488;2;Bogotá;2;Bogotá;99;5
297826647;2013;652661;2;Bogotá;2;Bogotá;99;5
9815979;2013;786797;1;Barranquilla;16;Santa Marta;99;5
299303285;2013;658770;2;Bogotá;2;Bogotá;99;5
448987;2013;10192465;2;Bogotá;2;Bogotá;99;5
297730503;2013;851142;1;Barranquilla;16;Santa Marta;99;5
297718312;2013;7708871;2;Bogotá;2;Bogotá;99;5
297718302;2013;31060254;2;Bogotá;2;Bogotá;99;5
297822448;2013;2291509;2;Bogotá;2;Bogotá;99;5
297839505;2013;14250532;2;Bogotá;2;Bogotá;99;5
297821308;2013;6374741;2;Bogotá;2;Bogotá;99;5
297718360;2013;4072449;2;Bogotá;2;Bogotá;99;5
297718363;2013;4690116;2;Bogotá;2;Bogotá;99;5
297718362;2013;7249957;2;Bogotá;2;Bogotá;99;5
297822336;2013;4069937;2;Bogotá;2;Bogotá;99;5
297717006;2013;3098524;2;Bogotá;2;Bogotá;99;5
297717021;2013;9113875;2;Bogotá;2;Bogotá;99;5
297717024;2013;2787022;2;Bogotá;2;Bogotá;99;5
297839796;2013;87447;2;Bogotá;2;Bogotá;99;5
297818794;2013;37800;2;Bogotá;2;Bogotá;99;5
283047;2013;1159956;2;Bogotá;2;Bogotá;99;5
297820580;2013;228039;2;Bogotá;85;Yopal;99;5
452232;2013;355869;2;Bogotá;2;Bogotá;99;5
297718330;2013;2295352;2;Bogotá;2;Bogotá;99;5
297821918;2013;916895;2;Bogotá;2;Bogotá;99;5
297822767;2013;2670084;2;Bogotá;2;Bogotá;99;5
297822929;2013;1779974;2;Bogotá;2;Bogotá;99;5
299303275;2013;158632;2;Bogotá;2;Bogotá;99;5
297827029;2013;97879;2;Bogotá;91;Leticia;99;5
297821059;2013;178150;2;Bogotá;91;Leticia;99;5
256628;2013;614964;2;Bogotá;91;Leticia;99;5
297839502;2013;6615;2;Bogotá;91;Leticia;99;5
297730495;2013;75900;2;Bogotá;91;Leticia;99;5
297827899;2013;2806517;2;Bogotá;91;Leticia;99;5
297827887;2013;209757;2;Bogotá;91;Leticia;99;5
441040;2013;176763;2;Bogotá;91;Leticia;99;5
297823991;2013;98860;2;Bogotá;2;Bogotá;99;5
444211;2013;34390;2;Bogotá;18;Villavicencio;99;5
297822054;2013;764797;2;Bogotá;2;Bogotá;99;5
297819453;2013;484096;2;Bogotá;2;Bogotá;99;5
450867;2013;761131;2;Bogotá;2;Bogotá;99;5
441850;2013;3104481;1;Barranquilla;22;San Andrés;99;5
297823164;2013;651413;2;Bogotá;2;Bogotá;99;5
297718671;2013;2967953;2;Bogotá;2;Bogotá;99;5
297717025;2013;2109564;2;Bogotá;2;Bogotá;99;5
297821128;2013;5055499;2;Bogotá;2;Bogotá;99;5
297826003;2013;1428610;2;Bogotá;2;Bogotá;99;5
297827332;2013;1178329;2;Bogotá;2;Bogotá;99;5
299304556;2013;70291;2;Bogotá;2;Bogotá;99;5
297824845;2013;143000;2;Bogotá;91;Leticia;99;5
297840105;2013;936115;2;Bogotá;91;Leticia;99;5
297825821;2013;5600;2;Bogotá;91;Leticia;99;5
297827619;2013;40600;2;Bogotá;91;Leticia;99;5
297840102;2013;23500;2;Bogotá;91;Leticia;99;5
297825685;2013;90692;2;Bogotá;91;Leticia;99;5
297823003;2013;357353;2;Bogotá;91;Leticia;99;5
297826634;2013;269080;2;Bogotá;91;Leticia;99;5
297822047;2013;65544;2;Bogotá;91;Leticia;99;5
446751;2013;49338;2;Bogotá;91;Leticia;99;5
259709;2013;50047;2;Bogotá;91;Leticia;99;5
297818963;2013;99000;2;Bogotá;91;Leticia;99;5
297840103;2013;13820;2;Bogotá;91;Leticia;99;5
394762;2013;115000;2;Bogotá;91;Leticia;99;5
297833958;2013;5460;2;Bogotá;91;Leticia;99;5
297823481;2013;92000;2;Bogotá;91;Leticia;99;5
297821674;2013;65354;2;Bogotá;91;Leticia;99;5
299304550;2013;291206;2;Bogotá;2;Bogotá;99;5
297827324;2013;122064;2;Bogotá;2;Bogotá;99;5
296886227;2013;5954408;2;Bogotá;2;Bogotá;99;5
297718270;2013;6647484;2;Bogotá;2;Bogotá;99;5
452147;2013;967562;3;Bucaramanga;3;Bucaramanga;99;5
296886218;2013;4278325;3;Bucaramanga;3;Bucaramanga;99;5
297839501;2013;10131642;2;Bogotá;2;Bogotá;99;5
382102;2013;11296075;3;Bucaramanga;3;Bucaramanga;99;5
297826761;2013;3289691;3;Bucaramanga;3;Bucaramanga;99;5
296914019;2013;1669672;3;Bucaramanga;3;Bucaramanga;99;5
297826917;2013;8916050;3;Bucaramanga;3;Bucaramanga;99;5
297826729;2013;3992109;3;Bucaramanga;3;Bucaramanga;99;5
297826888;2013;4811540;3;Bucaramanga;3;Bucaramanga;99;5
297826958;2013;1552075;3;Bucaramanga;3;Bucaramanga;99;5
452268;2013;2772499;3;Bucaramanga;3;Bucaramanga;99;5
452269;2013;252401;3;Bucaramanga;3;Bucaramanga;99;5
297826916;2013;777680;3;Bucaramanga;3;Bucaramanga;99;5
455214;2013;390962;3;Bucaramanga;3;Bucaramanga;99;5
297826915;2013;930598;3;Bucaramanga;3;Bucaramanga;99;5
297826605;2013;344086;3;Bucaramanga;3;Bucaramanga;99;5
420510;2013;1146500;3;Bucaramanga;3;Bucaramanga;99;5
297823964;2013;2187702;3;Bucaramanga;3;Bucaramanga;99;5
297822876;2013;1038600;3;Bucaramanga;3;Bucaramanga;99;5
297824118;2013;1892164;3;Bucaramanga;3;Bucaramanga;99;5
297827338;2013;1555499;3;Bucaramanga;3;Bucaramanga;99;5
452141;2013;2181343;3;Bucaramanga;3;Bucaramanga;99;5
444253;2013;2207017;3;Bucaramanga;3;Bucaramanga;99;5
452143;2013;921000;3;Bucaramanga;3;Bucaramanga;99;5
297820053;2013;396795;3;Bucaramanga;3;Bucaramanga;99;5
299304551;2013;909022;3;Bucaramanga;3;Bucaramanga;99;5
297838190;2013;1087196;4;Cali;4;Cali;99;5
455239;2013;4495514;4;Cali;4;Cali;99;5
297826717;2013;10410025;4;Cali;4;Cali;99;5
297826765;2013;847903;4;Cali;4;Cali;99;5
297826766;2013;597436;4;Cali;4;Cali;99;5
297821302;2013;1170925;4;Cali;4;Cali;99;5
297826771;2013;2462386;4;Cali;4;Cali;99;5
297821622;2013;4057558;4;Cali;4;Cali;99;5
452422;2013;1815934;5;Manizales;5;Manizales;99;5
452426;2013;9156654;5;Manizales;11;Ibagué;99;5
9807415;2013;5487005;2;Bogotá;2;Bogotá;99;5
296886245;2013;10637409;6;Medellín;6;Medellín;99;5
296886246;2013;8078036;2;Bogotá;2;Bogotá;99;5
296886247;2013;7107386;2;Bogotá;2;Bogotá;99;5
296886248;2013;2330450;5;Manizales;5;Manizales;99;5
296886249;2013;1901869;5;Manizales;5;Manizales;99;5
296886250;2013;11744341;1;Barranquilla;16;Santa Marta;99;5
297718282;2013;16047578;1;Barranquilla;9;Cartagena;99;5
297730369;2013;23839150;2;Bogotá;2;Bogotá;99;5
297730371;2013;7849749;2;Bogotá;2;Bogotá;99;5
297730372;2013;1163886;2;Bogotá;2;Bogotá;99;5
297730373;2013;15144300;1;Barranquilla;1;Barranquilla;99;5
297730375;2013;5751000;6;Medellín;6;Medellín;99;5
297730377;2013;10511995;2;Bogotá;17;Tunja;99;5
297730504;2013;2031345;6;Medellín;6;Medellín;99;5
297730506;2013;573922;5;Manizales;11;Ibagué;99;5
297730507;2013;9538643;2;Bogotá;2;Bogotá;99;5
297838052;2013;38635553;4;Cali;4;Cali;99;5
296914052;2013;6682305;4;Cali;4;Cali;99;5
297826920;2013;2890399;4;Cali;4;Cali;99;5
446013;2013;342000;4;Cali;4;Cali;99;5
452409;2013;2805201;4;Cali;4;Cali;99;5
297826959;2013;1976641;4;Cali;4;Cali;99;5
306981;2013;1157793;4;Cali;4;Cali;99;5
297730524;2013;2140681;4;Cali;14;Pasto;99;5
297826949;2013;557000;4;Cali;4;Cali;99;5
297826764;2013;634023;4;Cali;4;Cali;99;5
297826736;2013;958415;4;Cali;4;Cali;99;5
297826872;2013;895344;4;Cali;4;Cali;99;5
297826769;2013;2989878;4;Cali;4;Cali;99;5
297826768;2013;895843;4;Cali;4;Cali;99;5
297827862;2013;15368340;4;Cali;4;Cali;99;5
444764;2013;706685;4;Cali;4;Cali;99;5
455224;2013;9816437;4;Cali;4;Cali;99;5
297820355;2013;2269821;4;Cali;4;Cali;99;5
299304554;2013;242256;4;Cali;4;Cali;99;5
297822435;2013;436130;4;Cali;4;Cali;99;5
299303283;2013;3467493;5;Manizales;5;Manizales;99;5
375000;2013;2495739;5;Manizales;5;Manizales;99;5
455637;2013;1145000;5;Manizales;5;Manizales;99;5
7070958;2013;530089;5;Manizales;5;Manizales;99;5
297826773;2013;848281;5;Manizales;5;Manizales;99;5
444122;2013;242058;5;Manizales;5;Manizales;99;5
452099;2013;168479;5;Manizales;8;Armenia;99;5
9800577;2013;49503;5;Manizales;5;Manizales;99;5
452101;2013;517692;6;Medellín;6;Medellín;99;5
297826671;2013;2246004;6;Medellín;6;Medellín;99;5
297718664;2013;753857;6;Medellín;6;Medellín;99;5
297826675;2013;3855905;6;Medellín;6;Medellín;99;5
297826976;2013;5980137;6;Medellín;6;Medellín;99;5
297718666;2013;2621133;6;Medellín;6;Medellín;99;5
452177;2013;1132927;6;Medellín;6;Medellín;99;5
297826851;2013;17334007;6;Medellín;6;Medellín;99;5
297718265;2013;5882838;6;Medellín;6;Medellín;99;5
296886274;2013;1472292;6;Medellín;6;Medellín;99;5
296886224;2013;2735999;6;Medellín;6;Medellín;99;5
299303330;2013;3911097;6;Medellín;6;Medellín;99;5
297826800;2013;2964111;6;Medellín;6;Medellín;99;5
297718269;2013;9075287;6;Medellín;6;Medellín;99;5
299303276;2013;22882624;6;Medellín;6;Medellín;99;5
446746;2013;2632000;6;Medellín;6;Medellín;99;5
296886259;2013;1395600;6;Medellín;6;Medellín;99;5
296886263;2013;1395600;6;Medellín;6;Medellín;99;5
296886264;2013;1951585;6;Medellín;6;Medellín;99;5
375263;2013;2962543;6;Medellín;6;Medellín;99;5
297730508;2013;9962706;6;Medellín;6;Medellín;99;5
375941;2013;1221356;6;Medellín;6;Medellín;99;5
457974;2013;2611993;6;Medellín;6;Medellín;99;5
9787477;2013;1800040;6;Medellín;6;Medellín;99;5
297826674;2013;1156256;6;Medellín;6;Medellín;99;5
297730522;2013;1804032;6;Medellín;6;Medellín;99;5
377233;2013;438896;5;Manizales;8;Armenia;99;5
378275;2013;233828;6;Medellín;20;Quibdó;99;5
296886268;2013;724046;6;Medellín;6;Medellín;99;5
451504;2013;565115;6;Medellín;6;Medellín;99;5
297826643;2013;11851185;6;Medellín;6;Medellín;99;5
452356;2013;8856129;6;Medellín;6;Medellín;99;5
297718296;2013;1627891;6;Medellín;6;Medellín;99;5
297826775;2013;1294353;6;Medellín;6;Medellín;99;5
297839795;2013;265400;6;Medellín;6;Medellín;99;5
297819166;2013;120685;1;Barranquilla;22;San Andrés;99;5
451499;2013;316333;6;Medellín;6;Medellín;99;5
452297;2013;620429;6;Medellín;6;Medellín;99;5
452330;2013;4747993;6;Medellín;6;Medellín;99;5
297718304;2013;1583253;6;Medellín;6;Medellín;99;5
297823386;2013;2564140;6;Medellín;6;Medellín;99;5
297823000;2013;2649941;6;Medellín;6;Medellín;99;5
297823579;2013;6845000;6;Medellín;6;Medellín;99;5
297823739;2013;9484433;6;Medellín;6;Medellín;99;5
452170;2013;420000;6;Medellín;6;Medellín;99;5
452474;2013;1218540;6;Medellín;6;Medellín;99;5
297823404;2013;1103855;6;Medellín;6;Medellín;99;5
297718335;2013;660626;6;Medellín;6;Medellín;99;5
411323;2013;85629;6;Medellín;6;Medellín;99;5
443827;2013;682155;6;Medellín;6;Medellín;99;5
2506951;2013;589995;6;Medellín;6;Medellín;99;5
445470;2013;142304;6;Medellín;6;Medellín;99;5
297823428;2013;779804;6;Medellín;6;Medellín;99;5
297823893;2013;618389;6;Medellín;6;Medellín;99;5
444270;2013;334324;6;Medellín;6;Medellín;99;5
297839768;2013;6126371;6;Medellín;6;Medellín;99;5
299303370;2013;242284;6;Medellín;6;Medellín;99;5
10400085;2013;3962011;6;Medellín;6;Medellín;99;5
451490;2013;2297868;5;Manizales;7;Pereira;99;5
297839503;2013;1450700;5;Manizales;7;Pereira;99;5
452201;2013;3709279;5;Manizales;7;Pereira;99;5
297826921;2013;12839282;5;Manizales;7;Pereira;99;5
297730463;2013;2123748;5;Manizales;7;Pereira;99;5
297826808;2013;1383876;5;Manizales;7;Pereira;99;5
444234;2013;662136;5;Manizales;7;Pereira;99;5
297822881;2013;878539;5;Manizales;7;Pereira;99;5
442868;2013;743786;4;Cali;14;Pasto;99;5
452303;2013;934086;5;Manizales;7;Pereira;99;5
455706;2013;2751221;5;Manizales;8;Armenia;99;5
297826721;2013;4523320;5;Manizales;8;Armenia;99;5
297826981;2013;13850154;5;Manizales;8;Armenia;99;5
455775;2013;914817;5;Manizales;8;Armenia;99;5
298581;2013;1201661;5;Manizales;8;Armenia;99;5
297826797;2013;31111342;1;Barranquilla;9;Cartagena;99;5
297827001;2013;16035106;1;Barranquilla;9;Cartagena;99;5
9815993;2013;24871877;1;Barranquilla;16;Santa Marta;99;5
9815995;2013;14414185;1;Barranquilla;22;San Andrés;99;5
296914001;2013;55494825;1;Barranquilla;9;Cartagena;99;5
296914050;2013;23833008;1;Barranquilla;22;San Andrés;99;5
297826809;2013;43912872;1;Barranquilla;9;Cartagena;99;5
297826810;2013;18548299;1;Barranquilla;9;Cartagena;99;5
299303286;2013;1948186;1;Barranquilla;9;Cartagena;99;5
297826876;2013;21848347;1;Barranquilla;9;Cartagena;99;5
297826879;2013;69829627;1;Barranquilla;9;Cartagena;99;5
296886257;2013;5095263;1;Barranquilla;9;Cartagena;99;5
297827968;2013;24975836;1;Barranquilla;9;Cartagena;99;5
296886212;2013;3121529;1;Barranquilla;9;Cartagena;99;5
297826719;2013;815369;1;Barranquilla;9;Cartagena;99;5
297718273;2013;1424558;1;Barranquilla;9;Cartagena;99;5
297826971;2013;1799651;1;Barranquilla;9;Cartagena;99;5
297826877;2013;1813752;1;Barranquilla;9;Cartagena;99;5
441879;2013;2307877;1;Barranquilla;9;Cartagena;99;5
312167;2013;3191622;1;Barranquilla;9;Cartagena;99;5
9816010;2013;1773575;1;Barranquilla;9;Cartagena;99;5
374311;2013;441904;1;Barranquilla;9;Cartagena;99;5
297718327;2013;10505020;1;Barranquilla;9;Cartagena;99;5
297820391;2013;8464041;1;Barranquilla;9;Cartagena;99;5
297818576;2013;18976527;1;Barranquilla;9;Cartagena;99;5
299303292;2013;662719;1;Barranquilla;9;Cartagena;99;5
299303278;2013;2216095;1;Barranquilla;9;Cartagena;99;5
452424;2013;6981470;1;Barranquilla;9;Cartagena;99;5
441848;2013;2347533;1;Barranquilla;9;Cartagena;99;5
394535;2013;1975887;1;Barranquilla;9;Cartagena;99;5
409328;2013;1027870;1;Barranquilla;9;Cartagena;99;5
441881;2013;1706000;1;Barranquilla;9;Cartagena;99;5
297822760;2013;2974923;1;Barranquilla;9;Cartagena;99;5
9798639;2013;1871705;1;Barranquilla;9;Cartagena;99;5
406282;2013;3390027;1;Barranquilla;9;Cartagena;99;5
441855;2013;1010833;1;Barranquilla;9;Cartagena;99;5
299304552;2013;613274;1;Barranquilla;9;Cartagena;99;5
297826740;2013;2064102;3;Bucaramanga;10;Cúcuta;99;5
297826883;2013;5236225;3;Bucaramanga;10;Cúcuta;99;5
297826884;2013;5058796;3;Bucaramanga;10;Cúcuta;99;5
297826885;2013;2510961;3;Bucaramanga;10;Cúcuta;99;5
297826901;2013;4626781;3;Bucaramanga;10;Cúcuta;99;5
297826747;2013;780060;3;Bucaramanga;10;Cúcuta;99;5
452108;2013;8557503;5;Manizales;11;Ibagué;99;5
297826829;2013;407911;5;Manizales;11;Ibagué;99;5
297818881;2013;1558075;5;Manizales;11;Ibagué;99;5
296914042;2013;4043839;2;Bogotá;2;Bogotá;99;5
297826886;2013;1477747;5;Manizales;11;Ibagué;99;5
452553;2013;1452519;5;Manizales;11;Ibagué;99;5
297826772;2013;1266442;5;Manizales;11;Ibagué;99;5
297826673;2013;2208597;5;Manizales;11;Ibagué;99;5
297718320;2013;1512753;2;Bogotá;2;Bogotá;99;5
299303282;2013;1255655;5;Manizales;11;Ibagué;99;5
297826947;2013;4122751;5;Manizales;11;Ibagué;99;5
2959356;2013;17763976;5;Manizales;11;Ibagué;99;5
296914033;2013;10263781;5;Manizales;11;Ibagué;99;5
297839488;2013;5057040;5;Manizales;11;Ibagué;99;5
