Nro_Orden_Establecimiento;Periodo;INSERTOT;CODSEDE;Sede;CODSUBSEDE;Subsede;NOVEDAD;ESTADO
371773;2013;341000;1;Barranquilla;1;Barranquilla;99;5
442290;2013;635500;1;Barranquilla;22;San Andrés;99;5
125800;2013;333016;1;Barranquilla;1;Barranquilla;99;5
297826960;2013;1212675;2;Bogotá;2;Bogotá;99;5
297821378;2013;907430;2;Bogotá;18;Villavicencio;99;5
444265;2013;1023903;3;Bucaramanga;10;Cúcuta;99;5
297730497;2013;1717467;5;Manizales;7;Pereira;99;5
297822798;2013;1456195;6;Medellín;6;Medellín;99;5
297826670;2013;3440802;1;Barranquilla;1;Barranquilla;99;5
297826831;2013;3250645;1;Barranquilla;1;Barranquilla;99;5
297826723;2013;17648943;1;Barranquilla;1;Barranquilla;99;5
441900;2013;4101944;1;Barranquilla;9;Cartagena;99;5
297826718;2013;15425745;1;Barranquilla;1;Barranquilla;99;5
297826953;2013;4478040;1;Barranquilla;1;Barranquilla;99;5
297826792;2013;3519497;1;Barranquilla;1;Barranquilla;99;5
297826898;2013;5985360;1;Barranquilla;1;Barranquilla;99;5
296886290;2013;3097030;1;Barranquilla;9;Cartagena;99;5
9816110;2013;2570078;1;Barranquilla;1;Barranquilla;99;5
9815988;2013;550040;1;Barranquilla;1;Barranquilla;99;5
297826722;2013;1172419;1;Barranquilla;1;Barranquilla;99;5
297827969;2013;1278678;1;Barranquilla;1;Barranquilla;99;5
297819041;2013;7248542;1;Barranquilla;1;Barranquilla;99;5
452218;2013;8184052;1;Barranquilla;1;Barranquilla;99;5
441772;2013;1933215;1;Barranquilla;1;Barranquilla;99;5
441802;2013;2360112;1;Barranquilla;1;Barranquilla;99;5
441854;2013;822412;1;Barranquilla;1;Barranquilla;99;5
297826799;2013;1211394;2;Bogotá;2;Bogotá;99;5
297718659;2013;1994634;2;Bogotá;2;Bogotá;99;5
297826796;2013;2642676;2;Bogotá;2;Bogotá;99;5
297827958;2013;7262063;2;Bogotá;2;Bogotá;99;5
297827000;2013;5171771;2;Bogotá;2;Bogotá;99;5
414681;2013;4119495;2;Bogotá;2;Bogotá;99;5
382101;2013;1990048;4;Cali;15;Popayán;99;5
297826978;2013;15008927;2;Bogotá;2;Bogotá;99;5
297826677;2013;4378152;2;Bogotá;2;Bogotá;99;5
297826828;2013;11756650;2;Bogotá;2;Bogotá;99;5
297826830;2013;4809184;2;Bogotá;2;Bogotá;99;5
452491;2013;1902286;1;Barranquilla;9;Cartagena;99;5
9807355;2013;25886815;2;Bogotá;2;Bogotá;99;5
297826832;2013;6134672;2;Bogotá;2;Bogotá;99;5
297826833;2013;23813341;2;Bogotá;2;Bogotá;99;5
297826834;2013;17227432;2;Bogotá;2;Bogotá;99;5
452129;2013;1463252;2;Bogotá;2;Bogotá;99;5
9807356;2013;1864032;2;Bogotá;2;Bogotá;99;5
9807357;2013;1668924;2;Bogotá;2;Bogotá;99;5
297826941;2013;2154849;2;Bogotá;2;Bogotá;99;5
297826946;2013;9553001;2;Bogotá;2;Bogotá;99;5
297826982;2013;5261184;2;Bogotá;2;Bogotá;99;5
296886228;2013;15627536;1;Barranquilla;9;Cartagena;99;5
297826663;2013;2191239;2;Bogotá;2;Bogotá;99;5
297826985;2013;3607053;2;Bogotá;2;Bogotá;99;5
297826986;2013;7375043;2;Bogotá;2;Bogotá;99;5
297838044;2013;2580783;2;Bogotá;17;Tunja;99;5
409910;2013;2516085;5;Manizales;11;Ibagué;99;5
450883;2013;3977186;2;Bogotá;2;Bogotá;99;5
297839484;2013;4798408;2;Bogotá;2;Bogotá;99;5
299303284;2013;23907478;2;Bogotá;2;Bogotá;99;5
337133;2013;4727494;2;Bogotá;2;Bogotá;99;5
75000;2013;299026;1;Barranquilla;16;Santa Marta;99;5
75007;2013;685604;2;Bogotá;2;Bogotá;99;5
410376;2013;877385;1;Barranquilla;16;Santa Marta;99;5
296886229;2013;2379188;1;Barranquilla;16;Santa Marta;99;5
296914023;2013;287737;1;Barranquilla;16;Santa Marta;99;5
297718272;2013;4203211;2;Bogotá;2;Bogotá;99;5
297826922;2013;2677744;2;Bogotá;2;Bogotá;99;5
451251;2013;1272446;1;Barranquilla;9;Cartagena;99;5
451446;2013;1323878;1;Barranquilla;16;Santa Marta;99;5
455513;2013;38177423;2;Bogotá;2;Bogotá;99;5
9807403;2013;6780995;2;Bogotá;2;Bogotá;99;5
297730683;2013;2458695;4;Cali;4;Cali;99;5
296886232;2013;5176128;2;Bogotá;2;Bogotá;99;5
296886233;2013;3007240;2;Bogotá;2;Bogotá;99;5
296886234;2013;10423364;2;Bogotá;2;Bogotá;99;5
296886235;2013;5218589;2;Bogotá;2;Bogotá;99;5
296886236;2013;4875332;2;Bogotá;2;Bogotá;99;5
3834328;2013;4579579;2;Bogotá;2;Bogotá;99;5
297826903;2013;2469266;2;Bogotá;2;Bogotá;99;5
451463;2013;1671401;2;Bogotá;2;Bogotá;99;5
451466;2013;873463;2;Bogotá;2;Bogotá;99;5
297826734;2013;16625629;2;Bogotá;2;Bogotá;99;5
297826735;2013;26065854;2;Bogotá;2;Bogotá;99;5
452253;2013;14657157;2;Bogotá;2;Bogotá;99;5
296886239;2013;14657157;5;Manizales;11;Ibagué;99;5
452256;2013;2605287;5;Manizales;11;Ibagué;99;5
297826882;2013;2877816;2;Bogotá;2;Bogotá;99;5
297826889;2013;11657240;2;Bogotá;2;Bogotá;99;5
297826988;2013;1536117;2;Bogotá;2;Bogotá;99;5
457978;2013;565774;2;Bogotá;2;Bogotá;99;5
457979;2013;115358;2;Bogotá;2;Bogotá;99;5
297718280;2013;845102;2;Bogotá;2;Bogotá;99;5
451402;2013;405016;2;Bogotá;2;Bogotá;99;5
297826991;2013;1023221;2;Bogotá;2;Bogotá;99;5
9807346;2013;1304580;2;Bogotá;2;Bogotá;99;5
9807408;2013;6000157;2;Bogotá;2;Bogotá;99;5
297826672;2013;1170208;2;Bogotá;2;Bogotá;99;5
297838058;2013;1244738;2;Bogotá;2;Bogotá;99;5
297827017;2013;1155599;2;Bogotá;2;Bogotá;99;5
297826791;2013;1493184;2;Bogotá;2;Bogotá;99;5
297826945;2013;1494035;2;Bogotá;2;Bogotá;99;5
297838050;2013;2015574;2;Bogotá;91;Leticia;99;5
299303287;2013;5033467;2;Bogotá;2;Bogotá;99;5
9815066;2013;1377812;2;Bogotá;2;Bogotá;99;5
297823688;2013;66173;2;Bogotá;2;Bogotá;99;5
297821685;2013;176428;2;Bogotá;2;Bogotá;99;5
450816;2013;2791990;2;Bogotá;2;Bogotá;99;5
74977;2013;1531297;2;Bogotá;2;Bogotá;99;5
