Nro_Orden_Establecimiento;Periodo;C3RHE3;C3RHE4;C4VERTIADAPT;C6GAA1f;TOTALAVERTI;C3RHD1PTRV;C3RHD2PPVP;C3RHD3PMSV;MULTAVERT;C3RHD4TGTV;C3RHB1TAR;C3RHB2a;C3RHB2b;C3RHB2c;C3RHB2d;C3RHB3a3A;C3RHB3b3A;C3RHB3c3A;C3RHB3d3A;C3RHB3eT3A;C3RHB3a3B;C3RHB3b3B;C3RHB3c3B;C3RHB3d3B;C3RHB3eT3B;TOTVERTIDA;C3RHB4VAL;CODSEDE;Sede;CODSUBSEDE;Subsede;NOVEDAD;ESTADO
371773;2013;0;0;0;0;0;0;0;0;0;0;NO; ; ; ; ;0;0;0;0;0;2040;0;0;0;2040;2040;2820;1;Barranquilla;1;Barranquilla;99;5
442290;2013;0;0;2000;0;2000;0;0;0;0;0;NO; ; ; ; ;0;0;0;0;0;0;0;0;1200;1200;1200;0;1;Barranquilla;22;San Andrés;99;5
125800;2013;0;0;0;0;0;320;0;0;0;320;NO; ; ; ; ;0;0;0;0;0;7432;0;0;0;7432;7432;11148;1;Barranquilla;1;Barranquilla;99;5
297826960;2013;0;0;0;0;0;73;0;0;0;73;SI;a; ; ; ;54;0;0;0;54;1018;0;0;0;1018;1072;1671;2;Bogotá;2;Bogotá;99;5
297821378;2013;0;0;0;0;0;155;0;0;0;155;NO; ; ; ; ;0;0;0;0;0;2614;0;0;0;2614;2614;5791;2;Bogotá;18;Villavicencio;99;5
444265;2013;0;0;0;0;0;210;0;0;0;210;NO; ; ; ; ;0;0;0;0;0;3684;0;0;0;3684;3684;1433;3;Bucaramanga;10;Cúcuta;99;5
297730497;2013;600;0;0;0;600;0;0;0;0;0;SI;a; ; ; ;0;0;17100;0;17100;0;0;0;0;0;17100;0;5;Manizales;7;Pereira;99;5
297822798;2013;5000;0;200;0;5200;60;0;0;0;60;NO; ; ; ; ;0;0;0;0;0;2932;0;0;0;2932;2932;4290;6;Medellín;6;Medellín;99;5
297826670;2013;0;2500;5500;0;8000;2785;0;0;0;2785;SI;a; ; ; ;5;0;0;0;5;23351;0;0;0;23351;23356;35642;1;Barranquilla;1;Barranquilla;99;5
297826831;2013;0;250;8500;0;8750;3235;0;0;0;3235;SI;a; ; ; ;9903;0;0;0;9903;17832;0;0;0;17832;27735;42365;1;Barranquilla;1;Barranquilla;99;5
297826723;2013;0;0;0;1000;1000;5400;0;0;0;5400;SI;a; ; ; ;5019;0;0;0;5019;21899;0;0;0;21899;26918;56824;1;Barranquilla;1;Barranquilla;99;5
441900;2013;0;5456;2545;0;8001;0;0;0;0;0;SI; ; ; ;d;0;0;13845;0;13845;0;0;0;0;0;13845;15745;1;Barranquilla;9;Cartagena;99;5
297826718;2013;0;150;1500;0;1650;3465;1255;0;0;4720;SI;a; ; ; ;7939;0;0;0;7939;24525;0;0;0;24525;32464;41430;1;Barranquilla;1;Barranquilla;99;5
297826953;2013;0;0;0;0;0;74;1696;0;0;1770;NO; ; ; ; ;0;0;0;0;0;918;0;0;0;918;918;1298;1;Barranquilla;1;Barranquilla;99;5
297826792;2013;0;0;0;0;0;525;3215;0;0;3740;SI; ;b; ; ;1419;0;0;0;1419;3122;0;0;0;3122;4541;12123;1;Barranquilla;1;Barranquilla;99;5
297826898;2013;0;870;2500;0;3370;9128;1200;0;0;10328;SI;a; ; ; ;21423;0;0;0;21423;54224;0;0;0;54224;75647;116029;1;Barranquilla;1;Barranquilla;99;5
296886290;2013;0;0;0;0;0;440;0;0;0;440;NO; ; ; ; ;0;0;0;0;0;12246;0;0;0;12246;12246;25475;1;Barranquilla;9;Cartagena;99;5
9816110;2013;0;0;0;0;0;241;0;0;0;241;SI;a; ; ; ;1648;0;0;0;1648;2104;0;0;0;2104;3752;2653;1;Barranquilla;1;Barranquilla;99;5
9815988;2013;0;0;0;0;0;376;0;0;0;376;NO; ; ; ; ;0;0;0;0;0;2971;0;0;0;2971;2971;4932;1;Barranquilla;1;Barranquilla;99;5
297826722;2013;0;0;0;0;0;532;0;0;0;532;NO; ; ; ; ;0;0;0;0;0;6587;0;0;0;6587;6587;9511;1;Barranquilla;1;Barranquilla;99;5
297827969;2013;0;0;0;0;0;102;1123;0;0;1225;SI;a; ; ; ;893;0;0;0;893;1389;0;0;0;1389;2282;2182;1;Barranquilla;1;Barranquilla;99;5
297819041;2013;0;0;0;0;0;1069;1000;0;0;2069;NO; ; ; ; ;0;0;0;0;0;14774;0;0;0;14774;14774;22607;1;Barranquilla;1;Barranquilla;99;5
452218;2013;0;0;800;0;800;2317;0;0;0;2317;SI;a; ; ; ;5339;0;0;0;5339;12459;0;0;0;12459;17798;25698;1;Barranquilla;1;Barranquilla;99;5
441772;2013;0;0;0;0;0;30;0;0;0;30;NO; ; ; ; ;0;0;0;0;0;8626;0;0;0;8626;8626;15771;1;Barranquilla;1;Barranquilla;99;5
441802;2013;0;0;0;0;0;498;1500;0;0;1998;NO; ; ; ; ;0;0;0;0;0;4318;0;0;0;4318;4318;7132;1;Barranquilla;1;Barranquilla;99;5
441854;2013;0;0;31999;0;31999;0;3022;0;0;3022;SI; ; ;c; ;0;0;10368;0;10368;0;0;0;0;0;10368;0;1;Barranquilla;1;Barranquilla;99;5
297826799;2013;0;0;0;0;0;172;0;0;0;172;NO; ; ; ; ;0;0;0;0;0;2810;0;0;0;2810;2810;4380;2;Bogotá;2;Bogotá;99;5
297718659;2013;1415;1415;0;0;2830;214;0;0;0;214;SI;a; ; ; ;1194;0;0;0;1194;1794;0;0;0;1794;2988;4659;2;Bogotá;2;Bogotá;99;5
297826796;2013;0;0;0;0;0;244;0;0;0;244;NO; ; ; ; ;0;0;0;0;0;3842;0;0;0;3842;3842;5851;2;Bogotá;2;Bogotá;99;5
297827958;2013;0;0;6150;3000;9150;680;0;0;0;680;NO; ; ; ; ;0;0;0;0;0;11000;0;0;0;11000;11000;21705;2;Bogotá;2;Bogotá;99;5
297827000;2013;0;0;0;0;0;368;0;0;0;368;NO; ; ; ; ;0;0;0;0;0;5402;0;0;0;5402;5402;12699;2;Bogotá;2;Bogotá;99;5
414681;2013;0;320;110;0;430;549;0;0;0;549;SI;a; ; ; ;3306;0;0;0;3306;5010;0;0;0;5010;8316;12577;2;Bogotá;2;Bogotá;99;5
382101;2013;0;0;0;0;0;450;0;0;0;450;NO; ; ; ; ;0;0;0;0;0;6900;0;0;0;6900;6900;6013;4;Cali;15;Popayán;99;5
297826978;2013;0;0;5321;0;5321;2165;0;0;0;2165;SI;a; ; ; ;6363;0;0;0;6363;25453;0;0;0;25453;31816;48455;2;Bogotá;2;Bogotá;99;5
297826677;2013;0;0;0;0;0;382;0;0;0;382;NO; ; ; ; ;0;0;0;0;0;5624;0;0;0;5624;5624;8660;2;Bogotá;2;Bogotá;99;5
297826828;2013;1000;1600;1200;350;4150;639;0;0;0;639;SI;a; ; ; ;1200;0;0;0;1200;8140;0;0;0;8140;9340;14383;2;Bogotá;2;Bogotá;99;5
297826830;2013;0;0;0;0;0;461;0;0;0;461;NO; ; ; ; ;0;0;0;0;0;6092;0;0;0;6092;6092;10565;2;Bogotá;2;Bogotá;99;5
452491;2013;0;0;0;0;0;153;0;0;0;153;NO; ; ; ; ;0;0;0;0;0;4280;0;0;0;4280;4280;8903;1;Barranquilla;9;Cartagena;99;5
9807355;2013;0;2050;12000;0;14050;2203;0;0;0;2203;SI; ;b; ; ;11200;0;0;0;11200;20803;0;0;0;20803;32003;76341;2;Bogotá;2;Bogotá;99;5
297826832;2013;0;1525;3143;0;4668;377;0;0;0;377;SI;a; ; ; ;1650;0;0;0;1650;3863;0;0;0;3863;5513;8396;2;Bogotá;2;Bogotá;99;5
297826833;2013;0;0;0;0;0;3645;0;0;0;3645;SI;a; ; ; ;5237;0;0;0;5237;47133;0;0;0;47133;52370;79759;2;Bogotá;2;Bogotá;99;5
