Nro_Orden_Establecimiento;Periodo;C5REA1;C5REA2;C5REA3;C5REA4;C5REA9;C5REA5;C5REA6;C5REA7;C5REA8;C5REA10;C6GAA2e;C6GAA1b;TORAENER;C5REB1a;C5REB1b;C5REB2a;C5REB2b;C5REB3a;C5REB3b;C5REB16a;C5REB16b;C5REB4a;C5REB4b;C5REB5a;C5REB5b;C5REB6a;C5REB6b;C5REB7a;C5REB7b;C5REB8a;C5REB8b;C5REB9a;C5REB9b;C5REB10a;C5REB10b;C5REB11a;C5REB12a;C5REB13a;C5REB14a;C5REB15a;C5REB15b;C5REB17a;C5REB17b;CONBIOGAS;C5REB18b;CODSEDE;Sede;CODSUBSEDE;Subsede;NOVEDAD;ESTADO
371773;2013;0;0;0;0;0;0;0;0;0;2200;0;0;2200;76828;32505;1892;1900;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;34405;1;Barranquilla;1;Barranquilla;99;5
442290;2013;0;0;0;500;0;0;0;0;0;0;0;0;500;86976;39748;0;0;180;1836;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;41584;1;Barranquilla;22;San Andrés;99;5
125800;2013;0;0;0;0;12250;0;0;0;0;19250;0;0;31500;217512;67428;5760;4780;0;0;0;0;228;1869;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;74077;1;Barranquilla;1;Barranquilla;99;5
297826960;2013;0;0;0;2000;15000;0;0;0;0;8000;0;0;25000;107520;38654;53976;51583;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;90237;2;Bogotá;2;Bogotá;99;5
297821378;2013;0;0;1235;1160;0;0;0;0;0;5689;0;0;8084;156727;68012;1218;2182;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;70194;2;Bogotá;18;Villavicencio;99;5
444265;2013;0;4000;0;2000;0;0;0;0;0;0;0;0;6000;80390;36823;0;0;8856;9750;0;0;7200;24000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;70573;3;Bucaramanga;10;Cúcuta;99;5
297730497;2013;0;0;120;0;0;0;0;0;0;12000;0;400;12520;299280;133668;0;0;4200;17319;0;0;2780;21130;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;120;0;0;0;0;0;172117;5;Manizales;7;Pereira;99;5
297822798;2013;3000;1500;0;0;11530;1000;0;0;0;5000;0;0;22030;100320;35868;19188;16800;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;52668;6;Medellín;6;Medellín;99;5
297826670;2013;0;0;0;0;0;0;0;0;0;14500;0;0;14500;1821804;524432;78370;71789;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;596221;1;Barranquilla;1;Barranquilla;99;5
297826831;2013;0;0;0;0;0;0;0;0;0;9000;0;0;9000;1135466;318143;43215;35354;0;0;0;0;77;554;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;354051;1;Barranquilla;1;Barranquilla;99;5
297826723;2013;0;0;0;0;10000;0;0;0;0;45123;0;0;55123;2998162;830912;159323;142365;0;0;1200;10000;140;1200;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;984477;1;Barranquilla;1;Barranquilla;99;5
441900;2013;4256;0;0;2369;0;1247;0;0;0;17458;8965;0;34295;0;0;0;0;5520;5978;0;0;24151;200458;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;206436;1;Barranquilla;9;Cartagena;99;5
297826718;2013;0;0;0;9152;21226;0;2575;0;0;21226;0;15461;69640;3483100;947169;86176;79097;0;0;0;0;560;4560;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1030826;1;Barranquilla;1;Barranquilla;99;5
297826953;2013;0;0;0;2900;0;0;0;0;0;0;0;0;2900;669930;200979;10718;11790;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;212769;1;Barranquilla;1;Barranquilla;99;5
297826792;2013;0;0;0;2863;0;0;0;0;0;987;0;0;3850;922145;275850;19737;28540;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;304390;1;Barranquilla;1;Barranquilla;99;5
