Nro_Orden_Establecimiento;Periodo;C3RHE1;C3RHE2;C3RHE5;PROGAHORR;TOTALARH;C3RHC1PTU;C3RHC4RCASUP;C3RHC5RCASUB;C3RHC6PMS;MULTABAS;C3RHC7TOGT;C3RHA1cAC;C3RHA1dAC;VOCONSBL;VACONSBLQ;C3RHA5cCT;C3RHA5dCT;VOLBOTLL;VRBOTLL;C3RHA6cALL;C3RHA7cTVU1;C3RHA7dTVPCA;C3RHA2aSUP;C3RHA2bSUP;FECHADESDESUP;FECHAHASTASUP;C3RHA2cSUP;C3RHA3aSUB;C3RHA3bSUB;FECHADESDESUB;FECHAHASTASUB;C3RHA3cSUB;C3RHA4aAM;C3RHA4bAM;FECHADESDEMAR;FECHAHASTAMAR;C3RHA4cAM;C3RHA7aTVC;C3RHA7bTPC;C3RHA7cTVU2;C3RHA7cTVU;CODSEDE;Sede;CODSUBSEDE;Subsede;NOVEDAD;ESTADO
297826960;2015;0;0;0;0;0;5;0;0;0;0;5;1019;2639;0;0;0;0;3;1008;0;1022;3647;0;0; ; ;0;0;0; ; ;0;0;0; ; ;0;0;0;0;1022;2;Bogotá;2;Bogotá;99;5
297821378;2015;4899;2345;0;3285;10529;25;0;0;0;0;25;2030;5075;0;0;0;0;0;0;345;2375;5075;0;0; ; ;0;0;0; ; ;0;0;0; ; ;0;0;0;0;2375;2;Bogotá;18;Villavicencio;99;5
444265;2015;0;0;0;0;0;0;0;0;0;0;0;8520;8639;0;0;0;0;0;0;0;8520;8639;0;0; ; ;0;0;0; ; ;0;0;0; ; ;0;0;0;0;8520;3;Bucaramanga;10;Cúcuta;99;5
297822798;2015;0;1000;1900;2000;4900;33;0;0;0;0;33;2980;4686;0;0;0;0;0;0;0;2980;4686;0;0; ; ;0;0;0; ; ;0;0;0; ; ;0;0;0;0;2980;6;Medellín;6;Medellín;99;5
297826670;2015;0;0;0;0;0;35;0;0;0;0;35;18320;46754;0;0;0;0;0;0;0;18320;46754;0;0; ; ;0;0;0; ; ;0;0;0; ; ;0;0;0;0;18320;1;Barranquilla;1;Barranquilla;99;5
297826831;2015;0;0;0;0;0;46;0;0;0;0;46;32982;72390;0;0;0;0;0;0;0;32982;72390;0;0; ; ;0;0;0; ; ;0;0;0; ; ;0;0;0;0;32982;1;Barranquilla;1;Barranquilla;99;5
297826723;2015;0;0;0;0;0;51;0;0;0;0;51;29003;81046;0;0;0;0;0;0;0;29003;81046;0;0; ; ;0;0;0; ; ;0;0;0; ; ;0;0;0;0;29003;1;Barranquilla;1;Barranquilla;99;5
441900;2015;0;0;45745;0;45745;0;0;0;0;0;0;0;0;0;0;7231;27296;0;0;5236;12467;27296;0;0; ; ;0;0;0; ; ;0;11500;172100; ; ;8659;11500;172100;8659;21126;1;Barranquilla;9;Cartagena;99;5
297838192;2015;0;0;0;0;0;64;0;126;0;0;190;38702;100881;0;0;33;11600;0;0;0;38735;112481;0;0; ; ;0;15552;0;14/03/2013;14/03/2018;14725;0;0; ; ;0;15552;0;14725;53460;1;Barranquilla;1;Barranquilla;99;5
297826718;2015;0;0;0;0;0;75;0;0;0;0;75;38146;99477;0;0;0;0;0;0;0;38146;99477;0;0; ; ;0;0;0; ; ;0;0;0; ; ;0;0;0;0;38146;1;Barranquilla;1;Barranquilla;99;5
297826953;2015;0;0;0;0;0;0;0;0;0;0;0;1360;3536;0;0;0;0;0;0;0;1360;3536;0;0; ; ;0;0;0; ; ;0;0;0; ; ;0;0;0;0;1360;1;Barranquilla;1;Barranquilla;99;5
297826792;2015;0;0;0;0;0;10;0;0;0;0;10;5880;16439;0;0;0;0;0;0;0;5880;16439;0;0; ; ;0;0;0; ; ;0;0;0; ; ;0;0;0;0;5880;1;Barranquilla;1;Barranquilla;99;5
296886290;2015;0;0;0;0;0;94;0;0;0;0;94;14564;33819;0;0;0;0;0;0;0;14564;33819;0;0; ; ;0;0;0; ; ;0;0;0; ; ;0;0;0;0;14564;1;Barranquilla;9;Cartagena;99;5
9816110;2015;0;0;0;0;0;2;0;0;0;0;2;1282;3334;0;0;0;0;0;0;0;1282;3334;0;0; ; ;0;1120;660;01/01/2015;01/01/2016;1120;0;0; ; ;0;1120;660;1120;2402;1;Barranquilla;1;Barranquilla;99;5
9815988;2015;0;0;0;0;0;37;0;0;0;0;37;12312;31763;0;0;0;0;0;0;0;12312;31763;0;0; ; ;0;0;0; ; ;0;0;0; ; ;0;0;0;0;12312;1;Barranquilla;1;Barranquilla;99;5
297826722;2015;3900;2100;6200;0;12200;237;0;0;0;0;237;7433;20785;0;0;0;0;0;0;0;7433;20785;0;0; ; ;0;0;0; ; ;0;0;0; ; ;0;0;0;0;7433;1;Barranquilla;1;Barranquilla;99;5
297827969;2015;0;0;0;0;0;3;0;1486;0;0;1489;1606;4308;0;0;0;0;0;0;0;1606;4308;0;0; ; ;0;1200;1486;19/02/2014;19/02/2015;614;0;0; ; ;0;1200;1486;614;2220;1;Barranquilla;1;Barranquilla;99;5
297819041;2015;0;9360;0;0;9360;45;0;0;0;0;45;13463;35041;0;0;0;0;0;0;0;13463;35041;0;0; ; ;0;0;0; ; ;0;0;0; ; ;0;0;0;0;13463;1;Barranquilla;1;Barranquilla;99;5
452218;2015;0;743;689;300;1732;35;0;0;0;0;35;15261;39678;0;0;0;0;4;1222;0;15265;40900;0;0; ; ;0;0;0; ; ;0;0;0; ; ;0;0;0;0;15265;1;Barranquilla;1;Barranquilla;99;5
441772;2015;0;0;0;0;0;12;0;0;0;0;12;7800;20280;0;0;0;0;0;0;0;7800;20280;0;0; ; ;0;0;0; ; ;0;0;0; ; ;0;0;0;0;7800;1;Barranquilla;1;Barranquilla;99;5
441802;2015;0;0;0;0;0;20;0;0;0;0;20;6432;16723;0;0;0;0;0;0;0;6432;16723;0;0; ; ;0;0;0; ; ;0;0;0; ; ;0;0;0;0;6432;1;Barranquilla;1;Barranquilla;99;5
408986;2015;0;0;0;0;0;0;0;0;0;0;0;3262;8157;0;0;0;0;0;0;0;3262;8157;0;0; ; ;0;0;0; ; ;0;0;0; ; ;0;0;0;0;3262;1;Barranquilla;1;Barranquilla;99;5
441854;2015;0;0;0;0;0;10254;0;35;0;0;10289;4019;11254;0;0;0;0;0;0;0;4019;11254;0;0; ; ;0;21600;35;11/09/2012;11/09/2017;13982;0;0; ; ;0;21600;35;13982;18001;1;Barranquilla;1;Barranquilla;99;5
10101150;2015;0;6000;2000;0;8000;11;0;0;0;0;11;14796;38469;0;0;0;0;0;0;0;14796;38469;0;0; ; ;0;0;0; ; ;0;0;0; ; ;0;0;0;0;14796;1;Barranquilla;1;Barranquilla;99;5
297827591;2015;0;0;0;0;0;36;0;0;0;0;36;4520;11978;0;0;0;0;0;0;0;4520;11978;0;0; ; ;0;0;0; ; ;0;0;0; ; ;0;0;0;0;4520;1;Barranquilla;1;Barranquilla;99;5
300470906;2015;0;0;0;0;0;36;0;0;0;0;36;13284;31274;0;0;0;0;0;0;0;13284;31274;0;0; ; ;0;0;0; ; ;0;0;0; ; ;0;0;0;0;13284;1;Barranquilla;1;Barranquilla;99;5
10101289;2015;0;0;700;0;700;66;0;0;0;0;66;10576;29792;0;0;0;0;0;0;0;10576;29792;0;0; ; ;0;0;0; ; ;0;0;0; ; ;0;0;0;0;10576;1;Barranquilla;1;Barranquilla;99;5
300470907;2015;0;3200;1800;1500;6500;2800;3200;2500;0;0;8500;22563;56407;0;0;0;0;0;0;0;22563;56407;0;0; ; ;0;116;0; ; ;0;0;0; ; ;0;116;0;0;22563;1;Barranquilla;1;Barranquilla;99;5
300470908;2015;0;0;0;0;0;4;0;0;0;0;4;2010;5645;0;0;0;0;0;0;0;2010;5645;0;0; ; ;0;0;0; ; ;0;0;0; ; ;0;0;0;0;2010;1;Barranquilla;1;Barranquilla;99;5
300470909;2015;0;0;0;0;0;0;0;0;0;0;0;1;2;0;0;0;0;0;0;0;1;2;0;0; ; ;0;0;0; ; ;0;0;0; ; ;0;0;0;0;1;1;Barranquilla;1;Barranquilla;99;5
300470910;2015;0;7500;600;200;8300;35;0;0;0;0;35;9350;18682;0;0;0;0;4;1222;0;9354;19904;0;0; ; ;0;0;0; ; ;0;0;0; ; ;0;0;0;0;9354;1;Barranquilla;1;Barranquilla;99;5
1771148;2015;0;5000;4000;0;9000;17;0;0;0;0;17;0;0;2138;17000;0;0;0;0;0;2138;17000;0;0; ; ;0;0;0; ; ;0;0;0; ; ;0;0;0;0;2138;1;Barranquilla;1;Barranquilla;99;5
10101357;2015;0;0;0;0;0;35;0;0;0;0;35;2724;7581;0;0;0;0;0;0;0;2724;7581;0;0; ; ;0;0;0; ; ;0;0;0; ; ;0;0;0;0;2724;1;Barranquilla;1;Barranquilla;99;5
10101358;2015;0;0;0;0;0;81;0;0;0;0;81;5117;1399;0;0;0;0;0;0;0;5117;1399;0;0; ; ;0;0;0; ; ;0;0;0; ; ;0;0;0;0;5117;1;Barranquilla;1;Barranquilla;99;5
297826799;2015;0;0;0;0;0;15;0;0;0;0;15;2753;7312;0;0;0;0;0;0;0;2753;7312;0;0; ; ;0;0;0; ; ;0;0;0; ; ;0;0;0;0;2753;2;Bogotá;2;Bogotá;99;5
297718659;2015;0;2000;0;500;2500;10;0;0;0;0;10;1821;4807;0;0;0;0;0;0;0;1821;4807;0;0; ; ;0;0;0; ; ;0;0;0; ; ;0;0;0;0;1821;2;Bogotá;2;Bogotá;99;5
297826796;2015;0;0;0;0;0;38;0;0;0;0;38;7268;18889;0;0;0;0;2;805;0;7270;19694;0;0; ; ;0;0;0; ; ;0;0;0; ; ;0;0;0;0;7270;2;Bogotá;2;Bogotá;99;5
297827958;2015;0;0;2173;0;2173;62;0;0;0;0;62;11865;29543;0;0;0;0;4;1300;0;11869;30843;0;0; ; ;0;0;0; ; ;0;0;0; ; ;0;0;0;0;11869;2;Bogotá;2;Bogotá;99;5
297827000;2015;0;0;0;0;0;24;0;0;0;0;24;4609;11978;0;0;0;0;2;901;0;4611;12879;0;0; ; ;0;0;0; ; ;0;0;0; ; ;0;0;0;0;4611;2;Bogotá;2;Bogotá;99;5
414681;2015;0;0;720;0;720;46;0;0;0;0;46;8162;21049;0;0;0;0;0;0;0;8162;21049;0;0; ; ;0;0;0; ; ;0;0;0; ; ;0;0;0;0;8162;2;Bogotá;2;Bogotá;99;5
382101;2015;0;0;0;0;0;17;0;0;0;0;17;10659;12315;0;0;0;0;0;0;0;10659;12315;0;0; ; ;0;0;0; ; ;0;0;0; ; ;0;0;0;0;10659;4;Cali;15;Popayán;99;5
297826978;2015;0;0;0;0;0;139;0;0;0;0;139;25332;65610;0;0;0;0;3;1199;0;25335;66809;0;0; ; ;0;0;0; ; ;0;0;0; ; ;0;0;0;0;25335;2;Bogotá;2;Bogotá;99;5
297826677;2015;0;0;0;0;0;26;0;0;0;0;26;4820;12903;0;0;0;0;2;856;0;4822;13759;0;0; ; ;0;0;0; ; ;0;0;0; ; ;0;0;0;0;4822;2;Bogotá;2;Bogotá;99;5
297826828;2015;0;100;800;0;900;83;0;0;0;0;83;15669;40739;0;0;0;0;0;0;0;15669;40739;0;0; ; ;0;0;0; ; ;0;0;0; ; ;0;0;0;0;15669;2;Bogotá;2;Bogotá;99;5
297826830;2015;0;0;0;0;0;22;0;0;0;0;22;4653;12046;0;0;0;0;1;153;0;4654;12199;0;0; ; ;0;0;0; ; ;0;0;0; ; ;0;0;0;0;4654;2;Bogotá;2;Bogotá;99;5
452491;2015;0;0;0;0;0;53;0;0;0;0;53;8217;19967;0;0;0;0;0;0;0;8217;19967;0;0; ; ;0;0;0; ; ;0;0;0; ; ;0;0;0;0;8217;1;Barranquilla;9;Cartagena;99;5
9807355;2015;0;0;1400;0;1400;212;0;0;0;0;212;36964;96069;0;0;0;0;45;72900;0;37009;168969;0;0; ; ;0;0;0; ; ;0;0;0; ; ;0;0;0;0;37009;2;Bogotá;2;Bogotá;99;5
297826832;2015;0;0;0;0;0;29;0;0;0;0;29;5590;14114;0;0;0;0;0;0;0;5590;14114;0;0; ; ;0;0;0; ; ;0;0;0; ; ;0;0;0;0;5590;2;Bogotá;2;Bogotá;99;5
297826833;2015;0;226688;0;0;226688;211;0;0;0;0;211;40536;104988;0;0;0;0;66;21278;0;40602;126266;0;0; ; ;0;0;0; ; ;0;0;0; ; ;0;0;0;0;40602;2;Bogotá;2;Bogotá;99;5
297826834;2015;0;400;1981;0;2381;98;0;0;0;0;98;18253;47874;0;0;0;0;7;2872;0;18260;50746;0;0; ; ;0;0;0; ; ;0;0;0; ; ;0;0;0;0;18260;2;Bogotá;2;Bogotá;99;5
452129;2015;0;0;600;0;600;238;0;0;0;0;238;8026;9518;0;0;0;0;0;0;0;8026;9518;0;0; ; ;0;0;0; ; ;0;0;0; ; ;0;0;0;0;8026;2;Bogotá;2;Bogotá;99;5
9807356;2015;0;0;1300;0;1300;34;0;0;0;0;34;6376;16386;0;0;0;0;0;0;0;6376;16386;0;0; ; ;0;0;0; ; ;0;0;0; ; ;0;0;0;0;6376;2;Bogotá;2;Bogotá;99;5
9807357;2015;0;0;1120;0;1120;27;0;0;0;0;27;5047;12930;0;0;0;0;0;0;0;5047;12930;0;0; ; ;0;0;0; ; ;0;0;0; ; ;0;0;0;0;5047;2;Bogotá;2;Bogotá;99;5
297826941;2015;0;0;0;0;0;21;0;0;0;0;21;4122;10713;0;0;0;0;0;0;0;4122;10713;0;0; ; ;0;0;0; ; ;0;0;0; ; ;0;0;0;0;4122;2;Bogotá;2;Bogotá;99;5
297826946;2015;0;1000;3500;1000;5500;125;0;0;0;0;125;22810;61062;0;0;0;0;56;22306;0;22866;83368;0;0; ; ;0;0;0; ; ;0;0;0; ; ;0;0;0;0;22866;2;Bogotá;2;Bogotá;99;5
297826982;2015;0;0;0;0;0;129;0;0;0;0;129;24255;64930;0;0;0;0;0;0;0;24255;64930;0;0; ; ;0;0;0; ; ;0;0;0; ; ;0;0;0;0;24255;2;Bogotá;2;Bogotá;99;5
296886228;2015;0;0;0;0;0;174;0;0;0;0;174;27048;64942;0;0;0;0;30;11250;0;27078;76192;0;0; ; ;0;0;0; ; ;0;0;0; ; ;0;0;0;0;27078;1;Barranquilla;9;Cartagena;99;5
297826663;2015;0;154;0;0;154;19;0;0;0;0;19;3862;10037;0;0;0;0;0;0;0;3862;10037;0;0; ; ;0;0;0; ; ;0;0;0; ; ;0;0;0;0;3862;2;Bogotá;2;Bogotá;99;5
297826985;2015;0;0;0;0;0;34;0;0;0;0;34;6367;16600;0;0;0;0;0;0;0;6367;16600;0;0; ; ;0;0;0; ; ;0;0;0; ; ;0;0;0;0;6367;2;Bogotá;2;Bogotá;99;5
297826986;2015;0;5000;15250;0;20250;63;0;0;0;0;63;11945;31033;0;0;0;0;0;0;0;11945;31033;0;0; ; ;0;0;0; ; ;0;0;0; ; ;0;0;0;0;11945;2;Bogotá;2;Bogotá;99;5
297838044;2015;0;0;3655;0;3655;0;0;0;0;0;0;11069;17324;0;0;0;0;0;0;0;11069;17324;0;0; ; ;0;0;0; ; ;0;0;0; ; ;0;0;0;0;11069;2;Bogotá;17;Tunja;99;5
409910;2015;139;0;327;0;466;595;617;0;0;0;1212;0;0;0;0;0;0;23;4074;0;23;4074;473040;7412;01/01/2013;31/08/2017;8328;0;0; ; ;0;0;0; ; ;0;473040;7412;8328;8351;5;Manizales;11;Ibagué;99;5
450883;2015;0;0;0;0;0;23;0;0;0;0;23;4013;10032;0;0;0;0;0;0;0;4013;10032;0;0; ; ;0;0;0; ; ;0;0;0; ; ;0;0;0;0;4013;2;Bogotá;2;Bogotá;99;5
