Nro_Orden_Establecimiento;Periodo;C6GAA2ab;C6GAA1e;C6GAA2d;C6GAA2f;C6GAA2g;C6GAA2h;C6GAA2i;TOTALGAA;C6GAAB1a;C6GAAB1b;C6GAAB1c;C6GAAB1d;C6GAAB2a;C6GAAB2b;C6GAAB2c;C6GAAB2d;C6GAAB3a;C6GAAB3b;C6GAAB3c;C6GAAB3d;C6GAAB4a;C6GAAB4b;C6GAAB4c;C6GAAB4d;POTPSFR;C6AAC1d;POTPERM;C6AAC2d;POTTCDE;C6AAC3d;POTTCAG;C6AAC4d;POTPAU;C6AAC5d;POTTOT;C6AAC6dT;GPPSI;GPPER;GPPPSP;GPPPST;GPPCPO;GPPANO;GPPAVO;GPPGPA;GPPGPN;GPPTPOT;GPPPTA;C6AAC1bRPA;C6AAC2bRPA;C6AAC3bRPA;C6AAC4bRPA;C6AAC5bRPA;C6AAC6bRPA;C6AAC7bRPA;C6AAC8bRPA;C6AAC9bRPA;C6AAC10bTRPA;C6AAC11bRPA;C6AA12bPSAAA;CREE;CREE_B;CREE_SALUD;CREE_SALUD_B;CODSEDE;Sede;CODSUBSEDE;Subsede;NOVEDAD;ESTADO
297826722;2015;0;0;0;0;0;0;0;0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2;0;0;0;25;0;3;0;1;0;31;0;0;0;0;364067;34670;10344;0;7732;12743;429556;36270;0;0;0;0;0;0;0;0;0;0;0;0;0; ;0; ;1;Barranquilla;1;Barranquilla;99;5
297827969;2015;0;0;0;0;0;0;0;0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;4;0;37;0;0;0;35;0;5;0;81;0;0;449542;113325;0;58590;17985;0;23940;0;663382;416311;0;0;0;0;0;0;0;0;0;0;0;0;12732; ;12732; ;1;Barranquilla;1;Barranquilla;99;5
297819041;2015;0;0;0;0;0;0;0;0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;0;0;64;0;0;0;3;0;3;0;70;0;133532;946137;230438;0;156675;53073;0;23196;199187;1742238;96696;0;0;0;0;0;0;0;0;0;0;0;0;0; ;0; ;1;Barranquilla;1;Barranquilla;99;5
452218;2015;0;0;0;0;0;0;0;0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;0;0;1;0;83;0;21;0;4;0;109;0;0;84672;21168;1691440;310934;128174;0;30928;45439;2312755;241593;0;0;0;0;0;0;0;0;0;0;0;0; ; ; ; ;1;Barranquilla;1;Barranquilla;99;5
441772;2015;0;0;0;0;0;0;0;0;a; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2;0;0;0;0;0;28;0;0;0;30;0;0;0;0;0;0;0;0;0;0;0;468530;0;0;0;0;0;0;0;0;0;0;0;0; ; ; ; ;1;Barranquilla;1;Barranquilla;99;5
441802;2015;0;0;0;0;0;0;0;0; ;b;21/04/2014;20/03/2017; ; ; ; ; ; ; ; ; ; ; ; ;2;0;22;0;0;0;41;0;4;0;69;0;0;446773;94103;0;57183;15510;0;28041;76254;717864;520890;0;0;0;0;0;0;0;0;0;0;0;0;0; ;0; ;1;Barranquilla;1;Barranquilla;99;5
408986;2015;0;0;0;0;0;0;0;0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;0;0;0;0;0;23;0;0;0;24;0;0;0;0;0;0;0;0;0;0;0;251839;0;0;0;0;0;0;0;0;0;0;0;0; ; ; ; ;1;Barranquilla;1;Barranquilla;99;5
441854;2015;0;0;0;0;0;0;0;0; ;b;30/06/2004;30/06/2018; ; ; ; ; ; ; ; ; ; ; ; ;0;0;12;6;0;0;21;5;0;0;33;11;0;187264;37896;0;42653;17327;0;0;8470;293610;430699;0;93632;18948;0;21326;8664;0;0;4235;146805;6270;102547; ; ; ; ;1;Barranquilla;1;Barranquilla;99;5
10101150;2015;0;0;0;0;0;0;0;0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;0;0;26;0;0;0;0;0;1;0;27;0;0;522696;117994;0;116682;46412;0;7728;56615;868127;0;0;0;0;0;0;0;0;0;0;0;0;0; ; ; ; ;1;Barranquilla;1;Barranquilla;99;5
297827591;2015;0;0;0;0;0;0;0;0; ; ; ; ; ; ; ; ; ;b;17/03/2015;16/03/2016; ;b;17/03/2015;16/03/2016;1;0;53;0;0;0;0;0;3;0;57;0;0;743933;170704;0;159454;29757;0;23196;39074;1166118;0;0;0;0;0;0;0;0;0;0;0;0;0;28312; ; ; ;1;Barranquilla;1;Barranquilla;99;5
300470906;2015;0;0;0;0;0;0;0;0;a; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;0;0;63;0;0;0;12;0;2;0;77;0;0;899287;204242;0;197560;82404;0;15456;100506;1499455;540000;0;0;0;0;0;0;0;0;0;0;0;0; ; ; ; ;1;Barranquilla;1;Barranquilla;99;5
10101289;2015;0;0;0;0;0;0;0;0; ; ; ; ; ; ; ; ; ; ; ; ;a; ; ; ;0;0;48;0;0;0;17;0;3;0;68;0;0;1014819;376125;0;200929;80602;0;20682;26756;1719913;187811;0;0;0;0;0;0;0;0;0;0;0;0; ; ; ; ;1;Barranquilla;1;Barranquilla;99;5
300470907;2015;0;2800;1600;900;0;0;0;5300; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;4;2;25;8;0;0;0;0;1;0;30;10;0;283700;57100;0;32900;26;0;7400;0;381126;0;0;49700;26400;0;2500;26;0;0;0;78626;0;0;6200;6200;6200;0;1;Barranquilla;1;Barranquilla;99;5
300470908;2015;0;0;0;0;0;0;0;0;a; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;0;0;0;0;0;23;0;0;0;24;0;0;0;0;0;0;0;0;0;0;0;249189;0;0;0;0;0;0;0;0;0;0;0;0; ; ; ; ;1;Barranquilla;1;Barranquilla;99;5
300470909;2015;0;0;0;0;0;0;0;0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;0;0;42;0;0;0;0;0;0;0;42;0;0;445657;155199;0;1;1;0;0;0;600858;0;0;0;0;0;0;0;0;0;0;0;0;0;0; ;0; ;1;Barranquilla;1;Barranquilla;99;5
300470910;2015;0;0;0;0;0;0;0;0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;0;0;0;0;18;0;0;0;0;0;18;0;0;0;0;865230;12235;5396;0;0;2873;885734;0;0;0;0;0;0;0;0;0;0;0;0;0;125; ;130; ;1;Barranquilla;1;Barranquilla;99;5
1771148;2015;0;0;0;0;0;0;0;0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;0;0;19;3;0;0;0;0;0;0;19;3;0;200534;46000;0;6000;18000;0;0;0;270534;0;0;100000;50000;0;20000;10000;0;0;0;180000;0;0; ; ;43300; ;1;Barranquilla;1;Barranquilla;99;5
