Nro_Orden_Establecimiento;Periodo;C3RHE3;C3RHE4;C4VERTIADAPT;C6GAA1f;TOTALAVERTI;C3RHD1PTRV;C3RHD2PPVP;C3RHD3PMSV;MULTAVERT;C3RHD4TGTV;C3RHB1TAR;C3RHB2a;C3RHB2b;C3RHB2c;C3RHB2d;C3RHB3a3A;C3RHB3b3A;C3RHB3c3A;C3RHB3d3A;C3RHB3eT3A;C3RHB3a3B;C3RHB3b3B;C3RHB3c3B;C3RHB3d3B;C3RHB3eT3B;TOTVERTIDA;C3RHB4VAL;CODSEDE;Sede;CODSUBSEDE;Subsede;NOVEDAD;ESTADO
297826960;2015;0;0;0;0;0;74;0;0;0;74;SI;a; ; ; ;102;0;0;0;102;920;0;0;0;920;1022;1610;2;Bogotá;2;Bogotá;99;5
297821378;2015;0;0;0;2385;2385;158;0;0;0;158;NO; ; ; ; ;0;0;0;0;0;2375;0;0;0;2375;2375;1258;2;Bogotá;18;Villavicencio;99;5
444265;2015;0;0;0;0;0;0;0;0;0;0;NO; ; ; ; ;0;0;0;0;0;8520;0;0;0;8520;8520;3169;3;Bucaramanga;10;Cúcuta;99;5
297822798;2015;1200;0;0;1000;2200;385;0;0;0;385;NO; ; ; ; ;0;0;0;0;0;2980;0;0;0;2980;2980;6950;6;Medellín;6;Medellín;99;5
297826670;2015;0;800;0;0;800;1575;0;0;0;1575;SI;a; ; ; ;5370;0;0;0;5370;12940;0;0;0;12940;18310;27932;1;Barranquilla;1;Barranquilla;99;5
297826831;2015;0;659;5210;0;5869;2882;0;0;0;2882;SI;a; ; ; ;11543;0;0;0;11543;21439;0;0;0;21439;32982;44208;1;Barranquilla;1;Barranquilla;99;5
297826723;2015;0;0;0;0;0;2636;1;0;0;2637;SI;a; ; ; ;5749;0;0;0;5749;23254;0;0;0;23254;29003;45356;1;Barranquilla;1;Barranquilla;99;5
441900;2015;0;15458;4125;0;19583;0;0;0;0;0;SI;a; ; ; ;0;0;21126;0;21126;0;0;0;0;0;21126;0;1;Barranquilla;9;Cartagena;99;5
297838192;2015;0;4872;7427;0;12299;0;736;0;0;736;SI;a; ; ; ;0;0;53460;0;53460;0;0;0;0;0;53460;0;1;Barranquilla;1;Barranquilla;99;5
297826718;2015;0;0;1800;0;1800;3900;57816;0;0;61716;SI; ;b; ; ;10146;0;0;0;10146;28000;0;0;0;28000;38146;59743;1;Barranquilla;1;Barranquilla;99;5
297826953;2015;0;0;0;0;0;80;0;0;0;80;SI;a; ; ; ;1360;0;0;0;1360;0;0;0;0;0;1360;1573;1;Barranquilla;1;Barranquilla;99;5
297826792;2015;0;0;0;0;0;445;0;0;0;445;SI;a; ; ; ;1702;0;0;0;1702;4178;0;0;0;4178;5880;9992;1;Barranquilla;1;Barranquilla;99;5
296886290;2015;0;0;0;0;0;542;0;0;0;542;NO; ; ; ; ;0;0;0;0;0;14564;0;0;0;14564;14564;32376;1;Barranquilla;9;Cartagena;99;5
9816110;2015;0;0;0;0;0;112;0;0;0;112;SI;a; ; ; ;985;0;0;0;985;1417;0;0;0;1417;2402;1852;1;Barranquilla;1;Barranquilla;99;5
9815988;2015;0;0;0;0;0;2372;0;0;0;2372;SI;a; ; ; ;1231;0;0;0;1231;11081;0;0;0;11081;12312;17853;1;Barranquilla;1;Barranquilla;99;5
297826722;2015;0;0;0;0;0;705;0;0;0;705;NO; ; ; ; ;0;0;0;0;0;7433;0;0;0;7433;7433;13422;1;Barranquilla;1;Barranquilla;99;5
297827969;2015;360;0;0;0;360;133;0;0;0;133;SI;a; ; ; ;871;0;0;0;871;1349;0;0;0;1349;2220;2489;1;Barranquilla;1;Barranquilla;99;5
297819041;2015;40600;20000;0;0;60600;803;1009;0;0;1812;SI; ;b; ; ;480;0;0;0;480;12983;0;0;0;12983;13463;15807;1;Barranquilla;1;Barranquilla;99;5
452218;2015;0;0;1500;0;1500;1227;0;0;0;1227;SI;a; ; ; ;6082;0;0;0;6082;9183;0;0;0;9183;15265;32783;1;Barranquilla;1;Barranquilla;99;5
441772;2015;0;0;0;0;0;668;0;0;0;668;NO; ; ; ; ;0;0;0;0;0;7800;0;0;0;7800;7800;11700;1;Barranquilla;1;Barranquilla;99;5
441802;2015;0;0;0;0;0;950;0;0;0;950;NO; ; ; ; ;0;0;0;0;0;6432;0;0;0;6432;6432;9648;1;Barranquilla;1;Barranquilla;99;5
408986;2015;0;0;0;0;0;215;0;0;0;215;NO; ; ; ; ;0;0;0;0;0;3262;0;0;0;3262;3262;4893;1;Barranquilla;1;Barranquilla;99;5
441854;2015;0;4927;27922;0;32849;0;0;0;0;0;SI; ;b; ; ;0;0;18001;0;18001;0;0;0;0;0;18001;0;1;Barranquilla;1;Barranquilla;99;5
10101150;2015;0;0;0;0;0;38;0;0;0;38;NO; ; ; ; ;0;0;0;0;0;14796;0;0;0;14796;14796;15440;1;Barranquilla;1;Barranquilla;99;5
297827591;2015;0;0;0;0;0;538;0;0;0;538;NO; ; ; ; ;0;0;0;0;0;4520;0;0;0;4520;4520;6750;1;Barranquilla;1;Barranquilla;99;5
300470906;2015;0;0;0;0;0;2286;0;0;0;2286;NO; ; ; ; ;0;0;0;0;0;13284;0;0;0;13284;13284;19926;1;Barranquilla;1;Barranquilla;99;5
10101289;2015;0;0;1400;0;1400;205;0;0;0;205;NO; ; ; ; ;0;0;0;0;0;10576;0;0;0;10576;10576;19473;1;Barranquilla;1;Barranquilla;99;5
300470907;2015;0;0;0;0;0;1800;1200;0;0;3000;NO; ; ; ; ;0;0;0;0;0;22563;0;0;0;22563;22563;10500;1;Barranquilla;1;Barranquilla;99;5
