Nro_Orden_Establecimiento;Periodo;NUMHAB;NUMCAMA;IHPN;IHPT;CODSEDE;Sede;CODSUBSEDE;Subsede;NOVEDAD;ESTADO
297826960;2015;100;137;22961;14636;2;Bogotá;2;Bogotá;99;5
297821378;2015;46;60;2337;1558;2;Bogotá;18;Villavicencio;99;5
444265;2015;81;205;11563;6543;3;Bucaramanga;10;Cúcuta;99;5
297822798;2015;127;184;43654;17076;6;Medellín;6;Medellín;99;5
297826670;2015;109;151;12998;12730;1;Barranquilla;1;Barranquilla;99;5
297826831;2015;72;105;20390;13270;1;Barranquilla;1;Barranquilla;99;5
297826723;2015;176;221;58306;58306;1;Barranquilla;1;Barranquilla;99;5
441900;2015;45;90;32400;15138;1;Barranquilla;9;Cartagena;99;5
297838192;2015;26;130;11028;8520;1;Barranquilla;1;Barranquilla;99;5
297826718;2015;142;191;60128;60128;1;Barranquilla;1;Barranquilla;99;5
297826953;2015;2310;3930;32528;23954;1;Barranquilla;1;Barranquilla;99;5
297826792;2015;105;249;16337;13022;1;Barranquilla;1;Barranquilla;99;5
296886290;2015;78;206;45578;18127;1;Barranquilla;9;Cartagena;99;5
9816110;2015;77;92;20493;10468;1;Barranquilla;1;Barranquilla;99;5
9815988;2015;75;170;23430;23430;1;Barranquilla;1;Barranquilla;99;5
297826722;2015;49;59;6049;4502;1;Barranquilla;1;Barranquilla;99;5
297827969;2015;44;86;6733;6733;1;Barranquilla;1;Barranquilla;99;5
297819041;2015;118;146;34820;32442;1;Barranquilla;1;Barranquilla;99;5
452218;2015;123;188;42948;42948;1;Barranquilla;1;Barranquilla;99;5
441772;2015;56;100;24510;14006;1;Barranquilla;1;Barranquilla;99;5
441802;2015;76;152;26173;25303;1;Barranquilla;1;Barranquilla;99;5
408986;2015;56;64;8402;8309;1;Barranquilla;1;Barranquilla;99;5
441854;2015;11;54;2773;2773;1;Barranquilla;1;Barranquilla;99;5
10101150;2015;125;188;30331;29331;1;Barranquilla;1;Barranquilla;99;5
297827591;2015;86;108;18008;12404;1;Barranquilla;1;Barranquilla;99;5
300470906;2015;42840;68040;31189;30181;1;Barranquilla;1;Barranquilla;99;5
10101289;2015;123;173;22737;22737;1;Barranquilla;1;Barranquilla;99;5
300470907;2015;60;157;14568;9737;1;Barranquilla;1;Barranquilla;99;5
300470908;2015;94;138;13226;13226;1;Barranquilla;1;Barranquilla;99;5
300470909;2015;56;82;198;198;1;Barranquilla;1;Barranquilla;99;5
300470910;2015;153;207;3005;2756;1;Barranquilla;1;Barranquilla;99;5
1771148;2015;30;90;12093;10200;1;Barranquilla;1;Barranquilla;99;5
10101357;2015;31;83;16958;9217;1;Barranquilla;1;Barranquilla;99;5
10101358;2015;72;133;5464;5463;1;Barranquilla;1;Barranquilla;99;5
297826799;2015;32;62;2274;1687;2;Bogotá;2;Bogotá;99;5
297718659;2015;52;100;13972;7025;2;Bogotá;2;Bogotá;99;5
297826796;2015;35;44;7451;7191;2;Bogotá;2;Bogotá;99;5
297827958;2015;45;182;41300;24865;2;Bogotá;2;Bogotá;99;5
297827000;2015;65;83;22763;17779;2;Bogotá;2;Bogotá;99;5
414681;2015;95;131;28659;27577;2;Bogotá;2;Bogotá;99;5
382101;2015;47;117;10231;6060;4;Cali;15;Popayán;99;5
297826978;2015;336;363;74121;74121;2;Bogotá;2;Bogotá;99;5
297826677;2015;75;89;18091;13455;2;Bogotá;2;Bogotá;99;5
297826828;2015;108;116;32185;29954;2;Bogotá;2;Bogotá;99;5
297826830;2015;62;84;19404;12707;2;Bogotá;2;Bogotá;99;5
452491;2015;18;25;9099;2873;1;Barranquilla;9;Cartagena;99;5
9807355;2015;251;274;60796;53252;2;Bogotá;2;Bogotá;99;5
297826832;2015;70;138;21441;7479;2;Bogotá;2;Bogotá;99;5
297826833;2015;327;423;77090;77090;2;Bogotá;2;Bogotá;99;5
297826834;2015;197;320;79800;71149;2;Bogotá;2;Bogotá;99;5
452129;2015;65;135;17100;9224;2;Bogotá;2;Bogotá;99;5
9807356;2015;44;92;11860;7279;2;Bogotá;2;Bogotá;99;5
9807357;2015;52;108;13533;8199;2;Bogotá;2;Bogotá;99;5
297826941;2015;32;61;8825;7466;2;Bogotá;2;Bogotá;99;5
297826946;2015;95;118;25103;16092;2;Bogotá;2;Bogotá;99;5
297826982;2015;100;325;35866;23025;2;Bogotá;2;Bogotá;99;5
296886228;2015;86;198;65646;27836;1;Barranquilla;9;Cartagena;99;5
297826663;2015;39;78;14235;10161;2;Bogotá;2;Bogotá;99;5
297826985;2015;41;86;18409;12201;2;Bogotá;2;Bogotá;99;5
297826986;2015;68;97;19839;12910;2;Bogotá;2;Bogotá;99;5
297838044;2015;53;132;13268;7517;2;Bogotá;17;Tunja;99;5
409910;2015;66;136;21791;7164;5;Manizales;11;Ibagué;99;5
450883;2015;53;74;15475;10121;2;Bogotá;2;Bogotá;99;5
297839484;2015;55;110;26248;8441;2;Bogotá;2;Bogotá;99;5
299303284;2015;247;361;77792;53278;2;Bogotá;2;Bogotá;99;5
337133;2015;61;90;16444;12657;2;Bogotá;2;Bogotá;99;5
296886229;2015;73;164;19831;10370;1;Barranquilla;16;Santa Marta;99;5
297718272;2015;92;123;9413;5450;2;Bogotá;2;Bogotá;99;5
297826922;2015;41;82;17104;5484;2;Bogotá;2;Bogotá;99;5
451446;2015;36;160;13940;12894;1;Barranquilla;16;Santa Marta;99;5
455513;2015;578;1241;80227;80227;2;Bogotá;2;Bogotá;99;5
9807403;2015;276;602;45399;45399;2;Bogotá;2;Bogotá;99;5
297730683;2015;78;156;20492;9687;2;Bogotá;2;Bogotá;98;5
296886232;2015;80;419;58405;58405;2;Bogotá;2;Bogotá;99;5
296886233;2015;47;227;36905;36905;2;Bogotá;2;Bogotá;99;5
296886234;2015;209;993;125008;125008;2;Bogotá;2;Bogotá;99;5
296886235;2015;38;210;55217;55217;2;Bogotá;2;Bogotá;99;5
296886236;2015;88;322;55912;55912;2;Bogotá;2;Bogotá;99;5
3834328;2015;72;119;27455;8415;2;Bogotá;2;Bogotá;99;5
297826903;2015;142;224;24976;10336;2;Bogotá;2;Bogotá;99;5
451463;2015;66;132;20473;19937;2;Bogotá;2;Bogotá;99;5
451466;2015;41;82;13636;13292;2;Bogotá;2;Bogotá;99;5
297826734;2015;192;306;96921;59274;2;Bogotá;2;Bogotá;99;5
297826735;2015;282;736;152656;76328;2;Bogotá;2;Bogotá;99;5
452253;2015;169;669;94159;45744;2;Bogotá;2;Bogotá;99;5
296886239;2015;142;590;119452;92119;5;Manizales;11;Ibagué;99;5
452256;2015;82;176;64240;33692;2;Bogotá;2;Bogotá;99;5
457976;2015;64;80;12320;5472;6;Medellín;12;Monteria;99;5
297826882;2015;36;71;6878;5570;2;Bogotá;2;Bogotá;99;5
297826889;2015;144;284;43044;15873;2;Bogotá;2;Bogotá;99;5
297826988;2015;82;127;16457;14678;2;Bogotá;2;Bogotá;99;5
297718280;2015;94;187;4979;4387;2;Bogotá;2;Bogotá;99;5
451402;2015;12;26;5237;5028;2;Bogotá;2;Bogotá;99;5
297826991;2015;39;58;7483;5597;2;Bogotá;2;Bogotá;99;5
9807346;2015;41;45;10415;10115;2;Bogotá;2;Bogotá;99;5
9807408;2015;94900;98185;58324;8935;2;Bogotá;2;Bogotá;99;5
297826672;2015;49;87;17002;8002;2;Bogotá;2;Bogotá;99;5
297838058;2015;47;98;12520;12048;2;Bogotá;2;Bogotá;99;5
297827017;2015;720;1440;9467;5303;2;Bogotá;2;Bogotá;99;5
297826945;2015;52;144;25110;12152;2;Bogotá;2;Bogotá;99;5
297838050;2015;50;127;27773;4802;2;Bogotá;91;Leticia;99;5
299303287;2015;72;83;17412;17111;2;Bogotá;2;Bogotá;99;5
9815066;2015;27;58;11798;6066;2;Bogotá;2;Bogotá;99;5
450816;2015;53;57;12284;3825;2;Bogotá;2;Bogotá;99;5
74977;2015;26;60;9066;6570;2;Bogotá;2;Bogotá;99;5
407032;2015;30;62;6333;2086;2;Bogotá;2;Bogotá;99;5
297826739;2015;64;68;16725;14102;2;Bogotá;2;Bogotá;99;5
297826977;2015;46;64;9934;8592;2;Bogotá;2;Bogotá;99;5
9807394;2015;34;69;5366;4024;2;Bogotá;2;Bogotá;99;5
297826749;2015;59;59;14437;14437;2;Bogotá;2;Bogotá;99;5
297827337;2015;95;204;15566;9521;2;Bogotá;2;Bogotá;99;5
297826662;2015;327;498;104509;66232;2;Bogotá;2;Bogotá;99;5
408533;2015;33;51;11676;9614;2;Bogotá;2;Bogotá;99;5
450869;2015;54;66;8162;6922;2;Bogotá;2;Bogotá;99;5
297826835;2015;52;108;12716;6866;2;Bogotá;2;Bogotá;99;5
441267;2015;75;174;13050;6361;2;Bogotá;2;Bogotá;99;5
447079;2015;49;112;18351;15665;2;Bogotá;2;Bogotá;99;5
297826870;2015;236;307;72545;48792;2;Bogotá;2;Bogotá;99;5
297826640;2015;40;48;12024;11758;2;Bogotá;2;Bogotá;99;5
297826980;2015;56;144;27069;12148;2;Bogotá;2;Bogotá;99;5
297826975;2015;76;92;20130;20129;2;Bogotá;2;Bogotá;99;5
297839506;2015;39;77;12715;12715;2;Bogotá;2;Bogotá;99;5
9807441;2015;42;60;5068;3473;2;Bogotá;2;Bogotá;99;5
9807448;2015;40;121;23081;15154;2;Bogotá;2;Bogotá;99;5
441825;2015;69;150;17371;15063;1;Barranquilla;16;Santa Marta;99;5
9795548;2015;24;96;5868;4890;2;Bogotá;18;Villavicencio;99;5
297826990;2015;60;64;14088;14088;2;Bogotá;2;Bogotá;99;5
297826738;2015;260;354;77881;69450;2;Bogotá;2;Bogotá;99;5
297839497;2015;216;448;102607;80566;2;Bogotá;2;Bogotá;99;5
297826642;2015;119;538;51602;48143;2;Bogotá;2;Bogotá;99;5
297718322;2015;62;68;13266;3858;2;Bogotá;2;Bogotá;99;5
9815979;2015;44;120;11979;9979;1;Barranquilla;16;Santa Marta;99;5
448987;2015;126;252;38337;28710;2;Bogotá;2;Bogotá;99;5
297718312;2015;135;187;33420;28522;2;Bogotá;2;Bogotá;99;5
297718302;2015;242;253;72404;65802;2;Bogotá;2;Bogotá;99;5
297839505;2015;188;228;60602;53897;2;Bogotá;2;Bogotá;99;5
297821308;2015;138;368;103051;48902;2;Bogotá;2;Bogotá;99;5
297718360;2015;55;64;17797;14641;2;Bogotá;2;Bogotá;99;5
297718363;2015;128;140;43188;26019;2;Bogotá;2;Bogotá;99;5
297718362;2015;132;280;26126;8609;2;Bogotá;2;Bogotá;99;5
297822336;2015;40;44;10702;6702;2;Bogotá;2;Bogotá;99;5
297717006;2015;54;66;9583;5463;2;Bogotá;2;Bogotá;99;5
297717021;2015;247;342;64005;59439;2;Bogotá;2;Bogotá;99;5
297717024;2015;74;113;16596;14813;2;Bogotá;2;Bogotá;99;5
297823158;2015;108;204;23101;23101;2;Bogotá;2;Bogotá;99;5
297718330;2015;42;47;8039;7806;2;Bogotá;2;Bogotá;99;5
297822767;2015;63;74;19670;10353;2;Bogotá;2;Bogotá;99;5
297822929;2015;41;105;8163;4091;2;Bogotá;2;Bogotá;99;5
297827899;2015;46;92;12876;4247;2;Bogotá;91;Leticia;99;5
297819453;2015;45;93;7930;6396;2;Bogotá;2;Bogotá;99;5
441850;2015;46;173;33814;9392;1;Barranquilla;22;San Andrés;99;5
297718671;2015;82;94;18142;16673;2;Bogotá;2;Bogotá;99;5
297821291;2015;42;141;11886;8715;2;Bogotá;2;Bogotá;99;5
297717025;2015;63;128;14471;11899;2;Bogotá;2;Bogotá;99;5
297821128;2015;95;139;22983;11491;2;Bogotá;2;Bogotá;99;5
297718298;2015;39;78;8470;8470;2;Bogotá;2;Bogotá;99;5
297826003;2015;63;150;14335;8391;2;Bogotá;2;Bogotá;99;5
297827332;2015;47;47;9737;7830;2;Bogotá;2;Bogotá;99;5
446751;2015;13;29;282;188;2;Bogotá;91;Leticia;99;5
299304550;2015;79;158;15750;10161;2;Bogotá;2;Bogotá;99;5
297827324;2015;257;321;29954;29801;2;Bogotá;2;Bogotá;99;5
299304637;2015;59;118;22480;16098;2;Bogotá;2;Bogotá;99;5
10211393;2015;69;79;14616;8696;2;Bogotá;2;Bogotá;99;5
300037392;2015;170;220;28254;28254;4;Cali;4;Cali;99;5
299303375;2015;43;83;22836;11475;2;Bogotá;2;Bogotá;99;5
299320035;2015;66;72;11241;10862;2;Bogotá;2;Bogotá;99;5
10213095;2015;246;290;61411;55740;2;Bogotá;2;Bogotá;99;5
10213096;2015;116;185;23197;20312;2;Bogotá;2;Bogotá;99;5
10213097;2015;124;187;34476;20281;2;Bogotá;2;Bogotá;99;5
10213101;2015;66;78;10310;1849;2;Bogotá;2;Bogotá;99;5
10213102;2015;99;111;14749;6604;2;Bogotá;2;Bogotá;99;5
10213098;2015;71;130;3404;1927;2;Bogotá;2;Bogotá;99;5
297820720;2015;69;281;17257;8818;2;Bogotá;2;Bogotá;99;5
460017;2015;27;34;6284;1934;2;Bogotá;2;Bogotá;99;5
