Nro_Orden_Establecimiento;Periodo;C5REA1;C5REA2;C5REA3;C5REA4;C5REA5;C5REA6;C5REA7;C5REA8;C5REA9;C5REA10;C6GAA2e;C6GAA1b;C5REB1a;C5REB1b;C5REB2a;C5REB2b;C5REB3a;C5REB3b;C5REB16a;C5REB16b;C5REB4a;C5REB4b;C5REB5a;C5REB5b;C5REB6a;C5REB6b;C5REB7a;C5REB7b;C5REB8a;C5REB8b;C5REB9a;C5REB9b;C5REB10a;C5REB10b;C5REB11a;C5REB12a;C5REB13a;C5REB14a;C5REB15a;C5REB15b;C5REB17a;C5REB17b;CONBIOGAS;C5REB18b;Sede;Subsede;NOVEDAD;ESTADO
441802;2012;0;0;0;0;0;0;0;0;0;3000;0;500;409829;178080;21047;19363;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;197443;Barranquilla;Barranquilla;99;5
441854;2012;0;0;0;1374;0;0;0;0;0;3000;0;0;285940;106879;3154;6101;0;0;0;0;1695;11865;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;124845;Barranquilla;Barranquilla;99;5
297826799;2012;0;0;0;0;0;0;0;0;0;0;0;0;134064;44957;6755;6957;0;0;0;0;17;140;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;52054;Bogotá;Bogotá;99;5
297718659;2012;0;200;100;7632;0;0;0;0;3078;0;0;2000;68970;23597;10477;9957;0;0;0;0;2;16;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;33570;Bogotá;Bogotá;99;5
297826796;2012;0;0;0;0;0;0;0;0;0;51368;0;0;299300;103865;66229;73473;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2000;2320;0;0;0;0;0;0;0;0;0;179658;Bogotá;Bogotá;99;5
297827958;2012;0;4200;1200;1200;500;0;0;0;0;1200;0;1200;448183;155522;47989;51824;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;207346;Bogotá;Bogotá;99;5
297827000;2012;0;0;0;0;0;0;0;0;0;3461;0;0;388576;125507;19770;30228;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;155735;Bogotá;Bogotá;99;5
414681;2012;0;0;0;0;0;0;0;0;34000;0;0;0;465875;177721;27942;32897;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;210618;Bogotá;Bogotá;99;5
382101;2012;0;0;0;309;0;0;0;0;0;0;0;0;166098;59315;0;0;4080;7231;0;0;7200;71008;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;137554;Cali;Popayán;99;5
297826978;2012;0;15200;3200;1260;2340;0;0;0;0;6645;0;0;1312750;385584;137966;137164;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;522748;Bogotá;Bogotá;99;5
297826677;2012;0;0;1055;0;0;0;0;0;0;2281;0;0;175821;55755;28823;27630;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;83385;Bogotá;Bogotá;99;5
297826828;2012;500;600;200;1000;0;0;0;10000;0;5000;0;20300;275300;105254;43916;43398;0;0;0;0;300;2100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;150752;Bogotá;Bogotá;99;5
297826830;2012;0;0;0;0;0;0;0;0;0;0;0;0;247969;93965;19716;19507;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;113472;Bogotá;Bogotá;99;5
452491;2012;0;0;0;0;0;0;0;0;0;5000;0;0;123100;161717;6050;6035;0;0;0;0;68;561;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;168313;Barranquilla;Cartagena;99;5
9807355;2012;0;0;0;0;0;0;0;0;0;20000;0;0;1860000;552000;264000;264000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;816000;Bogotá;Bogotá;99;5
297826832;2012;0;0;0;0;0;0;0;0;0;0;0;0;333708;106873;33618;36201;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;143074;Bogotá;Bogotá;99;5
297826833;2012;0;0;0;0;0;0;0;0;0;0;0;0;2033667;597076;272113;264856;0;0;540;4378;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;866310;Bogotá;Bogotá;99;5
297826834;2012;0;0;0;0;0;0;0;0;0;7107;0;0;1383592;429075;203272;248190;0;0;0;0;300;2400;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;679665;Bogotá;Bogotá;99;5
452129;2012;0;0;0;0;0;0;0;0;0;0;0;0;142890;44581;7404;8071;0;0;110;946;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;53598;Bogotá;Bogotá;99;5
9807356;2012;0;0;0;0;0;0;0;0;0;0;0;0;53687;18108;6563;9187;0;0;0;0;120;1032;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;28327;Bogotá;Bogotá;99;5
9807357;2012;0;0;0;0;0;0;0;0;0;0;0;0;70574;25061;11885;10919;0;0;0;0;120;1032;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;37012;Bogotá;Bogotá;99;5
297826941;2012;0;0;0;0;1500;0;0;0;15000;0;0;0;99651;31290;18611;17600;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;48890;Bogotá;Bogotá;99;5
297826946;2012;2500;2000;0;4500;3000;0;0;0;3000;8500;0;900;571400;173800;72857;72737;0;0;0;0;26;208;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;246745;Bogotá;Bogotá;99;5
297826982;2012;4300;2500;0;2300;0;0;0;0;3200;0;0;0;411684;123917;101179;106238;0;0;0;0;351;2740;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3510;0;0;0;0;0;232895;Bogotá;Bogotá;99;5
296886228;2012;0;0;0;0;0;0;0;0;0;0;0;0;2493858;324201;55273;55373;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;379574;Barranquilla;Cartagena;99;5
297826663;2012;0;0;0;0;0;0;0;0;0;0;0;0;147680;46505;30470;30021;0;0;0;0;45;351;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;450;0;0;0;0;0;76877;Bogotá;Bogotá;99;5
297826985;2012;0;0;0;1200;0;0;0;0;2000;0;0;3200;325927;95196;40462;38439;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;133635;Bogotá;Bogotá;99;5
297826986;2012;0;0;0;0;0;0;0;0;1500;1500;0;0;465237;164705;29000;34184;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;60;0;0;0;0;0;198889;Bogotá;Bogotá;99;5
297838044;2012;0;3500;0;3500;0;0;0;0;0;6500;0;0;163480;59028;48766;32709;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;91737;Bogotá;Tunja;99;5
409910;2012;0;0;0;192;0;0;0;0;0;0;0;0;436320;155305;0;0;6920;14559;0;0;80;600;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;170464;Manizales;Ibagué;99;5
450883;2012;0;320;0;0;0;0;0;0;15598;520;0;0;288000;84702;20353;21987;160;31;0;0;3;22;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;106742;Bogotá;Bogotá;99;5
297839484;2012;0;3590;850;14500;0;0;0;0;4500;28500;0;0;322697;111756;0;0;77714;81600;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;193356;Bogotá;Bogotá;99;5
299303284;2012;0;0;0;0;0;0;0;0;350000;0;0;0;1876128;693170;322659;336613;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1029783;Bogotá;Bogotá;99;5
337133;2012;0;0;0;0;0;0;0;0;2937;0;0;0;273223;73984;33754;50740;0;0;0;0;150;1278;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;126002;Bogotá;Bogotá;99;5
75000;2012;0;0;0;1835;0;0;0;0;0;0;0;0;61680;25905;390;790;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;26695;Barranquilla;Santa Marta;99;5
75007;2012;0;0;0;1900;0;0;0;0;0;0;0;0;26589;11535;2939;2958;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14493;Bogotá;Bogotá;99;5
410376;2012;0;0;0;2546;0;0;0;0;0;0;0;0;132240;53651;5052;5014;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;58665;Barranquilla;Santa Marta;99;5
296886229;2012;0;30;0;2011;0;0;0;0;0;0;0;0;341440;172051;13394;12024;0;0;905;6964;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;191039;Barranquilla;Santa Marta;99;5
296914023;2012;0;0;0;850;0;0;0;0;0;0;0;0;44800;18585;624;1984;0;0;188;1635;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;22204;Barranquilla;Santa Marta;99;5
297718272;2012;0;29;0;0;0;0;0;0;0;1824;0;0;425418;136007;13883;13188;0;0;166;1408;20295;134256;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;284859;Bogotá;Bogotá;99;5
297826922;2012;0;0;0;2744;0;0;0;0;5000;9251;0;0;230674;97500;17395;23900;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;121400;Bogotá;Bogotá;99;5
451251;2012;0;0;0;0;0;0;0;0;0;0;0;0;216240;65304;2418;2878;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;68182;Barranquilla;Cartagena;99;5
451446;2012;0;0;0;18360;0;0;0;0;0;0;0;0;252120;83729;5826;5977;0;0;0;0;327;2753;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;92459;Barranquilla;Santa Marta;99;5
455513;2012;0;0;0;0;0;0;0;0;155792;100000;0;0;2831116;854431;808861;843662;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8000;3132;0;0;0;0;0;0;0;0;0;1701225;Bogotá;Bogotá;99;5
9807403;2012;0;0;0;0;0;0;0;0;0;0;0;0;1007129;304203;0;0;0;0;0;0;28400;209722;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;513925;Bogotá;Bogotá;99;5
297730683;2012;0;0;0;0;0;0;0;0;0;0;0;0;688805;233105;0;0;10050;20158;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;253263;Cali;Cali;99;5
296886232;2012;0;0;0;4000;1200;0;0;0;600;12000;0;2500;1620589;419843;0;0;20792;33683;2049;18154;2383;19421;0;0;0;0;0;0;0;0;8880;2664;0;0;0;0;0;0;0;0;0;0;0;493765;Bogotá;Bogotá;99;5
296886233;2012;0;0;0;0;0;0;0;0;0;0;0;0;581727;175314;0;0;25942;27240;1088;8814;2096;16565;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;227933;Bogotá;Bogotá;99;5
296886234;2012;15000;0;0;4000;6000;0;0;0;2000;6000;0;0;3119777;801369;0;0;41422;62962;1114;9858;42482;340290;0;0;0;0;0;0;0;0;9240;2772;0;0;0;0;0;0;0;0;0;0;0;1217251;Bogotá;Bogotá;99;5
296886235;2012;0;0;500;0;0;0;0;0;0;1850;0;2350;387422;219109;0;0;30344;53103;4816;38769;56370;450965;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;761946;Bogotá;Bogotá;99;5
296886236;2012;0;0;0;0;0;0;0;0;0;0;0;0;472133;133324;0;0;17630;30852;957;7758;45894;370449;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;542383;Bogotá;Bogotá;99;5
3834328;2012;0;0;0;8520;0;0;0;0;6430;0;0;0;451493;162334;94500;112068;0;0;0;0;300;2383;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;276785;Bogotá;Bogotá;99;5
297826903;2012;0;7;0;2000;0;0;0;0;0;12000;0;0;241915;100488;83613;79433;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;179921;Bogotá;Bogotá;99;5
451463;2012;0;0;0;0;0;0;0;0;0;0;0;0;248284;81443;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;81443;Bogotá;Bogotá;99;5
451466;2012;0;0;0;0;0;0;0;0;0;3537;0;0;201786;66589;5928;6928;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;73517;Bogotá;Bogotá;99;5
297826734;2012;0;0;0;0;0;0;0;0;2300;450;0;25452;1892739;542353;268771;328712;40;120;0;0;513;3695;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5130;0;0;0;0;0;874880;Bogotá;Bogotá;99;5
297826735;2012;0;1243;1392;3460;0;0;0;0;1200;10350;0;24466;1626204;488409;504337;443347;0;0;0;0;400;3120;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;934876;Bogotá;Bogotá;99;5
452253;2012;0;200;200;1000;0;2000;0;0;0;10000;0;0;3978408;896547;0;0;44691;44825;4070;36052;6000;48720;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1900;0;0;0;0;0;1026144;Bogotá;Bogotá;99;5
296886239;2012;0;327;395;6930;0;0;0;0;0;30204;0;0;1776055;402233;0;0;158395;156336;1630;14448;12700;103024;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;676041;Manizales;Ibagué;99;5
452256;2012;0;126;0;2127;0;0;0;0;0;0;0;0;574272;134275;43591;38432;0;0;0;0;672;6658;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;179365;Manizales;Ibagué;99;5
297826882;2012;0;0;0;0;0;0;0;0;0;0;0;0;127396;48264;15198;19376;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;67640;Bogotá;Bogotá;99;5
297826889;2012;0;0;0;7500;0;0;0;0;15000;0;0;0;1348400;471900;145590;155780;0;0;0;0;276;1656;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;629336;Bogotá;Bogotá;99;5
297826988;2012;0;100;0;0;0;0;0;0;0;1000;0;200;116353;39707;6093;5972;0;0;0;0;20;242;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;45921;Bogotá;Bogotá;99;5
457978;2012;0;0;0;0;0;0;0;0;0;0;0;0;63024;23381;8998;9065;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;32446;Bogotá;Bogotá;99;5
457979;2012;0;0;0;0;0;0;0;0;0;0;0;0;27828;11762;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11762;Bogotá;Bogotá;99;5
297718280;2012;0;0;0;742;0;0;0;0;0;0;0;0;111084;47484;28413;28112;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;75596;Bogotá;Bogotá;99;5
451402;2012;0;0;0;0;0;0;0;0;0;0;0;0;21595;8232;0;0;2475;2622;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10854;Bogotá;Bogotá;99;5
297826991;2012;0;0;0;0;0;0;0;0;0;500;0;0;94200;33663;2633;2245;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;35908;Bogotá;Bogotá;99;5
9807346;2012;0;0;0;0;0;0;0;0;0;0;0;0;87831;31328;19440;24689;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;56017;Bogotá;Bogotá;99;5
9807408;2012;0;0;0;0;0;0;0;0;0;0;0;0;418696;145287;72412;67995;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;213282;Bogotá;Bogotá;99;5
297826672;2012;0;0;0;0;0;0;0;0;7000;0;0;10000;67129;23831;25963;24710;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;48541;Bogotá;Bogotá;99;5
297826767;2012;0;0;0;0;0;0;0;0;0;200;0;0;108058;37820;0;0;951;932;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;38752;Bogotá;Bogotá;99;5
297838058;2012;0;0;0;0;0;0;0;0;0;0;0;0;12980;3011;7942;10298;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;13309;Bogotá;Bogotá;99;5
297827017;2012;0;0;0;0;0;0;0;0;0;9525;0;0;106029;40173;1080;1112;0;0;0;0;20;170;0;0;0;0;0;0;0;0;0;0;1680;1320;0;0;0;200;0;0;0;0;0;42775;Bogotá;Bogotá;99;5
297826945;2012;0;40000;0;10200;0;0;0;0;0;0;0;0;89894;37126;22956;28482;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;65608;Bogotá;Bogotá;99;5
297838050;2012;0;0;0;3716;9114;0;0;0;0;0;0;0;184320;138335;0;0;11000;16590;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;154925;Bogotá;Leticia;99;5
299303287;2012;0;0;0;0;0;0;0;0;0;9000;0;0;261888;90351;35110;33354;0;0;0;0;50;400;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;124105;Bogotá;Bogotá;99;5
9815066;2012;0;0;0;0;0;0;0;0;0;0;0;0;70532;21512;5779;5142;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;26654;Bogotá;Bogotá;99;5
10209451;2012;0;0;0;0;0;0;0;0;0;0;0;0;21068;6425;1726;1530;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7955;Bogotá;Bogotá;99;5
297823688;2012;0;0;0;0;0;0;0;0;0;0;0;0;3120;1238;307;301;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1539;Bogotá;Bogotá;99;5
297821685;2012;0;0;0;0;0;0;0;0;0;1951;0;0;17684;6225;2031;2233;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8458;Bogotá;Bogotá;99;5
450816;2012;0;0;0;4768;0;0;0;0;0;0;0;0;98605;35202;17596;18707;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;53909;Bogotá;Bogotá;99;5
74977;2012;0;0;0;0;0;0;0;0;0;0;0;0;113546;33496;27581;26478;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;59974;Bogotá;Bogotá;99;5
407032;2012;0;0;0;0;0;0;0;0;3200;742;0;0;92539;29613;10778;11555;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;41168;Bogotá;Bogotá;99;5
297827928;2012;0;0;0;0;0;0;0;0;0;0;0;0;23124;8115;3528;3029;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11144;Bogotá;Bogotá;99;5
297824160;2012;0;0;0;300;0;0;0;0;0;0;0;300;12564;4632;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4632;Bogotá;Bogotá;99;5
297834339;2012;0;0;0;0;0;0;0;0;0;0;0;0;3571;1250;696;675;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1925;Bogotá;Bogotá;99;5
297822959;2012;0;200;0;300;0;0;0;0;0;0;0;0;4385;1513;1494;1345;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2858;Bogotá;Bogotá;99;5
