Nro_Orden_Establecimiento;Periodo;INSERTOT;Sede;Subsede;NOVEDAD;ESTADO
297818782;2012;37800;Bogotá;Yopal;99;5
297821835;2012;89924;Bogotá;Yopal;99;5
297822565;2012;99624;Bogotá;Yopal;99;5
297826938;2012;9300;Bogotá;Yopal;99;5
297819575;2012;50400;Bogotá;Yopal;99;5
297820273;2012;35760;Bogotá;Yopal;99;5
297825550;2012;72000;Bogotá;Yopal;99;5
299303279;2012;64200;Bogotá;Yopal;99;5
297837540;2012;39000;Bogotá;Yopal;99;5
297823050;2012;469267;Bogotá;Yopal;99;5
297823808;2012;267282;Bogotá;Yopal;99;5
297822607;2012;879112;Bogotá;Yopal;99;5
445605;2012;66000;Bogotá;Yopal;99;5
297834039;2012;57600;Bogotá;Villavicencio;99;5
451473;2012;110020;Bogotá;Villavicencio;99;5
297822619;2012;257106;Bogotá;Villavicencio;99;5
111989;2012;122112;Bogotá;Villavicencio;99;5
442454;2012;17704;Bogotá;Villavicencio;99;5
446361;2012;63335;Bogotá;Villavicencio;99;5
445797;2012;74105;Bogotá;Villavicencio;99;5
442347;2012;26500;Bogotá;Villavicencio;99;5
297821837;2012;196429;Bogotá;Villavicencio;99;5
451828;2012;1396096;Bogotá;Villavicencio;99;5
297820211;2012;13200;Bogotá;Villavicencio;99;5
297824064;2012;302651;Bogotá;Tunja;99;5
297824422;2012;433444;Bogotá;Villavicencio;99;5
172844;2012;15000;Bogotá;Villavicencio;99;5
297820051;2012;161204;Bogotá;Villavicencio;99;5
446231;2012;3527;Bogotá;Villavicencio;99;5
445004;2012;62400;Bogotá;Villavicencio;99;5
297821149;2012;1800;Bogotá;Villavicencio;99;5
297824008;2012;85500;Bogotá;Villavicencio;99;5
444134;2012;455842;Bogotá;Villavicencio;99;5
297827233;2012;18100;Bogotá;Villavicencio;99;5
299303288;2012;1368476;Barranquilla;Riohacha;99;5
444209;2012;1492235;Barranquilla;Riohacha;99;5
9815982;2012;12024564;Barranquilla;San Andrés;99;5
296913989;2012;15991137;Barranquilla;San Andrés;99;5
296913990;2012;2432948;Barranquilla;San Andrés;99;5
297718663;2012;899795;Barranquilla;San Andrés;99;5
297730498;2012;636673;Barranquilla;San Andrés;99;5
297826665;2012;5002515;Barranquilla;San Andrés;99;5
74973;2012;8505726;Barranquilla;San Andrés;99;5
457976;2012;2072430;Medellín;Monteria;99;5
296914091;2012;10789537;Barranquilla;San Andrés;99;5
297730513;2012;20718970;Barranquilla;San Andrés;99;5
297730514;2012;4520914;Barranquilla;San Andrés;99;5
297730681;2012;15172345;Barranquilla;San Andrés;99;5
452535;2012;13242227;Barranquilla;San Andrés;99;5
297826875;2012;8056103;Barranquilla;San Andrés;99;5
455784;2012;12112651;Barranquilla;San Andrés;99;5
296914053;2012;6202078;Barranquilla;San Andrés;99;5
297826666;2012;7050840;Barranquilla;San Andrés;99;5
297826646;2012;3948133;Barranquilla;San Andrés;99;5
297826948;2012;3671675;Barranquilla;San Andrés;99;5
297826737;2012;5755445;Barranquilla;San Andrés;99;5
299303281;2012;2234399;Barranquilla;San Andrés;99;5
452123;2012;28060927;Barranquilla;San Andrés;99;5
452124;2012;6372939;Barranquilla;San Andrés;99;5
452125;2012;5000450;Bogotá;Leticia;99;5
296913996;2012;3524489;Barranquilla;San Andrés;99;5
299303289;2012;379464;Barranquilla;San Andrés;99;5
441678;2012;10000;Barranquilla;San Andrés;99;5
297819308;2012;162000;Barranquilla;San Andrés;99;5
9816028;2012;20650;Barranquilla;San Andrés;99;5
9809870;2012;506696;Barranquilla;San Andrés;99;5
441826;2012;6575666;Barranquilla;San Andrés;99;5
297818939;2012;741756;Barranquilla;San Andrés;99;5
297819945;2012;370676;Barranquilla;San Andrés;99;5
74974;2012;1596832;Barranquilla;San Andrés;99;5
110501;2012;52289;Barranquilla;San Andrés;99;5
297822317;2012;196140;Barranquilla;San Andrés;99;5
444120;2012;225937;Barranquilla;San Andrés;99;5
287782;2012;577458;Barranquilla;San Andrés;99;5
297821876;2012;291390;Barranquilla;San Andrés;99;5
448118;2012;202675;Barranquilla;San Andrés;99;5
441851;2012;50479;Barranquilla;San Andrés;99;5
297818425;2012;569804;Barranquilla;Sincelejo;99;5
444146;2012;1848782;Barranquilla;Sincelejo;99;5
297838035;2012;3035102;Barranquilla;Valledupar;99;5
297718293;2012;2385099;Barranquilla;Valledupar;99;5
297718291;2012;2874855;Barranquilla;Valledupar;99;5
297718319;2012;6054872;Barranquilla;Valledupar;99;5
451467;2012;5016512;Bogotá;Bogotá;99;5
297839487;2012;3630696;Barranquilla;Cartagena;99;5
