Nro_Orden_Establecimiento;Periodo;INSERTOT;Sede;Subsede;NOVEDAD;ESTADO
297826977;2012;2378043;Bogotá;Bogotá;99;5
9807394;2012;1403606;Bogotá;Bogotá;99;5
297826749;2012;1226568;Bogotá;Bogotá;99;5
297823613;2012;108800;Bogotá;Bogotá;99;5
297827058;2012;252000;Bogotá;Bogotá;99;5
297823853;2012;71500;Bogotá;Bogotá;99;5
297824060;2012;241541;Bogotá;Bogotá;99;5
297824123;2012;250224;Bogotá;Bogotá;99;5
297823455;2012;52300;Bogotá;Bogotá;99;5
297823642;2012;63209;Bogotá;Bogotá;99;5
297818827;2012;51860;Bogotá;Bogotá;99;5
297823431;2012;164100;Bogotá;Bogotá;99;5
297839499;2012;1176911;Bogotá;Bogotá;99;5
297823062;2012;70534;Bogotá;Bogotá;99;5
297827337;2012;816454;Bogotá;Bogotá;99;5
413402;2012;205108;Bogotá;Bogotá;99;5
297822677;2012;24649;Bogotá;Bogotá;99;5
297826662;2012;12037583;Bogotá;Bogotá;99;5
297822990;2012;779338;Bogotá;Bogotá;99;5
450886;2012;178239;Bogotá;Bogotá;99;5
297823265;2012;88214;Bogotá;Bogotá;99;5
297839769;2012;45107;Bogotá;Bogotá;99;5
297823601;2012;259380;Bogotá;Bogotá;99;5
297821402;2012;44117;Bogotá;Bogotá;99;5
10207645;2012;387876;Bogotá;Bogotá;99;5
297823258;2012;21460;Bogotá;Bogotá;99;5
297819921;2012;103919;Bogotá;Bogotá;99;5
408533;2012;1469197;Bogotá;Bogotá;99;5
450869;2012;1694592;Bogotá;Bogotá;99;5
297826835;2012;2124480;Bogotá;Bogotá;99;5
165923;2012;85681;Bogotá;Bogotá;99;5
297826497;2012;103789;Bogotá;Bogotá;99;5
297820374;2012;55000;Bogotá;Bogotá;99;5
297819999;2012;97567;Bogotá;Bogotá;99;5
297823669;2012;58752;Bogotá;Bogotá;99;5
10207689;2012;14400;Bogotá;Bogotá;99;5
297834076;2012;82528;Bogotá;Bogotá;99;5
441267;2012;2020323;Bogotá;Bogotá;99;5
441565;2012;324330;Bogotá;Bogotá;99;5
441566;2012;157520;Bogotá;Bogotá;99;5
441567;2012;533242;Bogotá;Bogotá;99;5
441568;2012;253994;Bogotá;Bogotá;99;5
441569;2012;301883;Bogotá;Bogotá;99;5
441570;2012;806656;Bogotá;Bogotá;99;5
450863;2012;76122;Bogotá;Bogotá;99;5
297823534;2012;99996;Bogotá;Bogotá;99;5
299303246;2012;297245;Bogotá;Bogotá;99;5
297824086;2012;354934;Bogotá;Bogotá;99;5
447079;2012;4221423;Bogotá;Bogotá;99;5
297826870;2012;29140506;Bogotá;Bogotá;99;5
297826640;2012;1981953;Bogotá;Bogotá;99;5
297826980;2012;5593784;Bogotá;Bogotá;99;5
299304555;2012;941742;Bogotá;Bogotá;99;5
297826975;2012;7004493;Bogotá;Bogotá;99;5
297839506;2012;1027837;Bogotá;Bogotá;99;5
9807441;2012;1647631;Bogotá;Bogotá;99;5
9807448;2012;2848998;Bogotá;Bogotá;99;5
441825;2012;2392078;Barranquilla;Santa Marta;99;5
9795548;2012;1164970;Bogotá;Villavicencio;99;5
297826990;2012;3663989;Bogotá;Bogotá;99;5
297826738;2012;44647844;Bogotá;Bogotá;99;5
297839497;2012;7242656;Bogotá;Bogotá;99;5
297826642;2012;20324757;Bogotá;Bogotá;99;5
297718322;2012;2745699;Bogotá;Bogotá;99;5
297826647;2012;563384;Bogotá;Bogotá;99;5
103459;2012;927931;Bogotá;Bogotá;99;5
299303285;2012;800041;Bogotá;Bogotá;99;5
448987;2012;8922388;Bogotá;Bogotá;99;5
297730503;2012;1077887;Barranquilla;Santa Marta;99;5
297718312;2012;4986430;Bogotá;Bogotá;99;5
297718302;2012;25982740;Bogotá;Bogotá;99;5
297822448;2012;2240588;Bogotá;Bogotá;99;5
297839505;2012;13615994;Bogotá;Bogotá;99;5
297821308;2012;4616308;Bogotá;Bogotá;99;5
297718360;2012;2203667;Bogotá;Bogotá;99;5
297718363;2012;1891736;Bogotá;Bogotá;99;5
297718362;2012;1831894;Bogotá;Bogotá;99;5
297822336;2012;3733887;Bogotá;Bogotá;99;5
297717006;2012;1394091;Bogotá;Bogotá;99;5
297717021;2012;940063;Bogotá;Bogotá;99;5
297717024;2012;871791;Bogotá;Bogotá;99;5
10209311;2012;13550;Bogotá;Bogotá;99;5
297839796;2012;84469;Bogotá;Bogotá;99;5
297818794;2012;42278;Bogotá;Bogotá;99;5
283047;2012;1368499;Bogotá;Bogotá;99;5
297820580;2012;238131;Bogotá;Yopal;99;5
452232;2012;233060;Bogotá;Bogotá;99;5
10209581;2012;20131;Bogotá;Bogotá;99;5
297718330;2012;1903380;Bogotá;Bogotá;99;5
297821918;2012;731149;Bogotá;Bogotá;99;5
297822767;2012;2235584;Bogotá;Bogotá;99;5
297822929;2012;1624988;Bogotá;Bogotá;99;5
299303275;2012;140085;Bogotá;Bogotá;99;5
297823503;2012;128440;Bogotá;Leticia;99;5
297827029;2012;117000;Bogotá;Leticia;99;5
297821059;2012;151024;Bogotá;Leticia;99;5
256628;2012;656731;Bogotá;Leticia;99;5
297839502;2012;8629;Bogotá;Leticia;99;5
297730495;2012;69144;Bogotá;Leticia;99;5
297827899;2012;2764266;Bogotá;Leticia;99;5
297827887;2012;259575;Bogotá;Leticia;99;5
441040;2012;196000;Bogotá;Leticia;99;5
297823991;2012;99854;Bogotá;Bogotá;99;5
444211;2012;38100;Bogotá;Villavicencio;99;5
297822054;2012;709211;Bogotá;Bogotá;99;5
297819453;2012;437863;Bogotá;Bogotá;99;5
450867;2012;682155;Bogotá;Bogotá;99;5
441850;2012;2995047;Barranquilla;San Andrés;99;5
297823164;2012;641463;Bogotá;Bogotá;99;5
297718671;2012;411810;Bogotá;Bogotá;99;5
297717025;2012;267593;Bogotá;Bogotá;99;5
297821128;2012;4046673;Bogotá;Bogotá;99;5
297824845;2012;36904;Bogotá;Leticia;99;5
297825821;2012;5500;Bogotá;Leticia;99;5
297827619;2012;24655;Bogotá;Leticia;99;5
297840102;2012;35000;Bogotá;Leticia;99;5
297825685;2012;98803;Bogotá;Leticia;99;5
297823003;2012;353808;Bogotá;Leticia;99;5
297826634;2012;337280;Bogotá;Leticia;99;5
297822047;2012;60000;Bogotá;Leticia;99;5
