Nro_Orden_Establecimiento;Periodo;NUMHAB;NUMCAMA;IHPN;IHPT;Sede;Subsede;NOVEDAD;ESTADO
297826889;2012;143;288;29420;10486;Bogotá;Bogotá;99;5
297826988;2012;80;119;16618;13062;Bogotá;Bogotá;99;5
457978;2012;25;50;4500;4050;Bogotá;Bogotá;99;5
457979;2012;23;41;691;667;Bogotá;Bogotá;99;5
297718280;2012;100;250;7470;4150;Bogotá;Bogotá;99;5
451402;2012;12;26;4692;4356;Bogotá;Bogotá;99;5
297826991;2012;39;58;8008;4484;Bogotá;Bogotá;99;5
9807346;2012;41;82;13687;13687;Bogotá;Bogotá;99;5
9807408;2012;137;287;63440;8777;Bogotá;Bogotá;99;5
297826672;2012;54;102;18117;8680;Bogotá;Bogotá;99;5
297826767;2012;27;53;4595;1167;Bogotá;Bogotá;99;5
297838058;2012;47;65;7254;3508;Bogotá;Bogotá;99;5
297827017;2012;26;52;7309;4064;Bogotá;Bogotá;99;5
297826945;2012;38;72;12390;12350;Bogotá;Bogotá;99;5
297838050;2012;50;127;25780;3771;Bogotá;Leticia;99;5
299303287;2012;72;83;18670;15150;Bogotá;Bogotá;99;5
9815066;2012;28;60;7408;4332;Bogotá;Bogotá;99;5
10209451;2012;9;18;1615;696;Bogotá;Bogotá;99;5
297823688;2012;8;26;1530;1230;Bogotá;Bogotá;99;5
297821685;2012;12;33;1449;679;Bogotá;Bogotá;99;5
450816;2012;53;57;12671;4213;Bogotá;Bogotá;99;5
74977;2012;46;98;7084;5636;Bogotá;Bogotá;99;5
407032;2012;30;35;10980;6990;Bogotá;Bogotá;99;5
297827928;2012;33;75;482;434;Bogotá;Bogotá;99;5
297824160;2012;21;30;5694;3636;Bogotá;Bogotá;99;5
297834339;2012;8;13;250;220;Bogotá;Bogotá;99;5
297822959;2012;9;22;1134;1009;Bogotá;Bogotá;99;5
297822527;2012;12;32;3458;2648;Bogotá;Bogotá;99;5
297826739;2012;64;65;16548;12729;Bogotá;Bogotá;99;5
297823552;2012;24;33;6451;5965;Bogotá;Bogotá;99;5
297822516;2012;15;17;4209;4209;Bogotá;Bogotá;99;5
449312;2012;11;29;1441;745;Bogotá;Bogotá;99;5
297825166;2012;8;15;1800;1200;Bogotá;Bogotá;99;5
297820854;2012;7;15;612;256;Bogotá;Bogotá;99;5
297823234;2012;9;28;2900;1500;Bogotá;Bogotá;99;5
297826977;2012;46;64;14664;13250;Bogotá;Bogotá;99;5
9807394;2012;66;167;21244;7390;Bogotá;Bogotá;99;5
297826749;2012;59;73;15567;14441;Bogotá;Bogotá;99;5
297823613;2012;50;61;4200;1400;Bogotá;Bogotá;99;5
297827058;2012;9;20;1080;882;Bogotá;Bogotá;99;5
297823853;2012;9;18;540;450;Bogotá;Bogotá;99;5
297824060;2012;10;20;3850;2450;Bogotá;Bogotá;99;5
297824123;2012;18;44;3197;1954;Bogotá;Bogotá;99;5
297823455;2012;5;10;530;475;Bogotá;Bogotá;99;5
297823642;2012;7;11;953;664;Bogotá;Bogotá;99;5
297818827;2012;6;11;1341;1024;Bogotá;Bogotá;99;5
297823431;2012;25;40;4532;2735;Bogotá;Bogotá;99;5
297839499;2012;47;95;22428;5412;Bogotá;Bogotá;99;5
297823062;2012;25;58;2350;1150;Bogotá;Bogotá;99;5
297827337;2012;95;204;7082;6750;Bogotá;Bogotá;99;5
413402;2012;19;30;2880;2225;Bogotá;Bogotá;99;5
297822677;2012;16;33;704;704;Bogotá;Bogotá;99;5
297826662;2012;165;234;56571;46104;Bogotá;Bogotá;99;5
297822990;2012;45;85;3537;2358;Bogotá;Bogotá;99;5
450886;2012;20;28;2027;1938;Bogotá;Bogotá;99;5
297823265;2012;13;31;2367;745;Bogotá;Bogotá;99;5
297839769;2012;19;19;1720;1720;Bogotá;Bogotá;99;5
297823601;2012;28;32;8160;5526;Bogotá;Bogotá;99;5
297821402;2012;16;18;5256;5256;Bogotá;Bogotá;99;5
10207645;2012;25;70;4338;2820;Bogotá;Bogotá;99;5
297823258;2012;40;55;308;308;Bogotá;Bogotá;99;5
297819921;2012;8;24;1896;632;Bogotá;Bogotá;99;5
408533;2012;34;68;16096;10838;Bogotá;Bogotá;99;5
450869;2012;52;82;11622;9707;Bogotá;Bogotá;99;5
297826835;2012;52;66;13965;13453;Bogotá;Bogotá;99;5
165923;2012;28;48;1048;1048;Bogotá;Bogotá;99;5
297826497;2012;14;28;9846;4717;Bogotá;Bogotá;99;5
297820374;2012;11;16;697;390;Bogotá;Bogotá;99;5
297819999;2012;21;34;2168;2168;Bogotá;Bogotá;99;5
297823669;2012;15;26;3456;3456;Bogotá;Bogotá;99;5
10207689;2012;14;22;2280;651;Bogotá;Bogotá;99;5
297834076;2012;22;40;2313;578;Bogotá;Bogotá;99;5
441267;2012;75;155;14759;8337;Bogotá;Bogotá;99;5
441565;2012;12;24;2476;764;Bogotá;Bogotá;99;5
441566;2012;6;12;1645;699;Bogotá;Bogotá;99;5
441567;2012;12;48;2795;1199;Bogotá;Bogotá;99;5
441568;2012;11;22;2239;1125;Bogotá;Bogotá;99;5
441569;2012;10;20;2414;1395;Bogotá;Bogotá;99;5
441570;2012;16;39;4052;2680;Bogotá;Bogotá;99;5
450863;2012;10;40;2555;1005;Bogotá;Bogotá;99;5
297823534;2012;7;25;1922;270;Bogotá;Bogotá;99;5
299303246;2012;10;20;2806;899;Bogotá;Bogotá;99;5
297824086;2012;38;93;4212;3084;Bogotá;Bogotá;99;5
447079;2012;50;108;27416;16407;Bogotá;Bogotá;99;5
297826870;2012;239;311;82059;63122;Bogotá;Bogotá;99;5
297826640;2012;40;48;7148;7145;Bogotá;Bogotá;99;5
297826980;2012;56;144;34824;16926;Bogotá;Bogotá;99;5
299304555;2012;18;42;4850;2425;Bogotá;Bogotá;99;5
297826975;2012;76;92;27816;24567;Bogotá;Bogotá;99;5
297839506;2012;36;73;11948;11948;Bogotá;Bogotá;99;5
9807441;2012;42;64;4268;3688;Bogotá;Bogotá;99;5
9807448;2012;27;54;8946;6881;Bogotá;Bogotá;99;5
441825;2012;69;138;15670;12474;Barranquilla;Santa Marta;99;5
9795548;2012;24;2430;11223;9720;Bogotá;Villavicencio;99;5
297826990;2012;60;82;22471;16411;Bogotá;Bogotá;99;5
297826738;2012;264;359;65068;58127;Bogotá;Bogotá;99;5
297839497;2012;216;260;65440;61827;Bogotá;Bogotá;99;5
297826642;2012;199;277;62655;45831;Bogotá;Bogotá;99;5
297718322;2012;60;120;13592;3980;Bogotá;Bogotá;99;5
297826647;2012;30;55;7862;5781;Bogotá;Bogotá;99;5
103459;2012;137;169;3714;2879;Bogotá;Bogotá;99;5
299303285;2012;77;192;8748;3055;Bogotá;Bogotá;99;5
448987;2012;126;252;38056;27903;Bogotá;Bogotá;99;5
297730503;2012;24;72;2913;2913;Barranquilla;Santa Marta;99;5
297718312;2012;137;190;26618;22407;Bogotá;Bogotá;99;5
297718302;2012;245;246;62593;55417;Bogotá;Bogotá;99;5
297822448;2012;54;108;27392;10957;Bogotá;Bogotá;99;5
297839505;2012;191;231;50849;49118;Bogotá;Bogotá;99;5
297821308;2012;142;383;57420;24679;Bogotá;Bogotá;99;5
297718360;2012;55;62;6406;4270;Bogotá;Bogotá;99;5
297718363;2012;128;140;19512;12713;Bogotá;Bogotá;99;5
297718362;2012;132;280;3725;1958;Bogotá;Bogotá;99;5
297822336;2012;40;80;4054;2205;Bogotá;Bogotá;99;5
297717006;2012;64;86;5339;2871;Bogotá;Bogotá;99;5
297717021;2012;250;332;5079;5076;Bogotá;Bogotá;99;5
297717024;2012;75;115;5198;4500;Bogotá;Bogotá;99;5
10209311;2012;8;8;1440;720;Bogotá;Bogotá;99;5
297839796;2012;15;24;2920;1460;Bogotá;Bogotá;99;5
297818794;2012;25;28;5400;3000;Bogotá;Bogotá;99;5
283047;2012;24;68;6720;5880;Bogotá;Bogotá;99;5
297820580;2012;25;98;1648;550;Bogotá;Yopal;99;5
452232;2012;27;108;2760;1773;Bogotá;Bogotá;99;5
10209581;2012;19;20;901;868;Bogotá;Bogotá;99;5
297718330;2012;40;60;6515;5788;Bogotá;Bogotá;99;5
297821918;2012;16;36;7475;925;Bogotá;Bogotá;99;5
297822767;2012;63;74;17931;11954;Bogotá;Bogotá;99;5
297822929;2012;41;105;7372;3476;Bogotá;Bogotá;99;5
299303275;2012;57;342;9077;6983;Bogotá;Bogotá;99;5
297823503;2012;8;20;2127;1127;Bogotá;Leticia;99;5
297827029;2012;11;39;2127;782;Bogotá;Leticia;99;5
297821059;2012;22;44;3120;980;Bogotá;Leticia;99;5
256628;2012;44;88;6400;3200;Bogotá;Leticia;99;5
297839502;2012;10;40;190;110;Bogotá;Leticia;99;5
297730495;2012;16;60;1162;876;Bogotá;Leticia;99;5
297827899;2012;41;91;12830;6415;Bogotá;Leticia;99;5
297827887;2012;2;8;1806;1806;Bogotá;Leticia;99;5
441040;2012;17;51;8500;3400;Bogotá;Leticia;99;5
297823991;2012;14;53;1975;790;Bogotá;Bogotá;99;5
444211;2012;30;41;1384;884;Bogotá;Villavicencio;99;5
297822054;2012;73;107;13717;8927;Bogotá;Bogotá;99;5
297819453;2012;45;93;8646;5175;Bogotá;Bogotá;99;5
450867;2012;24;68;9594;9259;Bogotá;Bogotá;99;5
441850;2012;44;166;27573;8958;Barranquilla;San Andrés;99;5
297823164;2012;20;48;5112;3648;Bogotá;Bogotá;99;5
297718671;2012;82;150;7854;2618;Bogotá;Bogotá;99;5
297717025;2012;64;86;1009;985;Bogotá;Bogotá;99;5
297821128;2012;95;232;15261;3815;Bogotá;Bogotá;99;5
297824845;2012;3;6;325;325;Bogotá;Leticia;99;5
297825821;2012;8;31;169;149;Bogotá;Leticia;99;5
297827619;2012;6;24;350;208;Bogotá;Leticia;99;5
297840102;2012;9;27;1200;600;Bogotá;Leticia;99;5
297825685;2012;18;72;2107;806;Bogotá;Leticia;99;5
297823003;2012;12;26;3350;1310;Bogotá;Leticia;99;5
297826634;2012;32;76;2880;2704;Bogotá;Leticia;99;5
297822047;2012;9;21;1384;477;Bogotá;Leticia;99;5
446751;2012;11;30;432;360;Bogotá;Leticia;99;5
259709;2012;13;26;501;401;Bogotá;Leticia;99;5
297818963;2012;14;35;1950;720;Bogotá;Leticia;99;5
297840103;2012;13;45;466;160;Bogotá;Leticia;99;5
394762;2012;8;26;1500;500;Bogotá;Leticia;99;5
297833958;2012;16;39;385;365;Bogotá;Leticia;99;5
297823481;2012;9;36;320;200;Bogotá;Leticia;99;5
297821674;2012;26;47;950;893;Bogotá;Leticia;99;5
296886227;2012;58;59;10257;8275;Bogotá;Bogotá;99;5
297718270;2012;64;68;20144;13264;Bogotá;Bogotá;99;5
452147;2012;29;65;11346;7129;Bucaramanga;Bucaramanga;99;5
296886218;2012;65;150;20048;17720;Bucaramanga;Bucaramanga;99;5
297839501;2012;139;186;27662;21476;Bogotá;Bogotá;99;5
382102;2012;135;167;44108;44108;Bucaramanga;Bucaramanga;99;5
297826761;2012;59;104;11813;7809;Bucaramanga;Bucaramanga;99;5
296914019;2012;53;73;7227;7227;Bucaramanga;Bucaramanga;99;5
297826917;2012;162;279;36941;30900;Bucaramanga;Bucaramanga;99;5
297826729;2012;60;119;13147;12220;Bucaramanga;Bucaramanga;99;5
452270;2012;78;195;22092;12624;Bucaramanga;Bucaramanga;99;5
297826888;2012;12;56;1026;492;Bucaramanga;Bucaramanga;99;5
297826958;2012;49;87;9702;9702;Bucaramanga;Bucaramanga;99;5
452268;2012;77;232;35987;22095;Bucaramanga;Bucaramanga;99;5
452269;2012;8;35;3185;1533;Bucaramanga;Bucaramanga;99;5
455214;2012;31;76;5710;3710;Bucaramanga;Bucaramanga;99;5
297826915;2012;40;107;5697;5292;Bucaramanga;Bucaramanga;99;5
297826605;2012;40;89;9916;9916;Bucaramanga;Bucaramanga;99;5
420510;2012;56;66;14308;14308;Bucaramanga;Bucaramanga;99;5
297823964;2012;87;198;13171;10666;Bucaramanga;Bucaramanga;99;5
297822876;2012;60;160;14674;12674;Bucaramanga;Bucaramanga;99;5
297824118;2012;65;90;6779;6170;Bucaramanga;Bucaramanga;99;5
297827338;2012;37;47;5700;5410;Bucaramanga;Bucaramanga;99;5
452141;2012;59;89;13728;11000;Bucaramanga;Bucaramanga;99;5
444253;2012;73;305;22047;12000;Bucaramanga;Bucaramanga;99;5
452143;2012;27;109;4972;4955;Bucaramanga;Bucaramanga;99;5
297820053;2012;31;45;9834;7280;Bucaramanga;Bucaramanga;99;5
297838190;2012;72;198;19517;18428;Cali;Cali;99;5
455239;2012;70;89;14004;6991;Cali;Cali;99;5
297826717;2012;145;294;46639;31720;Cali;Cali;99;5
297826765;2012;47;72;9436;3560;Cali;Cali;99;5
297826766;2012;60;176;14560;7991;Cali;Cali;99;5
297826771;2012;75;100;24952;17864;Cali;Cali;99;5
297821622;2012;104;180;30067;20157;Cali;Cali;99;5
452422;2012;32;57;8236;7195;Manizales;Manizales;99;5
452426;2012;108;150;54020;42138;Manizales;Ibagué;99;5
9807415;2012;102;183;26630;14087;Bogotá;Bogotá;99;5
296886245;2012;168;194;53890;46890;Medellín;Medellín;99;5
296886246;2012;106;174;33384;11584;Bogotá;Bogotá;99;5
296886247;2012;92;184;25817;12092;Bogotá;Bogotá;99;5
296886248;2012;65;131;18346;16321;Manizales;Manizales;99;5
296886249;2012;46;60;11509;10850;Manizales;Manizales;99;5
296886250;2012;128;165;59990;59990;Barranquilla;Santa Marta;99;5
297718282;2012;194;388;129202;86315;Barranquilla;Cartagena;99;5
297730369;2012;204;448;62173;27671;Bogotá;Bogotá;99;5
297730371;2012;109;314;9178;6741;Bogotá;Bogotá;99;5
297730372;2012;32;41;6896;2896;Bogotá;Bogotá;99;5
297730373;2012;209;252;68771;62011;Barranquilla;Barranquilla;99;5
297730375;2012;134;210;52723;44411;Medellín;Medellín;99;5
297730377;2012;104;195;42439;13720;Bogotá;Tunja;99;5
297730504;2012;1440;23475;42644;23475;Medellín;Medellín;99;5
297730506;2012;42;332;10710;10355;Manizales;Ibagué;99;5
297730507;2012;126;200;27964;9720;Bogotá;Bogotá;99;5
297838052;2012;281;299;72291;37336;Cali;Cali;99;5
296914052;2012;186;277;48994;36244;Cali;Cali;99;5
297826920;2012;67;165;10512;10360;Cali;Cali;99;5
446013;2012;26;135;8653;4447;Cali;Cali;99;5
452409;2012;42;175;15372;14887;Cali;Cali;99;5
297826959;2012;66;98;10505;5520;Cali;Cali;99;5
306981;2012;73;75;13215;11038;Cali;Cali;99;5
297730524;2012;75;100;27375;13945;Cali;Pasto;99;5
297826949;2012;47;65;18444;5201;Cali;Cali;99;5
297826764;2012;77;160;19932;3503;Cali;Cali;99;5
297826736;2012;192;308;36785;34048;Cali;Cali;99;5
297826872;2012;50;86;8736;8641;Cali;Cali;99;5
297826769;2012;66;100;11875;9284;Cali;Cali;99;5
297826768;2012;53;90;5241;5095;Cali;Cali;99;5
297827862;2012;226;452;62483;20347;Cali;Cali;99;5
444764;2012;39;97;8712;2824;Cali;Cali;99;5
455224;2012;181;234;37136;24538;Cali;Cali;99;5
297820355;2012;19;38;4630;3117;Cali;Cali;99;5
299304554;2012;19;51;498;456;Cali;Cali;99;5
297822435;2012;60;203;16835;7534;Cali;Cali;99;5
299303283;2012;48;211;23139;12259;Manizales;Manizales;99;5
375000;2012;64;132;13945;8340;Manizales;Manizales;99;5
455637;2012;70;984;105605;34604;Manizales;Manizales;99;5
7070958;2012;29;289;41544;19296;Manizales;Manizales;99;5
297826773;2012;57;110;8020;7010;Manizales;Manizales;99;5
444122;2012;68;130;17577;12504;Manizales;Manizales;99;5
452099;2012;30;101;4485;4250;Manizales;Armenia;99;5
9800577;2012;23;23;2350;2350;Manizales;Manizales;99;5
452101;2012;48;144;11845;3213;Medellín;Medellín;99;5
297826671;2012;51;146;11177;10557;Medellín;Medellín;99;5
297718664;2012;28;36;7878;2648;Medellín;Medellín;99;5
297826675;2012;71;93;21199;20896;Medellín;Medellín;99;5
297826976;2012;98;186;34560;23510;Medellín;Medellín;99;5
297718666;2012;55;67;15948;11654;Medellín;Medellín;99;5
452177;2012;37;84;9699;8980;Medellín;Medellín;99;5
297826851;2012;165;358;84387;78278;Medellín;Medellín;99;5
297718265;2012;84;315;92719;61813;Medellín;Medellín;99;5
296886274;2012;55;110;11262;11262;Medellín;Medellín;99;5
296886224;2012;46;117;14584;12367;Medellín;Medellín;99;5
299303330;2012;76;183;18652;17407;Medellín;Medellín;99;5
297826800;2012;98;128;32365;32287;Medellín;Medellín;99;5
297718269;2012;123;210;75600;49853;Medellín;Medellín;99;5
299303276;2012;294;388;85496;60737;Medellín;Medellín;99;5
446746;2012;55;80;8608;5739;Medellín;Medellín;99;5
296886259;2012;25;89;7064;6644;Medellín;Medellín;99;5
296886263;2012;25;89;7064;6644;Medellín;Medellín;99;5
296886264;2012;48;150;31396;18698;Medellín;Medellín;99;5
375263;2012;231;515;62859;44541;Medellín;Medellín;99;5
297730508;2012;152;218;48213;48041;Medellín;Medellín;99;5
375941;2012;61;198;10091;10091;Medellín;Medellín;99;5
457974;2012;108;340;41434;41209;Medellín;Medellín;99;5
9787477;2012;84;180;13824;6344;Medellín;Medellín;99;5
297826674;2012;35;118;16249;5740;Medellín;Medellín;99;5
297730522;2012;58;171;23180;11707;Medellín;Medellín;99;5
377233;2012;35;75;7918;3167;Manizales;Armenia;99;5
378275;2012;28;65;1752;545;Medellín;Quibdó;99;5
296886268;2012;63;170;4723;1571;Medellín;Medellín;99;5
451504;2012;8;36;536;288;Medellín;Medellín;99;5
297826643;2012;167;248;90519;63712;Medellín;Medellín;99;5
452356;2012;134;162;50238;40191;Medellín;Medellín;99;5
297718296;2012;78;132;9805;5949;Medellín;Medellín;99;5
297826775;2012;30;51;4848;4751;Medellín;Medellín;99;5
297839795;2012;50;118;34670;25309;Medellín;Medellín;99;5
451499;2012;13;26;3663;3190;Medellín;Medellín;99;5
452297;2012;32;57;10822;10822;Medellín;Medellín;99;5
452330;2012;96;220;35136;32064;Medellín;Medellín;99;5
297718304;2012;72;107;10431;6119;Medellín;Medellín;99;5
297823386;2012;54;108;9283;9100;Medellín;Medellín;99;5
297823000;2012;78;132;22494;12496;Medellín;Medellín;99;5
297823579;2012;30;80;3120;2080;Medellín;Medellín;99;5
297823739;2012;115;165;41336;27079;Medellín;Medellín;99;5
452170;2012;14;42;1072;1015;Medellín;Medellín;99;5
452474;2012;28;110;6465;4138;Medellín;Medellín;99;5
297823606;2012;23;101;6324;5545;Medellín;Medellín;99;5
297823404;2012;25;45;6783;5752;Medellín;Medellín;99;5
297718335;2012;37;122;4845;4823;Medellín;Medellín;99;5
411323;2012;25;55;2193;1950;Medellín;Medellín;99;5
443827;2012;98;155;25797;14800;Medellín;Medellín;99;5
2506951;2012;96;125;9834;4135;Medellín;Medellín;99;5
445470;2012;23;100;7185;3456;Medellín;Medellín;99;5
297823428;2012;150;342;8487;7892;Medellín;Medellín;99;5
297823893;2012;56;87;5791;5240;Medellín;Medellín;99;5
444270;2012;55;107;4082;3883;Medellín;Medellín;99;5
297839768;2012;126;206;38065;27903;Medellín;Medellín;99;5
10400085;2012;89;125;38730;32275;Medellín;Medellín;99;5
451490;2012;75;192;15365;15365;Manizales;Pereira;99;5
297839503;2012;22;104;6068;1658;Manizales;Pereira;99;5
452201;2012;43;154;12874;12874;Manizales;Pereira;99;5
297826921;2012;202;287;43100;43100;Manizales;Pereira;99;5
297730463;2012;50;76;16493;13286;Manizales;Pereira;99;5
297826808;2012;78;190;18993;9256;Manizales;Pereira;99;5
444234;2012;53;154;8018;4357;Manizales;Pereira;99;5
297822881;2012;26;60;8042;8042;Manizales;Pereira;99;5
442868;2012;28;43;3552;2909;Cali;Pasto;99;5
452303;2012;49;313;32974;23543;Manizales;Pereira;99;5
455706;2012;129;233;14742;13862;Manizales;Armenia;99;5
297826721;2012;110;250;19991;19991;Manizales;Armenia;99;5
297826720;2012;94;188;11255;11255;Manizales;Armenia;99;5
297826981;2012;53488;106900;110037;47842;Manizales;Armenia;99;5
455775;2012;48;189;14937;7028;Manizales;Armenia;99;5
298581;2012;49;200;13778;13778;Manizales;Armenia;99;5
297826797;2012;122;244;55954;47116;Barranquilla;Cartagena;99;5
297827001;2012;330;660;109037;43615;Barranquilla;Cartagena;99;5
9815993;2012;231;262435;223522;203396;Barranquilla;Santa Marta;99;5
9815995;2012;128;292;106237;26559;Barranquilla;San Andrés;99;5
296914001;2012;366;1001;357950;286360;Barranquilla;Cartagena;99;5
296914050;2012;233;516;168102;42025;Barranquilla;San Andrés;99;5
297826809;2012;341;705;149830;118131;Barranquilla;Cartagena;99;5
297826810;2012;203;414;99649;99649;Barranquilla;Cartagena;99;5
299303286;2012;48;96;23498;16163;Barranquilla;Cartagena;99;5
297826876;2012;280;380;135000;118679;Barranquilla;Cartagena;99;5
297826879;2012;546;925;225727;72188;Barranquilla;Cartagena;99;5
296886257;2012;320;683;110430;72600;Barranquilla;Cartagena;99;5
297827968;2012;363;635;142957;135000;Barranquilla;Cartagena;99;5
296886212;2012;17;36;5235;2984;Barranquilla;Cartagena;99;5
297826719;2012;20;80;3060;1130;Barranquilla;Cartagena;99;5
297718273;2012;37;74;4225;1520;Barranquilla;Cartagena;99;5
297826971;2012;30;60;11427;7393;Barranquilla;Cartagena;99;5
297826877;2012;65;163;17634;9939;Barranquilla;Cartagena;99;5
441879;2012;28;78;27226;10084;Barranquilla;Cartagena;99;5
312167;2012;10;24;6723;2241;Barranquilla;Cartagena;99;5
9816010;2012;72;92;16236;11942;Barranquilla;Cartagena;99;5
374311;2012;70;192;8048;4848;Barranquilla;Cartagena;99;5
297718327;2012;140;228;82778;41389;Barranquilla;Cartagena;99;5
297820391;2012;118;330;73703;45161;Barranquilla;Cartagena;99;5
297818576;2012;250;500;123930;82620;Barranquilla;Cartagena;99;5
299303292;2012;9;18;2054;1869;Barranquilla;Cartagena;99;5
299303278;2012;14;28;5124;2011;Barranquilla;Cartagena;99;5
452424;2012;105;202;68184;61054;Barranquilla;Cartagena;99;5
