Nro_Orden_Establecimiento;Periodo;C4RGC2;C4RGC4;C4RGC5;MANTRSCON;C4RGC6;CVPROGRSCONV;CVPROGRESPEL;C4RGA1aRO;C4RGA1cRO;RSORGRECICLA;C4RGA1bRO;C4RGA1dRO;RSORGVENTA;C4RGA1eRO;C4RGA2aPC;C4RGA2cPC;RSPAPELRECICLA;C4RGA2bPC;C4RGA2dPC;RSPAPELVENTA;C4RGA2ePC;C4RGA3aP;C4RGA3cP;RSPLASTRECICLA;C4RGA3bP;C4RGA3dP;RSPLASTVENTA;C4RGA3eP;C4RGA4aV;C4RGA4cV;RSVIDRIORECICLA;C4RGA4bV;C4RGA4dV;RSVIDRIOVENTA;C4RGA4eV;C4RGA5aMT;C4RGA5cMT;RSMETALRECICLA;C4RGA5bMT;C4RGA5dMT;RSMETALVENTA;C4RGA5eMT;C4RGA6aT;C4RGA6cT;RSTEXTILRECICLA;C4RGA6bT;C4RGA6dT;RSTEXTILVENTA;C4RGA6eT;C4RGA7aNMT;C4RGA7cNMT;RSNOMETALRECICLA;C4RGA7bNMT;C4RGA7dNMT;RSNOMETALVENTA;C4RGA7eNMT;RSMIXQ;RSMIXREUQ;RSMIXRECICLAQ;RSMIXDONAQ;RSMIXENTREGQ;RSMIXVENTAQ;RSMIXVENTAI;C4RGA8a;C4RGA8c;RSRECICLAT;C4RGA8b;C4RGA8d;RSVENTAT;C4RGA8e;C4RGA9VCRR;C4RGA10e;C4RGA10a;C4RGA10b;C4RGA10c;C4RGA10d;C4RGB1a;C4RGB1c;C4RGB1d;C4RGB1e;C4RGB1f;C4RGB3a;C4RGB3c;C4RGB3d;C4RGB3e;C4RGB3f;C4RGB4a;C4RGB4c;C4RGB4d;C4RGB4e;C4RGB4f;C4RGB5a;C4RGB5c;C4RGB5d;C4RGB5e;C4RGB5f;C4RGB6a;C4RGB6c;C4RGB6d;C4RGB6e;C4RGB6f;C4RGB7a;C4RGB7c;C4RGB7d;C4RGB7e;C4RGB7f;C4RGB8a;C4RGB8c;C4RGB8d;C4RGB8e;C4RGB8f;C4RGB9a;C4RGB9c;C4RGB9d;C4RGB9e;C4RGB9f;C4RGB10a;C4RGB10c;C4RGB10d;C4RGB10e;C4RGB10f;C4RGB11a;C4RGB11c;C4RGB11d;C4RGB11e;C4RGB11f;C4RGB12a;C4RGB12c;C4RGB12d;C4RGB12e;C4RGB12f;C4RGB13Ta;TOTALMA;TOTALAPROVE;TOTALTRAT;TOTALINCI;C4RGB2TOT;Sede;Subsede;NOVEDAD;ESTADO
297825685;2012;230;0;0;0;120;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;400;0;0;0;400;0;0;400;0;0;0;400;0;0;287;X; ; ; ; ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0; ; ; ; ; ;0;0;0;0;0;0;Bogotá;Leticia;99;5
297823003;2012;95;0;0;0;83;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1250;0;0;0;1250;0;0;1250;0;0;0;1250;0;0;280;X; ; ; ; ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0; ; ; ; ; ;0;0;0;0;0;0;Bogotá;Leticia;99;5
297826634;2012;200;0;0;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2850;0;0;0;2850;0;0;2850;0;0;0;2850;0;0;286;X; ; ; ; ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0; ; ; ; ; ;0;0;0;0;0;0;Bogotá;Leticia;99;5
297822047;2012;0;0;0;0;120;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;80;0;0;0;80;0;0;500;0;0;0;500;0;0;580;0;0;0;580;0;0;364;X; ; ; ; ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0; ; ; ; ; ;0;0;0;0;0;0;Bogotá;Leticia;99;5
446751;2012;0;0;0;0;280;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;560;0;0;0;560;0;0;560;0;0;0;560;0;0;419;X; ; ; ; ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0; ; ; ; ; ;0;0;0;0;0;0;Bogotá;Leticia;99;5
259709;2012;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;490;0;0;0;490;0;0;490;0;0;0;490;0;0;380;X; ; ; ; ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0; ; ; ; ; ;0;0;0;0;0;0;Bogotá;Leticia;99;5
297818963;2012;0;0;0;0;200;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1080;0;0;0;1080;0;0;1080;0;0;0;1080;0;0;310;X; ; ; ; ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0; ; ; ; ; ;0;0;0;0;0;0;Bogotá;Leticia;99;5
297840103;2012;280;0;0;0;120;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;320;0;0;0;320;0;0;320;0;0;0;320;0;0;150;X; ; ; ; ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0; ; ; ; ; ;0;0;0;0;0;0;Bogotá;Leticia;99;5
394762;2012;0;0;0;0;200;0;0;50;0;50;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;800;0;0;0;800;0;0;850;0;50;0;800;0;0;365;X; ; ; ; ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0; ; ; ; ; ;0;0;0;0;0;0;Bogotá;Leticia;99;5
297833958;2012;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;720;0;0;0;720;0;0;720;0;0;0;720;0;0;360;X; ; ; ; ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0; ; ; ; ; ;0;0;0;0;0;0;Bogotá;Leticia;99;5
