Nro_Orden_Establecimiento;Periodo;C3RHE1;C3RHE2;C3RHE5;PROGAHORR;C3RHC1PTU;C3RHC4RCASUP;C3RHC5RCASUB;C3RHC6PMS;MULTABAS;C3RHC7TOGT;C3RHA1cAC;C3RHA1dAC;VOCONSBL;VACONSBLQ;C3RHA5cCT;C3RHA5dCT;C3RHA6cALL;C3RHA2aSUP;C3RHA2bSUP;FECHADESDESUP;FECHAHASTASUP;C3RHA2cSUP;C3RHA3aSUB;C3RHA3bSUB;FECHADESDESUB;FECHAHASTASUB;C3RHA3cSUB;C3RHA4aAM;C3RHA4bAM;FECHADESDEMAR;FECHAHASTAMAR;C3RHA4cAM;C3RHA7aTVC;C3RHA7bTPC;C3RHA7cTVU;C3RHA7dTVPCA;Sede;Subsede;NOVEDAD;ESTADO
297827000;2012;0;0;0;0;36;0;0;0;0;36;6872;16740;0;0;0;0;0;0;0; ; ;0;0;0; ; ;0;0;0; ; ;0;0;0;6872;16740;Bogotá;Bogotá;99;5
414681;2012;1000;0;0;0;41;0;0;0;0;41;8241;20190;0;0;0;0;0;0;0; ; ;0;0;0; ; ;0;0;0; ; ;0;0;0;8241;20190;Bogotá;Bogotá;99;5
382101;2012;0;0;0;0;14;0;0;0;0;14;9634;10227;0;0;0;0;0;0;0; ; ;0;0;0; ; ;0;0;0; ; ;0;0;0;9634;10227;Cali;Popayán;99;5
297826978;2012;0;0;6455;0;143;0;0;0;0;143;26728;96000;0;0;0;0;0;0;0; ; ;0;0;0; ; ;0;0;0; ; ;0;0;0;26728;96000;Bogotá;Bogotá;99;5
297826677;2012;0;0;0;0;30;0;0;0;0;30;6621;16129;0;0;0;0;0;0;0; ; ;0;0;0; ; ;0;0;0; ; ;0;0;0;6621;16129;Bogotá;Bogotá;99;5
297826828;2012;0;0;2000;2000;66;0;0;0;0;66;9215;22327;0;0;0;0;0;0;0; ; ;0;0;0; ; ;0;0;0; ; ;0;0;0;9215;22327;Bogotá;Bogotá;99;5
297826830;2012;0;0;0;0;29;0;0;0;0;29;6626;16316;0;0;0;0;0;0;0; ; ;0;0;0; ; ;0;0;0; ; ;0;0;0;6626;16316;Bogotá;Bogotá;99;5
452491;2012;0;0;0;0;26;0;0;0;0;26;4200;8400;0;0;0;0;0;0;0; ; ;0;0;0; ; ;0;0;0; ; ;0;0;0;4200;8400;Barranquilla;Cartagena;99;5
9807355;2012;0;500;0;0;188;0;0;0;0;188;36000;87696;0;0;0;0;0;0;0; ; ;0;0;0; ; ;0;0;0; ; ;0;0;0;36000;87696;Bogotá;Bogotá;99;5
297826832;2012;0;0;0;0;37;0;0;0;0;37;7469;16173;0;0;0;0;0;0;0; ; ;0;0;0; ; ;0;0;0; ; ;0;0;0;7469;16173;Bogotá;Bogotá;99;5
297826833;2012;0;0;0;0;265;0;0;0;0;265;55517;133261;0;0;0;0;0;0;0; ; ;0;0;0; ; ;0;0;0; ; ;0;0;0;55517;133261;Bogotá;Bogotá;99;5
297826834;2012;0;1674;1798;2136;131;0;0;0;0;131;29627;69468;0;0;0;0;0;0;0; ; ;0;0;0; ; ;0;0;0; ; ;0;0;0;29627;69468;Bogotá;Bogotá;99;5
452129;2012;0;0;0;0;199;0;0;0;0;199;6612;7273;0;0;0;0;0;0;0; ; ;0;0;0; ; ;0;0;0; ; ;0;0;0;6612;7273;Bogotá;Bogotá;99;5
9807356;2012;0;0;0;0;15;0;0;0;0;15;3672;9143;0;0;0;0;0;0;0; ; ;0;0;0; ; ;0;0;0; ; ;0;0;0;3672;9143;Bogotá;Bogotá;99;5
9807357;2012;0;0;0;0;29;0;0;0;0;29;5920;14208;0;0;0;0;0;0;0; ; ;0;0;0; ; ;0;0;0; ; ;0;0;0;5920;14208;Bogotá;Bogotá;99;5
297826941;2012;0;0;0;0;17;0;0;0;0;17;3414;8296;0;0;0;0;0;0;0; ; ;0;0;0; ; ;0;0;0; ; ;0;0;0;3414;8296;Bogotá;Bogotá;99;5
297826946;2012;0;0;0;2000;97;0;0;0;0;97;17682;43080;0;0;0;0;0;0;0; ; ;0;0;0; ; ;0;0;0; ; ;0;0;0;17682;43080;Bogotá;Bogotá;99;5
297826982;2012;0;0;0;0;102;0;0;0;0;102;23870;59437;0;0;0;0;0;0;0; ; ;0;0;0; ; ;0;0;0; ; ;0;0;0;23870;59437;Bogotá;Bogotá;99;5
296886228;2012;0;0;0;0;138;0;0;0;0;138;23039;48382;0;0;0;0;0;0;0; ; ;0;0;0; ; ;0;0;0; ; ;0;0;0;23039;48382;Barranquilla;Cartagena;99;5
297826663;2012;0;2451;0;0;23;0;0;0;0;23;4660;11107;0;0;0;0;0;0;0; ; ;0;0;0; ; ;0;0;0; ; ;0;0;0;4660;11107;Bogotá;Bogotá;99;5
297826985;2012;0;0;0;0;31;0;0;0;0;31;7013;16509;0;0;0;0;0;0;0; ; ;0;0;0; ; ;0;0;0; ; ;0;0;0;7013;16509;Bogotá;Bogotá;99;5
297826986;2012;0;0;0;0;39;0;0;0;0;39;7244;17386;0;0;0;0;0;0;0; ; ;0;0;0; ; ;0;0;0; ; ;0;0;0;7244;17386;Bogotá;Bogotá;99;5
297838044;2012;0;3500;2800;1500;0;0;0;0;0;0;8388;15577;0;0;0;0;0;0;0; ; ;0;0;0; ; ;0;0;0; ; ;0;0;0;8388;15577;Bogotá;Tunja;99;5
409910;2012;0;0;0;0;0;8162;0;0;0;8162;0;0;0;0;0;0;0;8613;8162;14/02/2010;13/02/2020;6940;0;0; ; ;0;0;0; ; ;0;8613;8162;6940;0;Manizales;Ibagué;99;5
450883;2012;0;0;0;0;33;0;0;0;0;33;6915;17073;0;0;0;0;0;0;0; ; ;0;0;0; ; ;0;0;0; ; ;0;0;0;6915;17073;Bogotá;Bogotá;99;5
297839484;2012;0;8500;24000;3500;68;0;0;0;0;68;13642;33150;0;0;0;0;0;0;0; ; ;0;0;0; ; ;0;0;0; ; ;0;0;0;13642;33150;Bogotá;Bogotá;99;5
299303284;2012;0;1100;0;0;192;0;0;0;0;192;45563;109351;0;0;0;0;0;0;0; ; ;0;0;0; ; ;0;0;0; ; ;0;0;0;45563;109351;Bogotá;Bogotá;99;5
337133;2012;0;0;0;0;35;0;0;0;0;35;7202;17775;0;0;0;0;0;0;0; ; ;0;0;0; ; ;0;0;0; ; ;0;0;0;7202;17775;Bogotá;Bogotá;99;5
75000;2012;0;0;0;0;5;0;0;0;0;5;1049;2203;0;0;0;0;0;0;0; ; ;0;0;0; ; ;0;0;0; ; ;0;0;0;1049;2203;Barranquilla;Santa Marta;99;5
75007;2012;0;0;0;0;11;0;0;0;0;11;2748;6457;0;0;0;0;0;0;0; ; ;0;0;0; ; ;0;0;0; ; ;0;0;0;2748;6457;Bogotá;Bogotá;99;5
410376;2012;0;0;0;0;0;0;0;0;0;0;1350;3280;0;0;0;0;0;0;0; ; ;0;0;0; ; ;0;0;0; ; ;0;0;0;1350;3280;Barranquilla;Santa Marta;99;5
296886229;2012;0;0;0;0;0;0;0;0;0;0;9341;18073;0;0;0;0;0;0;0; ; ;0;0;0; ; ;0;0;0; ; ;0;0;0;9341;18073;Barranquilla;Santa Marta;99;5
296914023;2012;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1020;1560;0;0;0; ; ;0;0;0; ; ;0;0;0; ; ;0;0;0;1020;1560;Barranquilla;Santa Marta;99;5
297718272;2012;0;0;0;0;68;0;0;0;0;68;13891;32702;0;0;0;0;0;0;0; ; ;0;0;0; ; ;0;0;0; ; ;0;0;0;13891;32702;Bogotá;Bogotá;99;5
297826922;2012;0;0;0;0;21;0;0;0;0;21;4243;10280;0;0;0;0;0;0;0; ; ;0;0;0; ; ;0;0;0; ; ;0;0;0;4243;10280;Bogotá;Bogotá;99;5
451251;2012;0;0;0;0;10;0;0;0;0;10;1677;3521;0;0;0;0;0;0;0; ; ;0;0;0; ; ;0;0;0; ; ;0;0;0;1677;3521;Barranquilla;Cartagena;99;5
451446;2012;0;0;0;0;8;0;0;0;0;8;6883;13352;0;0;0;0;0;0;0; ; ;0;0;0; ; ;0;0;0; ; ;0;0;0;6883;13352;Barranquilla;Santa Marta;99;5
455513;2012;0;956;179000;0;450;0;0;0;0;450;93750;220594;0;0;0;0;0;0;0; ; ;0;0;0; ; ;0;0;0; ; ;0;0;0;93750;220594;Bogotá;Bogotá;99;5
9807403;2012;0;0;0;0;176;0;0;0;0;176;36726;86416;0;0;0;0;0;0;0; ; ;0;0;0; ; ;0;0;0; ; ;0;0;0;36726;86416;Bogotá;Bogotá;99;5
297730683;2012;0;0;1553;0;48;0;0;0;0;48;28407;39514;0;0;0;0;0;0;0; ; ;0;0;0; ; ;0;0;0; ; ;0;0;0;28407;39514;Cali;Cali;99;5
296886232;2012;0;10200;4000;16000;0;0;0;0;0;0;103165;165896;0;0;0;0;0;0;0; ; ;0;0;0; ; ;0;0;0; ; ;0;0;0;103165;165896;Bogotá;Bogotá;99;5
296886233;2012;0;0;8500;4000;350;0;0;0;0;350;0;0;0;0;0;0;0;441504;300;17/09/2011;17/09/2015;441504;1261440;50;17/09/2011;17/09/2015;36288;0;0; ; ;0;1702944;350;477792;0;Bogotá;Bogotá;99;5
296886234;2012;0;8000;0;4000;1200;0;0;0;0;1200;89529;160532;0;0;0;0;0;0;0; ; ;0;0;0; ; ;0;0;0; ; ;0;0;0;89529;160532;Bogotá;Bogotá;99;5
296886235;2012;0;0;15000;0;0;1113;0;0;0;1113;0;0;0;0;0;0;0;95000;1160;14/10/2011;14/10/2013;94608;334282;1113;17/12/2009;17/12/2014;33558;0;0; ; ;0;429282;2273;128166;0;Bogotá;Bogotá;99;5
