Nro_Orden_Establecimiento;Periodo;C3RHE3;C3RHE4;C4VERTIADAPT;C6GAA1f;C3RHD1PTRV;C3RHD2PPVP;C3RHD3PMSV;MULTAVERT;C3RHD4TGTV;C3RHB1TAR;C3RHB2a;C3RHB2b;C3RHB2c;C3RHB2d;C3RHB3a3A;C3RHB3b3A;C3RHB3c3A;C3RHB3d3A;C3RHB3eT3A;C3RHB3a3B;C3RHB3b3B;C3RHB3c3B;C3RHB3d3B;C3RHB3eT3B;C3RHB4VAL;Sede;Subsede;NOVEDAD;ESTADO
296886228;2012;0;0;0;0;716;0;0;0;716;NO; ; ; ; ;0;0;0;0;0;23039;0;0;0;23039;39200;Barranquilla;Cartagena;99;5
297826663;2012;0;1200;4920;0;312;0;0;0;312;SI;a; ; ; ;2330;0;0;0;2330;2330;0;0;0;2330;7096;Bogotá;Bogotá;99;5
297826985;2012;0;0;0;0;426;0;0;0;426;NO; ; ; ; ;0;0;0;0;0;7013;0;0;0;7013;10870;Bogotá;Bogotá;99;5
297826986;2012;0;600;200;0;527;0;0;0;527;SI;a; ; ; ;1800;0;0;0;1800;5444;0;0;0;5444;10886;Bogotá;Bogotá;99;5
297838044;2012;0;0;0;0;0;6138;0;0;6138;NO; ; ; ; ;0;0;0;0;0;8388;0;0;0;8388;12784;Bogotá;Tunja;99;5
409910;2012;0;1815;156;0;0;0;0;0;0;SI;a; ; ; ;0;6590;0;0;6590;0;0;0;0;0;0;Manizales;Ibagué;99;5
450883;2012;0;0;0;0;418;0;0;0;418;NO; ; ; ; ;0;0;0;0;0;6915;0;0;0;6915;16440;Bogotá;Bogotá;99;5
297839484;2012;0;7800;9254;0;899;0;0;0;899;SI;a; ; ; ;900;0;0;0;900;12742;0;0;0;12742;16568;Bogotá;Bogotá;99;5
299303284;2012;0;0;0;0;3622;0;0;0;3622;SI; ;b; ; ;45563;0;0;0;45563;0;0;0;0;0;68344;Bogotá;Bogotá;99;5
337133;2012;0;180;4180;0;483;0;0;0;483;SI;a; ; ; ;12;0;0;0;12;7190;0;0;0;7190;10442;Bogotá;Bogotá;99;5
75000;2012;0;3741;1000;0;5760;0;0;0;5760;SI; ;b; ; ;0;0;1048;0;1048;0;0;0;0;0;0;Barranquilla;Santa Marta;99;5
75007;2012;0;0;0;0;175;0;0;0;175;NO; ; ; ; ;0;0;0;0;0;2748;0;0;0;2748;3984;Bogotá;Bogotá;99;5
410376;2012;0;3741;1500;0;19;0;0;0;19;SI; ;b; ; ;0;0;1350;0;1350;0;0;0;0;0;0;Barranquilla;Santa Marta;99;5
296886229;2012;0;3741;1500;0;921;0;0;0;921;SI; ;b; ; ;0;0;9341;0;9341;0;0;0;0;0;0;Barranquilla;Santa Marta;99;5
296914023;2012;0;3741;500;0;0;0;0;0;0;SI; ;b; ; ;0;0;1020;0;1020;0;0;0;0;0;0;Barranquilla;Santa Marta;99;5
297718272;2012;0;0;0;0;925;0;0;0;925;NO; ; ; ; ;0;0;0;0;0;13052;0;0;0;13052;32097;Bogotá;Bogotá;99;5
297826922;2012;0;0;0;0;260;0;0;0;260;NO; ; ; ; ;0;0;0;0;0;4243;0;0;0;4243;6067;Bogotá;Bogotá;99;5
451251;2012;0;0;0;0;60;0;0;0;60;NO; ; ; ; ;0;0;0;0;0;1677;0;0;0;1677;2111;Barranquilla;Cartagena;99;5
451446;2012;0;720;4638;0;0;0;0;0;0;SI; ; ;c; ;0;0;6883;0;6883;0;0;0;0;0;0;Barranquilla;Santa Marta;99;5
455513;2012;0;7935;1;0;6200;0;0;0;6200;SI; ;b; ; ;43125;0;0;0;43125;50625;0;0;0;50625;145312;Bogotá;Bogotá;99;5
9807403;2012;0;0;0;0;2424;0;0;0;2424;NO; ; ; ; ;0;0;0;0;0;36726;0;0;0;36726;56925;Bogotá;Bogotá;99;5
297730683;2012;0;0;0;0;520;0;0;0;520;NO; ; ; ; ;0;0;0;0;0;28407;0;0;0;28407;31929;Cali;Cali;99;5
296886232;2012;16000;8000;5500;24000;0;0;0;0;0;SI; ; ;c; ;0;96962;0;0;96962;0;0;0;0;0;0;Bogotá;Bogotá;99;5
296886233;2012;13950;3000;1;0;0;0;0;0;0;SI; ; ; ;d;0;420153;0;0;420153;0;0;0;0;0;0;Bogotá;Bogotá;99;5
296886234;2012;5000;6000;1200;3000;0;1684;0;0;1684;SI; ; ;c; ;0;53718;0;0;53718;0;0;0;0;0;0;Bogotá;Bogotá;99;5
296886235;2012;0;0;0;0;0;0;0;0;0;NO; ; ; ; ;0;0;0;0;0;36929;89655;0;0;126584;20255;Bogotá;Bogotá;99;5
296886236;2012;0;0;0;0;0;0;0;0;0;NO; ; ; ; ;0;0;0;0;0;30832;72578;0;0;103410;16998;Bogotá;Bogotá;99;5
3834328;2012;0;0;0;0;651;0;0;0;651;NO; ; ; ; ;0;0;0;0;0;9725;0;0;0;9725;15074;Bogotá;Bogotá;99;5
297826903;2012;0;0;8500;0;978;0;0;0;978;SI;a; ; ; ;4100;0;0;0;4100;10720;0;0;0;10720;22971;Bogotá;Bogotá;99;5
451463;2012;0;0;0;0;256;0;0;0;256;NO; ; ; ; ;0;0;0;0;0;3800;0;0;0;3800;5801;Bogotá;Bogotá;99;5
451466;2012;0;0;0;0;422;0;0;0;422;NO; ; ; ; ;0;0;0;0;0;5935;0;0;0;5935;8902;Bogotá;Bogotá;99;5
297826734;2012;0;5226;7928;24452;2464;0;0;0;2464;SI;a; ; ; ;33830;0;0;0;33830;0;0;0;0;0;50745;Bogotá;Bogotá;99;5
297826735;2012;0;9775;0;0;5174;0;0;0;5174;SI;a; ; ; ;26746;0;0;0;26746;45851;0;0;0;45851;110425;Bogotá;Bogotá;99;5
452253;2012;0;4000;6000;0;156;0;0;0;156;SI; ; ;c; ;0;242663;0;0;242663;0;0;0;0;0;0;Bogotá;Bogotá;99;5
296886239;2012;14509;2851;14630;8328;24;0;0;0;24;SI; ;b; ; ;0;73501;0;0;73501;0;0;0;0;0;0;Manizales;Ibagué;99;5
452256;2012;0;317;1674;0;0;0;0;0;0;SI; ; ; ;d;7389;0;0;0;7389;10060;0;0;0;10060;0;Manizales;Ibagué;99;5
297826882;2012;0;0;0;0;184;0;0;0;184;NO; ; ; ; ;0;0;0;0;0;2580;0;0;0;2580;3929;Bogotá;Bogotá;99;5
297826889;2012;0;0;0;0;688;0;0;0;688;NO; ; ; ; ;0;0;0;0;0;11020;0;0;0;11020;15979;Bogotá;Bogotá;99;5
297826988;2012;0;450;100;200;350;0;0;0;350;SI;a; ; ; ;1000;0;0;0;1000;4225;0;0;0;4225;7576;Bogotá;Bogotá;99;5
457978;2012;0;0;0;0;53;0;0;0;53;NO; ; ; ; ;0;0;0;0;0;804;0;0;0;804;1206;Bogotá;Bogotá;99;5
457979;2012;0;0;0;0;0;0;0;0;0;NO; ; ; ; ;0;0;0;0;0;353;0;0;0;353;0;Bogotá;Bogotá;99;5
297718280;2012;0;0;0;0;45;0;0;0;45;NO; ; ; ; ;0;0;0;0;0;690;0;0;0;690;1001;Bogotá;Bogotá;99;5
451402;2012;0;0;0;0;18;0;0;0;18;NO; ; ; ; ;0;0;0;0;0;627;0;0;0;627;845;Bogotá;Bogotá;99;5
297826991;2012;0;0;0;0;190;0;0;0;190;NO; ; ; ; ;0;0;0;0;0;2824;0;0;0;2824;4226;Bogotá;Bogotá;99;5
9807346;2012;0;0;0;0;253;0;0;0;253;NO; ; ; ; ;0;0;0;0;0;3648;0;0;0;3648;5654;Bogotá;Bogotá;99;5
9807408;2012;0;0;0;0;2243;0;0;0;2243;NO; ; ; ; ;0;0;0;0;0;32752;0;0;0;32752;51337;Bogotá;Bogotá;99;5
297826672;2012;0;1046;2627;2197;348;0;0;0;348;SI;a; ; ; ;1125;0;0;0;1125;4000;0;0;0;4000;8882;Bogotá;Bogotá;99;5
297826767;2012;0;0;0;0;124;0;0;0;124;NO; ; ; ; ;0;0;0;0;0;1920;0;0;0;1920;2880;Bogotá;Bogotá;99;5
297838058;2012;0;0;0;0;256;0;0;0;256;NO; ; ; ; ;0;0;0;0;0;2375;0;0;0;2375;5574;Bogotá;Bogotá;99;5
297827017;2012;0;0;0;0;164;0;0;0;164;NO; ; ; ; ;0;0;0;0;0;2535;0;0;0;2535;3549;Bogotá;Bogotá;99;5
297826945;2012;0;0;0;0;310;0;0;0;310;NO; ; ; ; ;0;0;0;0;0;4698;0;0;0;4698;7141;Bogotá;Bogotá;99;5
297838050;2012;0;0;0;0;0;0;0;0;0;NO; ; ; ; ;0;0;0;0;0;120;0;0;0;120;3442;Bogotá;Leticia;99;5
299303287;2012;0;0;0;0;218;0;0;0;218;NO; ; ; ; ;0;0;0;0;0;3200;0;0;0;3200;4989;Bogotá;Bogotá;99;5
9815066;2012;0;0;0;0;106;0;0;0;106;NO; ; ; ; ;0;0;0;0;0;1611;0;0;0;1611;2416;Bogotá;Bogotá;99;5
10209451;2012;0;0;0;0;31;0;0;0;31;NO; ; ; ; ;0;0;0;0;0;481;0;0;0;481;721;Bogotá;Bogotá;99;5
297823688;2012;0;0;0;0;22;0;0;0;22;NO; ; ; ; ;0;0;0;0;0;528;0;0;0;528;791;Bogotá;Bogotá;99;5
297821685;2012;0;0;0;0;39;0;0;0;39;NO; ; ; ; ;0;0;0;0;0;579;0;0;0;579;760;Bogotá;Bogotá;99;5
450816;2012;0;0;0;0;289;0;0;0;289;NO; ; ; ; ;0;0;0;0;0;4411;0;0;0;4411;6575;Bogotá;Bogotá;99;5
74977;2012;0;0;0;0;133;0;0;0;133;NO; ; ; ; ;0;0;0;0;0;1950;0;0;0;1950;2827;Bogotá;Bogotá;99;5
407032;2012;0;0;0;0;220;0;0;0;220;NO; ; ; ; ;0;0;0;0;0;3243;0;0;0;3243;4864;Bogotá;Bogotá;99;5
297827928;2012;0;0;0;0;35;0;0;0;35;NO; ; ; ; ;0;0;0;0;0;518;0;0;0;518;725;Bogotá;Bogotá;99;5
297824160;2012;0;0;0;0;162;0;0;0;162;NO; ; ; ; ;0;0;0;0;0;2232;0;0;0;2232;3301;Bogotá;Bogotá;99;5
297834339;2012;0;0;0;0;8;0;0;0;8;NO; ; ; ; ;0;0;0;0;0;120;0;0;0;120;186;Bogotá;Bogotá;99;5
297822959;2012;0;0;0;0;8;0;0;0;8;NO; ; ; ; ;0;0;0;0;0;186;0;0;0;186;287;Bogotá;Bogotá;99;5
297822527;2012;0;0;0;0;104;0;0;0;104;NO; ; ; ; ;0;0;0;0;0;1559;0;0;0;1559;2260;Bogotá;Bogotá;99;5
297826739;2012;0;0;0;0;380;0;0;0;380;NO; ; ; ; ;0;0;0;0;0;5742;0;0;0;5742;8613;Bogotá;Bogotá;99;5
297823552;2012;0;0;0;0;69;0;0;0;69;NO; ; ; ; ;0;0;0;0;0;1512;0;0;0;1512;2357;Bogotá;Bogotá;99;5
297822516;2012;0;0;0;0;83;0;0;0;83;NO; ; ; ; ;0;0;0;0;0;1260;0;0;0;1260;1900;Bogotá;Bogotá;99;5
449312;2012;0;0;0;0;21;0;0;0;21;NO; ; ; ; ;0;0;0;0;0;320;0;0;0;320;480;Bogotá;Bogotá;99;5
297825166;2012;0;0;0;0;10;0;0;0;10;NO; ; ; ; ;0;0;0;0;0;163;0;0;0;163;254;Bogotá;Bogotá;99;5
297820854;2012;0;0;0;0;20;0;0;0;20;NO; ; ; ; ;0;0;0;0;0;300;0;0;0;300;457;Bogotá;Bogotá;99;5
297823234;2012;0;0;0;0;16;0;0;0;16;NO; ; ; ; ;0;0;0;0;0;241;0;0;0;241;371;Bogotá;Bogotá;99;5
297826977;2012;0;0;0;0;217;0;0;0;217;NO; ; ; ; ;0;0;0;0;0;3080;0;0;0;3080;4980;Bogotá;Bogotá;99;5
9807394;2012;0;0;0;0;182;0;0;0;182;NO; ; ; ; ;0;0;0;0;0;2761;0;0;0;2761;4141;Bogotá;Bogotá;99;5
297826749;2012;0;0;0;0;72;0;0;0;72;NO; ; ; ; ;0;0;0;0;0;1375;0;0;0;1375;2144;Bogotá;Bogotá;99;5
297823613;2012;0;0;0;0;51;0;0;0;51;NO; ; ; ; ;0;0;0;0;0;774;0;0;0;774;1200;Bogotá;Bogotá;99;5
297827058;2012;0;0;0;0;5;0;0;0;5;NO; ; ; ; ;0;0;0;0;0;80;0;0;0;80;120;Bogotá;Bogotá;99;5
297823853;2012;0;0;0;0;48;0;0;0;48;NO; ; ; ; ;0;0;0;0;0;660;0;0;0;660;989;Bogotá;Bogotá;99;5
297824060;2012;0;0;0;0;48;0;0;0;48;NO; ; ; ; ;0;0;0;0;0;660;0;0;0;660;988;Bogotá;Bogotá;99;5
297824123;2012;0;0;0;0;58;0;0;0;58;NO; ; ; ; ;0;0;0;0;0;833;0;0;0;833;1274;Bogotá;Bogotá;99;5
297823455;2012;0;0;0;0;8;0;0;0;8;NO; ; ; ; ;0;0;0;0;0;208;0;0;0;208;570;Bogotá;Bogotá;99;5
297823642;2012;0;0;0;0;18;0;0;0;18;NO; ; ; ; ;0;0;0;0;0;385;0;0;0;385;600;Bogotá;Bogotá;99;5
297818827;2012;0;0;0;0;31;0;0;0;31;NO; ; ; ; ;0;0;0;0;0;455;0;0;0;455;668;Bogotá;Bogotá;99;5
297823431;2012;0;0;0;0;16;0;0;0;16;NO; ; ; ; ;0;0;0;0;0;257;0;0;0;257;372;Bogotá;Bogotá;99;5
297839499;2012;0;0;0;0;222;0;0;0;222;NO; ; ; ; ;0;0;0;0;0;3364;0;0;0;3364;5046;Bogotá;Bogotá;99;5
297823062;2012;0;0;0;0;64;0;0;0;64;NO; ; ; ; ;0;0;0;0;0;977;0;0;0;977;1463;Bogotá;Bogotá;99;5
297827337;2012;0;0;0;0;87;0;0;0;87;NO; ; ; ; ;0;0;0;0;0;1310;0;0;0;1310;1965;Bogotá;Bogotá;99;5
413402;2012;0;0;0;0;28;0;0;0;28;NO; ; ; ; ;0;0;0;0;0;411;0;0;0;411;641;Bogotá;Bogotá;99;5
297822677;2012;0;0;0;0;14;0;0;0;14;NO; ; ; ; ;0;0;0;0;0;225;0;0;0;225;342;Bogotá;Bogotá;99;5
297826662;2012;0;0;0;0;750;0;0;0;750;NO; ; ; ; ;0;0;0;0;0;11857;0;0;0;11857;17785;Bogotá;Bogotá;99;5
297822990;2012;3000;1500;2000;0;41;0;0;0;41;SI;a; ; ; ;125;0;0;0;125;506;0;0;0;506;978;Bogotá;Bogotá;99;5
450886;2012;0;0;0;0;39;0;0;0;39;NO; ; ; ; ;0;0;0;0;0;612;0;0;0;612;1196;Bogotá;Bogotá;99;5
297823265;2012;0;0;0;0;27;0;0;0;27;NO; ; ; ; ;0;0;0;0;0;405;0;0;0;405;628;Bogotá;Bogotá;99;5
297839769;2012;0;0;0;0;31;0;0;0;31;NO; ; ; ; ;0;0;0;0;0;696;0;0;0;696;1698;Bogotá;Bogotá;99;5
297823601;2012;0;0;0;0;119;0;0;0;119;NO; ; ; ; ;0;0;0;0;0;1809;0;0;0;1809;2773;Bogotá;Bogotá;99;5
297821402;2012;0;0;0;0;38;0;0;0;38;NO; ; ; ; ;0;0;0;0;0;528;0;0;0;528;713;Bogotá;Bogotá;99;5
10207645;2012;0;0;0;0;330;0;0;0;330;NO; ; ; ; ;0;0;0;0;0;4850;0;0;0;4850;7275;Bogotá;Bogotá;99;5
297823258;2012;0;0;0;0;5;0;0;0;5;NO; ; ; ; ;0;0;0;0;0;85;0;0;0;85;150;Bogotá;Bogotá;99;5
297819921;2012;0;0;0;0;12;0;0;0;12;NO; ; ; ; ;0;0;0;0;0;190;0;0;0;190;290;Bogotá;Bogotá;99;5
408533;2012;0;1500;2660;0;174;0;0;0;174;SI; ;b; ; ;561;0;0;0;561;2000;0;0;0;2000;3992;Bogotá;Bogotá;99;5
450869;2012;0;0;0;0;100;0;0;0;100;NO; ; ; ; ;0;0;0;0;0;1487;0;0;0;1487;2305;Bogotá;Bogotá;99;5
297826835;2012;0;0;550;0;263;0;0;0;263;NO; ; ; ; ;0;0;0;0;0;3864;0;0;0;3864;5700;Bogotá;Bogotá;99;5
165923;2012;0;0;0;0;38;0;0;0;38;NO; ; ; ; ;0;0;0;0;0;581;0;0;0;581;906;Bogotá;Bogotá;99;5
297826497;2012;0;0;0;0;100;0;0;0;100;NO; ; ; ; ;0;0;0;0;0;1569;0;0;0;1569;2432;Bogotá;Bogotá;99;5
297820374;2012;0;0;0;0;8;0;0;0;8;NO; ; ; ; ;0;0;0;0;0;110;0;0;0;110;211;Bogotá;Bogotá;99;5
297819999;2012;0;0;0;0;40;0;0;0;40;NO; ; ; ; ;0;0;0;0;0;612;0;0;0;612;949;Bogotá;Bogotá;99;5
297823669;2012;0;0;0;0;11;0;0;0;11;NO; ; ; ; ;0;0;0;0;0;0;174;0;0;174;0;Bogotá;Bogotá;99;5
10207689;2012;0;0;0;0;30;0;0;0;30;NO; ; ; ; ;0;0;0;0;0;468;0;0;0;468;725;Bogotá;Bogotá;99;5
297834076;2012;0;0;0;0;40;0;0;0;40;NO; ; ; ; ;0;0;0;0;0;594;0;0;0;594;921;Bogotá;Bogotá;99;5
441267;2012;0;0;0;0;222;0;0;0;222;NO; ; ; ; ;0;0;0;0;0;3430;0;0;0;3430;5316;Bogotá;Bogotá;99;5
441565;2012;0;0;0;0;35;0;0;0;35;NO; ; ; ; ;0;0;0;0;0;552;0;0;0;552;801;Bogotá;Bogotá;99;5
441566;2012;0;0;0;0;17;0;0;0;17;NO; ; ; ; ;0;0;0;0;0;270;0;0;0;270;391;Bogotá;Bogotá;99;5
441567;2012;0;0;0;0;59;0;0;0;59;NO; ; ; ; ;0;0;0;0;0;917;0;0;0;917;1317;Bogotá;Bogotá;99;5
441568;2012;0;0;0;0;30;0;0;0;30;NO; ; ; ; ;0;0;0;0;0;504;0;0;0;504;756;Bogotá;Bogotá;99;5
441569;2012;0;0;0;0;30;0;0;0;30;NO; ; ; ; ;0;0;0;0;0;678;0;0;0;678;958;Bogotá;Bogotá;99;5
441570;2012;0;0;0;0;60;0;0;0;60;NO; ; ; ; ;0;0;0;0;0;905;0;0;0;905;1312;Bogotá;Bogotá;99;5
450863;2012;0;0;0;0;113;0;0;0;113;NO; ; ; ; ;0;0;0;0;0;1717;0;0;0;1717;2346;Bogotá;Bogotá;99;5
297823534;2012;0;0;0;0;20;0;0;0;20;NO; ; ; ; ;0;0;0;0;0;405;0;0;0;405;632;Bogotá;Bogotá;99;5
299303246;2012;0;0;0;0;49;0;0;0;49;NO; ; ; ; ;0;0;0;0;0;740;0;0;0;740;1110;Bogotá;Bogotá;99;5
297824086;2012;0;0;0;0;95;0;0;0;95;NO; ; ; ; ;0;0;0;0;0;1413;0;0;0;1413;2157;Bogotá;Bogotá;99;5
447079;2012;0;0;0;0;170;0;0;0;170;NO; ; ; ; ;0;0;0;0;0;2577;0;0;0;2577;3968;Bogotá;Bogotá;99;5
297826870;2012;0;4200;4200;0;2946;0;0;0;2946;SI;a; ; ; ;13189;0;0;0;13189;30776;0;0;0;30776;66827;Bogotá;Bogotá;99;5
297826640;2012;0;0;0;0;159;0;0;0;159;NO; ; ; ; ;0;0;0;0;0;2342;0;0;0;2342;2985;Bogotá;Bogotá;99;5
297826980;2012;0;0;0;0;615;0;0;0;615;NO; ; ; ; ;0;0;0;0;0;8030;0;0;0;8030;11643;Bogotá;Bogotá;99;5
299304555;2012;0;0;0;0;118;0;0;0;118;NO; ; ; ; ;0;0;0;0;0;1739;0;0;0;1739;2695;Bogotá;Bogotá;99;5
