Nro_Orden_Establecimiento;Periodo;C4RGC2;C4RGC4;C4RGC5;MANTRSCON;C4RGC6;CVPROGRSCONV;CVPROGRESPEL;TOTARSOL;C4RGACL;C4RGA1aRO;C4RGA1cRO;RSORGRECICLA;C4RGA1bRO;C4RGA1dRO;RSORGVENTA;C4RGA1eRO;C4RGA2aPC;C4RGA2cPC;RSPAPELRECICLA;C4RGA2bPC;C4RGA2dPC;RSPAPELVENTA;C4RGA2ePC;C4RGA3aP;C4RGA3cP;RSPLASTRECICLA;C4RGA3bP;C4RGA3dP;RSPLASTVENTA;C4RGA3eP;C4RGA4aV;C4RGA4cV;RSVIDRIORECICLA;C4RGA4bV;C4RGA4dV;RSVIDRIOVENTA;C4RGA4eV;C4RGA5aMT;C4RGA5cMT;RSMETALRECICLA;C4RGA5bMT;C4RGA5dMT;RSMETALVENTA;C4RGA5eMT;C4RGA6aT;C4RGA6cT;RSTEXTILRECICLA;C4RGA6bT;C4RGA6dT;RSTEXTILVENTA;C4RGA6eT;C4RGA7aNMT;C4RGA7cNMT;RSNOMETALRECICLA;C4RGA7bNMT;C4RGA7dNMT;RSNOMETALVENTA;C4RGA7eNMT;RSMIXQ;RSMIXREUQ;RSMIXRECICLAQ;RSMIXDONAQ;RSMIXENTREGQ;RSMIXVENTAQ;RSMIXVENTAI;C4RGA8a;C4RGA8c;RSRECICLAT;C4RGA8b;C4RGA8d;RSVENTAT;C4RGA8e;C4RGA9VCRR;C4RGA10e;C4RGA10a;C4RGA10b;C4RGA10c;C4RGA10d;C4RGB1a;C4RGB1c;C4RGB1d;C4RGB1e;C4RGB1f;C4RGB3a;C4RGB3c;C4RGB3d;C4RGB3e;C4RGB3f;C4RGB4a;C4RGB4c;C4RGB4d;C4RGB4e;C4RGB4f;C4RGB5a;C4RGB5c;C4RGB5d;C4RGB5e;C4RGB5f;C4RGB6a;C4RGB6c;C4RGB6d;C4RGB6e;C4RGB6f;C4RGB7a;C4RGB7c;C4RGB7d;C4RGB7e;C4RGB7f;C4RGB8a;C4RGB8c;C4RGB8d;C4RGB8e;C4RGB8f;C4RGB9a;C4RGB9c;C4RGB9d;C4RGB9e;C4RGB9f;C4RGB10a;C4RGB10c;C4RGB10d;C4RGB10e;C4RGB10f;C4RGB11a;C4RGB11c;C4RGB11d;C4RGB11e;C4RGB11f;Otro_Respel_01;C4RGB12a;C4RGB12c;C4RGB12d;C4RGB12e;C4RGB12f;Otro_Respel_02;V13a;V13c;V13d;V13e;V13f;Otro_Respel_03;V14a;V14c;V14d;V14e;V14f;C4RGB13Ta;TOTALMA;TOTALAPROVE;TOTALTRAT;TOTALINCI;C4RGB2TOT;Sede;CODSUBSEDE;Subsede;NOVEDAD;ESTADO
297730516;2014;1175;0;560;2875;166;0;0;4776;SI;6225;0;0;0;6225;0;0;216;0;0;216;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5400;0;0;0;5400;0;0;11841;0;0;216;11625;0;0;5728;X; ; ; ; ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;0;0;0;0;0;0;Bogotá;2;Bogotá;99;5
297837484;2014;0;0;0;0;0;0;0;0;NO;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;1;1;0;0;0;0;0;0;X; ; ; ; ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;0;0;0;0;0;0;Bogotá;2;Bogotá;99;5
298405690;2014;0;0;0;0;978;1000;0;1978;NO;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10000;0;0;0;10000;0;0;10000;0;0;0;10000;0;0;495;X; ; ; ; ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;0;0;0;0;0;0;Bogotá;2;Bogotá;99;5
299303362;2014;0;0;0;35;2880;0;0;2915;SI;1456;0;0;0;1456;0;0;10;0;0;0;10;0;0;50;0;0;0;50;0;0;30;0;0;0;30;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1040;0;0;0;1040;0;0;2586;0;0;0;2586;0;0;378;X; ; ; ; ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;0;0;0;0;0;0;Bogotá;2;Bogotá;99;5
296886227;2014;0;0;0;0;6755;0;0;6755;SI;6720;0;0;6720;0;0;0;320;0;0;0;320;0;0;480;0;0;0;480;0;0;255;0;0;0;255;0;0;79;0;0;0;79;0;0;300;15;0;0;285;0;0;0;0;0;0;0;0;0;5602;0;0;0;5602;0;0;13756;15;0;6720;7021;0;0;13465;X; ; ; ; ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;0;0;0;0;0;0;Bogotá;2;Bogotá;99;5
297718270;2014;1600;0;0;2800;1560;0;0;5960;SI;0;0;0;0;0;0;0;7850;0;0;0;7850;0;0;0;0;0;0;0;0;0;19450;0;0;0;19450;0;0;0;0;0;0;0;0;0;3780;189;0;3591;0;0;0;29650;0;0;0;29650;0;0;5450;0;0;0;5450;0;0;66180;189;0;3591;62400;0;0;25335;X; ; ; ; ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;0;0;0;0;0;0;Bogotá;2;Bogotá;99;5
452147;2014;0;0;0;0;2119;0;0;2119;SI;13140;0;0;0;13140;0;0;280;0;280;0;0;0;0;60;0;60;0;0;0;0;2304;0;2304;0;0;0;0;40;0;40;0;0;0;0;10;2;0;8;0;0;0;100;0;0;0;100;0;0;4;0;0;0;4;0;0;15938;2;2684;8;13244;0;0;407;X; ; ; ; ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;0;0;0;0;0;0;Bucaramanga;3;Bucaramanga;99;5
296886218;2014;0;0;0;0;1942;0;0;1942;SI;12560;0;0;0;12560;0;0;1120;0;1120;0;0;0;0;240;0;240;0;0;0;0;9216;0;9216;0;0;0;0;160;0;160;0;0;0;0;40;10;0;30;0;0;0;400;0;0;0;400;0;0;16;0;0;0;16;0;0;23752;10;10736;30;12976;0;0;8585;X; ; ; ; ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;0;0;0;0;0;0;Bucaramanga;3;Bucaramanga;99;5
297839501;2014;0;0;0;0;13530;0;1046;14576;SI;129540;0;0;0;32540;97000;455;1400;0;0;0;100;1300;200;3150;0;0;0;500;2650;525;4100;0;4100;0;0;0;0;400;0;0;0;0;400;115;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;138590;0;4100;0;33140;101350;1295;6977; ; ;X; ; ;0;0;0;0;0;50;50;0;0;0;0;0;0;0;0;0;0;0;0;0;60;60;0;0;0;0;0;0;0;0;180;180;0;0;0;0;0;0;0;0;0;0;0;0;0;80;80;0;0;0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;370;370;0;0;0;1046;Bogotá;2;Bogotá;99;5
382102;2014;600;0;0;0;7240;0;0;7840;SI;10200;0;0;0;10200;0;0;3660;0;0;0;0;3660;732000;108;0;0;0;0;108;54000;1065;0;0;0;0;1065;52800;1008;0;0;0;0;1008;302400;578;0;0;578;0;0;0;0;0;0;0;0;0;0;9652;0;0;0;9652;0;0;26271;0;0;578;19852;5841;1141200;18340;X; ; ; ; ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;0;0;0;0;0;0;Bucaramanga;3;Bucaramanga;99;5
297826761;2014;361;380;0;0;3931;0;0;4672;SI;30480;0;0;0;30480;0;0;0;0;0;0;0;0;0;415;0;0;0;415;0;0;300;0;0;0;300;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2712;0;0;0;2712;0;0;33907;0;0;0;33907;0;0;1354;X; ; ; ; ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;0;0;0;0;0;0;Bucaramanga;3;Bucaramanga;99;5
296914019;2014;0;0;0;0;3881;0;0;3881;SI;6600;0;0;0;6600;0;0;2100;0;0;300;1800;0;0;170;0;0;0;170;0;0;60;0;0;0;60;0;0;0;0;0;0;0;0;0;80;0;10;0;70;0;0;300;0;0;300;0;0;0;300;0;0;0;300;0;0;9610;0;10;600;9000;0;0;4743;X; ; ; ; ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;0;0;0;0;0;0;Bucaramanga;3;Bucaramanga;99;5
297826917;2014;0;1000;0;800;12625;500;0;14925;SI;24000;0;0;0;24000;0;0;4080;0;0;0;0;4080;408;1440;0;0;0;0;1440;144;2400;0;0;0;0;2400;120;120;0;0;0;0;120;10;0;0;0;0;0;0;0;400;0;0;400;0;0;0;27600;0;0;0;27600;0;0;60040;0;0;400;51600;8040;682;7157;X; ; ; ; ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;0;0;0;0;0;0;Bucaramanga;3;Bucaramanga;99;5
297826729;2014;4000;0;0;0;500;0;0;4500;SI;480;0;0;0;480;0;0;600;0;0;0;600;0;0;1440;0;0;0;1440;0;0;300;0;0;0;300;0;0;1300;0;0;0;1300;0;0;400;0;0;400;0;0;0;0;0;0;0;0;0;0;6000;0;0;0;6000;0;0;10520;0;0;400;10120;0;0;2852;X; ; ; ; ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;0;0;0;0;0;0;Bucaramanga;3;Bucaramanga;99;5
297826888;2014;0;0;0;0;5651;0;0;5651;SI;0;0;0;0;0;0;0;1278;0;0;0;0;1278;129;784;0;0;0;0;784;133;1457;0;0;0;0;1457;73;690;0;0;0;0;690;167;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4209;0;0;0;0;4209;502;14020;X; ; ; ; ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;0;0;0;0;0;0;Bucaramanga;3;Bucaramanga;99;5
297826958;2014;0;700;0;0;1300;0;0;2000;SI;12000;0;0;0;12000;0;0;240;0;0;0;240;0;0;240;0;0;0;240;0;0;50;0;0;0;50;0;0;150;0;0;0;150;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1080;0;0;0;1080;0;0;13760;0;0;0;13760;0;0;1450;X; ; ; ; ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;0;0;0;0;0;0;Bucaramanga;3;Bucaramanga;99;5
452268;2014;0;0;0;0;6539;0;0;6539;SI;0;0;0;0;0;0;0;78;0;0;0;0;78;55;272;0;0;0;0;272;1500;116;0;0;0;0;116;80;310;0;0;0;0;310;450;0;0;0;0;0;0;0;0;0;0;0;0;0;0;55583;0;0;0;55583;0;0;56359;0;0;0;55583;776;2085;6188;X; ; ; ; ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;0;0;0;0;0;0;Bucaramanga;3;Bucaramanga;99;5
452269;2014;0;0;0;0;6781;0;1355;8136;SI;34880;0;2093;0;32787;0;0;239;0;0;0;0;239;24;956;0;0;0;0;956;1913;359;0;0;0;0;359;293;837;0;0;0;0;837;71;0;0;0;0;0;0;0;0;0;0;0;0;0;0;43599;0;0;0;43599;0;0;80870;0;2093;0;76386;2391;2301;3511;X; ; ; ; ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;0;0;0;0;0;0;Bucaramanga;3;Bucaramanga;99;5
407128;2014;0;0;0;0;510;0;0;510;NO;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7160;300;0;0;6860;0;0;7160;300;0;0;6860;0;0;5019;X; ; ; ; ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;0;0;0;0;0;0;Bucaramanga;3;Bucaramanga;99;5
