Nro_Orden_Establecimiento;Periodo;C5REA1;C5REA2;C5REA3;C5REA4;C5REA9;C5REA5;C5REA6;C5REA7;C5REA8;C5REA10;C6GAA2e;C6GAA1b;TORAENER;C5REB1a;C5REB1b;C5REB2a;C5REB2b;C5REB3a;C5REB3b;C5REB16a;C5REB16b;C5REB4a;C5REB4b;C5REB5a;C5REB5b;C5REB6a;C5REB6b;C5REB7a;C5REB7b;C5REB8a;C5REB8b;C5REB9a;C5REB9b;C5REB10a;C5REB10b;C5REB11a;C5REB12a;C5REB13a;C5REB14a;C5REB15a;C5REB15b;C5REB17a;C5REB17b;CONBIOGAS;C5REB18b;CODSEDE;Sede;CODSUBSEDE;Subsede;NOVEDAD;ESTADO
442290;2014;0;0;0;200;0;0;0;0;0;0;0;0;200;95637;46645;0;0;1800;2103;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;48748;1;Barranquilla;22;San Andrés;99;5
125800;2014;0;0;0;1900;0;0;0;0;0;0;0;0;1900;135440;46609;5707;4660;0;0;0;0;330;2739;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7920;0;0;0;0;0;54008;1;Barranquilla;1;Barranquilla;99;5
297826960;2014;0;0;0;1000;10000;0;0;0;0;0;0;0;11000;98308;36865;54846;55829;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;92694;2;Bogotá;2;Bogotá;99;5
297821378;2014;0;0;0;2500;4000;0;0;0;0;15000;0;500;22000;125871;60000;1048;1800;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;61800;2;Bogotá;18;Villavicencio;99;5
444265;2014;0;0;0;1720;0;0;0;0;0;0;0;0;1720;89620;35318;0;0;8640;18000;0;0;7200;39600;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;92918;3;Bucaramanga;10;Cúcuta;99;5
297822798;2014;0;0;0;0;0;0;0;0;0;0;0;0;0;82794;34916;16832;14716;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;49632;6;Medellín;6;Medellín;99;5
297826670;2014;0;0;0;0;0;0;0;0;0;0;0;0;0;1958717;551308;77342;62647;0;0;0;0;400;3200;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7040;0;0;0;0;0;617155;1;Barranquilla;1;Barranquilla;99;5
297826831;2014;0;0;0;0;0;0;0;0;0;25841;0;0;25841;1072550;327621;42897;39734;0;0;0;0;94;828;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;368183;1;Barranquilla;1;Barranquilla;99;5
297826723;2014;0;0;0;0;0;0;0;0;0;0;0;0;0;2925141;949969;136446;123196;0;0;0;0;500;4300;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1077465;1;Barranquilla;1;Barranquilla;99;5
441900;2014;0;0;0;2500;0;0;0;0;0;0;0;0;2500;0;0;0;0;5930;6422;0;0;41972;348368;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;354790;1;Barranquilla;9;Cartagena;99;5
297838192;2014;0;0;0;0;53450;0;0;0;0;139981;0;0;193431;839735;253611;14534;14243;0;0;704;6000;645;5433;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;279287;1;Barranquilla;1;Barranquilla;99;5
297826718;2014;0;0;0;0;40718;0;20560;0;0;0;0;0;61278;2820727;808088;89874;73814;0;0;0;0;600;5106;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;887008;1;Barranquilla;1;Barranquilla;99;5
297826953;2014;0;0;0;154;0;0;0;0;0;6136;0;0;6290;692671;208036;13395;13663;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;221699;1;Barranquilla;1;Barranquilla;99;5
297826792;2014;0;0;0;142;0;0;0;0;0;350;0;0;492;903533;270639;18114;22718;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;293357;1;Barranquilla;1;Barranquilla;99;5
297826898;2014;0;0;0;0;0;0;0;0;0;0;0;0;0;1468245;574246;260132;230459;0;0;0;0;200;1702;0;0;0;0;0;0;0;0;3500;3795;0;0;0;0;0;1525;0;0;0;0;0;810202;1;Barranquilla;1;Barranquilla;99;5
296886290;2014;0;0;0;1614;0;0;0;0;0;0;0;0;1614;454720;121328;23606;21363;0;0;0;0;510;3825;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;146516;1;Barranquilla;9;Cartagena;99;5
9816110;2014;0;0;0;0;13000;0;0;0;0;15000;0;0;28000;510070;161182;33006;26735;0;0;0;0;500;3900;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;191817;1;Barranquilla;1;Barranquilla;99;5
9815988;2014;0;0;0;0;0;0;0;0;0;0;0;0;0;133130;25934;2058;1876;0;0;0;0;12;90;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;27900;1;Barranquilla;1;Barranquilla;99;5
297826722;2014;0;0;0;4000;3380;1460;0;0;0;2849;0;0;11689;274988;87451;8569;7116;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;94567;1;Barranquilla;1;Barranquilla;99;5
297827969;2014;0;0;0;1094;0;0;0;0;0;2711;0;0;3805;188100;53246;4616;4168;0;0;0;0;50;418;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;57832;1;Barranquilla;1;Barranquilla;99;5
297819041;2014;0;100;0;1500;16000;0;100;0;0;0;0;0;17700;1475162;447132;51260;42354;0;0;0;0;400;3580;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;493066;1;Barranquilla;1;Barranquilla;99;5
452218;2014;0;0;0;5047;0;0;0;0;0;7319;0;0;12366;557189;178300;69398;68705;0;0;0;0;1133;9063;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;256068;1;Barranquilla;1;Barranquilla;99;5
441772;2014;0;0;0;0;0;0;0;0;0;0;0;0;0;378720;129526;13544;12421;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;141947;1;Barranquilla;1;Barranquilla;99;5
441802;2014;0;0;0;0;0;0;0;0;0;0;0;0;0;674472;317001;26208;22224;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;339225;1;Barranquilla;1;Barranquilla;99;5
408986;2014;0;0;0;972;0;0;0;0;0;0;0;0;972;403871;88713;6473;5312;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;94025;1;Barranquilla;1;Barranquilla;99;5
441854;2014;0;0;0;2000;0;2700;0;0;0;5000;0;200;9900;275128;107584;4377;8317;0;0;2065;16933;1122;9557;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;26928;0;0;0;0;0;142391;1;Barranquilla;1;Barranquilla;99;5
10101150;2014;0;0;0;446;0;0;0;0;0;0;0;0;446;58698;20544;7105;9443;0;0;0;0;5;35;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;30022;1;Barranquilla;1;Barranquilla;99;5
