Nro_Orden_Establecimiento;Periodo;NUMHAB;NUMCAMA;IHPN;IHPT;CODSEDE;Sede;CODSUBSEDE;Subsede;NOVEDAD;ESTADO
297826734;2014;192;251;84879;56739;2;Bogotá;2;Bogotá;99;5
297826735;2014;282;608;108372;71477;2;Bogotá;2;Bogotá;99;5
452253;2014;169;473;103032;49237;2;Bogotá;2;Bogotá;99;5
296886239;2014;142;590;112691;86583;5;Manizales;11;Ibagué;99;5
452256;2014;63;176;29302;20784;2;Bogotá;2;Bogotá;99;5
297826882;2014;36;72;7869;4804;2;Bogotá;2;Bogotá;99;5
297826889;2014;147;288;44669;13282;2;Bogotá;2;Bogotá;99;5
297826988;2014;82;129;15875;13011;2;Bogotá;2;Bogotá;99;5
457978;2014;50;122;3981;3631;2;Bogotá;2;Bogotá;99;5
297718280;2014;50;125;6396;4737;2;Bogotá;2;Bogotá;99;5
451402;2014;12;25;5508;5109;2;Bogotá;2;Bogotá;99;5
297826991;2014;39;58;8431;4428;2;Bogotá;2;Bogotá;99;5
9807346;2014;41;45;9980;9759;2;Bogotá;2;Bogotá;99;5
9807408;2014;137;287;57443;7102;2;Bogotá;2;Bogotá;99;5
297826672;2014;54;102;18157;7878;2;Bogotá;2;Bogotá;99;5
297838058;2014;47;65;10550;10007;2;Bogotá;2;Bogotá;99;5
297827017;2014;24;48;8490;5171;2;Bogotá;2;Bogotá;99;5
297826791;2014;26;52;12050;7876;2;Bogotá;2;Bogotá;99;5
297826945;2014;52;107;20998;12084;2;Bogotá;2;Bogotá;99;5
297838050;2014;50;127;26595;4264;2;Bogotá;91;Leticia;99;5
299303287;2014;72;83;17659;17659;2;Bogotá;2;Bogotá;99;5
9815066;2014;27;60;9334;5514;2;Bogotá;2;Bogotá;99;5
450816;2014;53;58;12117;3425;2;Bogotá;2;Bogotá;99;5
74977;2014;13;26;5638;4063;2;Bogotá;2;Bogotá;99;5
407032;2014;30;30;6968;2620;2;Bogotá;2;Bogotá;99;5
297826739;2014;64;68;15404;11320;2;Bogotá;2;Bogotá;99;5
297823552;2014;25;34;4098;3725;2;Bogotá;2;Bogotá;99;5
297826977;2014;46;63;12508;10152;2;Bogotá;2;Bogotá;99;5
9807394;2014;33;78;5537;4614;2;Bogotá;2;Bogotá;99;5
297826749;2014;59;59;15591;15539;2;Bogotá;2;Bogotá;99;5
297839499;2014;25;50;12775;6928;2;Bogotá;2;Bogotá;99;5
297827337;2014;95;204;17708;8175;2;Bogotá;2;Bogotá;99;5
297826662;2014;327;727;108011;75296;2;Bogotá;2;Bogotá;99;5
408533;2014;34;68;13980;9560;2;Bogotá;2;Bogotá;99;5
450869;2014;54;65;10776;8196;2;Bogotá;2;Bogotá;99;5
297826835;2014;52;120;14621;6434;2;Bogotá;2;Bogotá;99;5
441267;2014;75;174;13059;5467;2;Bogotá;2;Bogotá;99;5
447079;2014;50;100;19067;13245;2;Bogotá;2;Bogotá;99;5
297826870;2014;239;311;80531;70788;2;Bogotá;2;Bogotá;99;5
297826640;2014;40;48;10631;10155;2;Bogotá;2;Bogotá;99;5
297826980;2014;56;144;30408;14019;2;Bogotá;2;Bogotá;99;5
299304555;2014;18;42;5079;4601;2;Bogotá;2;Bogotá;99;5
297826975;2014;76;92;24279;23891;2;Bogotá;2;Bogotá;99;5
297839506;2014;38;75;9840;7028;2;Bogotá;2;Bogotá;99;5
9807441;2014;42;107;4566;3129;2;Bogotá;2;Bogotá;99;5
9807448;2014;41;113;21249;13999;2;Bogotá;2;Bogotá;99;5
441825;2014;69;150;17775;14684;1;Barranquilla;16;Santa Marta;99;5
9795548;2014;24;96;4448;3364;2;Bogotá;18;Villavicencio;99;5
297826990;2014;60;82;17591;11944;2;Bogotá;2;Bogotá;99;5
297826738;2014;264;359;89804;76545;2;Bogotá;2;Bogotá;99;5
297839497;2014;216;454;91861;76360;2;Bogotá;2;Bogotá;99;5
297826642;2014;199;287;57125;51112;2;Bogotá;2;Bogotá;99;5
297718322;2014;60;66;13325;4592;2;Bogotá;2;Bogotá;99;5
9815979;2014;47;122;9622;5810;1;Barranquilla;16;Santa Marta;99;5
299303285;2014;78;189;1402;500;2;Bogotá;2;Bogotá;99;5
448987;2014;126;206;43511;31231;2;Bogotá;2;Bogotá;99;5
297730503;2014;24;48;2551;1530;1;Barranquilla;16;Santa Marta;99;5
297718312;2014;137;190;46423;34405;2;Bogotá;2;Bogotá;99;5
297718302;2014;245;293;75818;75515;2;Bogotá;2;Bogotá;99;5
297822448;2014;54;66;9741;9637;2;Bogotá;2;Bogotá;99;5
297839505;2014;191;231;57368;56524;2;Bogotá;2;Bogotá;99;5
297821308;2014;138;368;87082;33899;2;Bogotá;2;Bogotá;99;5
297718360;2014;55;62;15204;10090;2;Bogotá;2;Bogotá;99;5
297718363;2014;128;256;45071;27085;2;Bogotá;2;Bogotá;99;5
297718362;2014;132;280;24745;8096;2;Bogotá;2;Bogotá;99;5
297822336;2014;40;80;9510;5197;2;Bogotá;2;Bogotá;99;5
297717006;2014;54;65;12844;8097;2;Bogotá;2;Bogotá;99;5
297717021;2014;250;347;48970;48970;2;Bogotá;2;Bogotá;99;5
297717024;2014;75;115;18088;14985;2;Bogotá;2;Bogotá;99;5
297839796;2014;12;22;2988;1504;2;Bogotá;2;Bogotá;99;5
297818794;2014;25;28;3072;2993;2;Bogotá;2;Bogotá;99;5
283047;2014;24;68;6988;6782;2;Bogotá;2;Bogotá;99;5
297820580;2014;25;48;3198;1610;2;Bogotá;85;Yopal;99;5
452232;2014;29;93;3395;1348;2;Bogotá;2;Bogotá;99;5
297823158;2014;108;216;22041;22041;2;Bogotá;2;Bogotá;99;5
297718330;2014;43;43;6782;6523;2;Bogotá;2;Bogotá;99;5
297821918;2014;21;45;8128;756;2;Bogotá;2;Bogotá;99;5
297822767;2014;63;75;18679;12453;2;Bogotá;2;Bogotá;99;5
297822929;2014;41;105;8394;3731;2;Bogotá;2;Bogotá;99;5
297827029;2014;11;30;1950;720;2;Bogotá;91;Leticia;99;5
297821059;2014;25;52;3840;1280;2;Bogotá;91;Leticia;99;5
256628;2014;44;88;6933;3449;2;Bogotá;91;Leticia;99;5
297839502;2014;10;40;181;120;2;Bogotá;91;Leticia;99;5
297730495;2014;16;60;1629;1031;2;Bogotá;91;Leticia;99;5
297827899;2014;46;112;11843;5921;2;Bogotá;91;Leticia;99;5
297827887;2014;4;14;2113;2113;2;Bogotá;91;Leticia;99;5
441040;2014;18;54;9340;3892;2;Bogotá;91;Leticia;99;5
444211;2014;30;36;694;694;2;Bogotá;18;Villavicencio;99;5
297822054;2014;85;107;13346;8769;2;Bogotá;2;Bogotá;99;5
297819453;2014;45;102;6946;4685;2;Bogotá;2;Bogotá;99;5
450867;2014;24;68;10255;10137;2;Bogotá;2;Bogotá;99;5
441850;2014;38;117;33531;9263;1;Barranquilla;22;San Andrés;99;5
297823164;2014;20;23;3874;2182;2;Bogotá;2;Bogotá;99;5
297718671;2014;81;94;17179;16679;2;Bogotá;2;Bogotá;99;5
297821291;2014;42;85;17848;12848;2;Bogotá;2;Bogotá;99;5
297717025;2014;64;87;2822;1816;2;Bogotá;2;Bogotá;99;5
297821128;2014;95;139;20561;10281;2;Bogotá;2;Bogotá;99;5
297718298;2014;39;78;7456;6985;2;Bogotá;2;Bogotá;99;5
297826003;2014;64;98;16378;6048;2;Bogotá;2;Bogotá;99;5
297827332;2014;47;94;12821;10226;2;Bogotá;2;Bogotá;99;5
10211325;2014;12;22;1618;570;2;Bogotá;2;Bogotá;99;5
297824845;2014;17;32;2141;1814;2;Bogotá;91;Leticia;99;5
297840105;2014;8;18;72;50;2;Bogotá;91;Leticia;99;5
297825821;2014;8;31;246;241;2;Bogotá;91;Leticia;99;5
297827619;2014;12;36;1582;524;2;Bogotá;91;Leticia;99;5
297825685;2014;18;72;5116;1795;2;Bogotá;91;Leticia;99;5
297823003;2014;12;33;2766;1317;2;Bogotá;91;Leticia;99;5
297826634;2014;32;76;2892;2728;2;Bogotá;91;Leticia;99;5
297822047;2014;9;28;1218;420;2;Bogotá;91;Leticia;99;5
259709;2014;13;26;700;515;2;Bogotá;91;Leticia;99;5
297818963;2014;14;32;1905;824;2;Bogotá;91;Leticia;99;5
297840103;2014;13;45;255;102;2;Bogotá;91;Leticia;99;5
394762;2014;14;41;1520;495;2;Bogotá;91;Leticia;99;5
297833958;2014;16;39;396;350;2;Bogotá;91;Leticia;99;5
297823481;2014;8;41;1568;682;2;Bogotá;91;Leticia;99;5
