Nro_Orden_Establecimiento;Periodo;INSERTOT;CODSEDE;Sede;CODSUBSEDE;Subsede;NOVEDAD;ESTADO
442290;2014;698854;1;Barranquilla;22;San Andrés;99;5
125800;2014;182661;1;Barranquilla;1;Barranquilla;99;5
297826960;2014;1518000;2;Bogotá;2;Bogotá;99;5
297821378;2014;800000;2;Bogotá;18;Villavicencio;99;5
444265;2014;814730;3;Bucaramanga;10;Cúcuta;99;5
297822798;2014;1453046;6;Medellín;6;Medellín;99;5
297826670;2014;3092921;1;Barranquilla;1;Barranquilla;99;5
297826831;2014;3135311;1;Barranquilla;1;Barranquilla;99;5
297826723;2014;16828504;1;Barranquilla;1;Barranquilla;99;5
441900;2014;5629710;1;Barranquilla;9;Cartagena;99;5
297838192;2014;2630729;1;Barranquilla;1;Barranquilla;99;5
297826718;2014;16592010;1;Barranquilla;1;Barranquilla;99;5
297826953;2014;4135894;1;Barranquilla;1;Barranquilla;99;5
297826792;2014;3616077;1;Barranquilla;1;Barranquilla;99;5
297826898;2014;5850346;1;Barranquilla;1;Barranquilla;99;5
296886290;2014;3783248;1;Barranquilla;9;Cartagena;99;5
9816110;2014;2574243;1;Barranquilla;1;Barranquilla;99;5
9815988;2014;276929;1;Barranquilla;1;Barranquilla;99;5
297826722;2014;1084679;1;Barranquilla;1;Barranquilla;99;5
297827969;2014;1023700;1;Barranquilla;1;Barranquilla;99;5
297819041;2014;7189620;1;Barranquilla;1;Barranquilla;99;5
452218;2014;8264644;1;Barranquilla;1;Barranquilla;99;5
441772;2014;2141871;1;Barranquilla;1;Barranquilla;99;5
441802;2014;3288270;1;Barranquilla;1;Barranquilla;99;5
408986;2014;955370;1;Barranquilla;1;Barranquilla;99;5
441854;2014;1077908;1;Barranquilla;1;Barranquilla;99;5
10101150;2014;3562502;1;Barranquilla;1;Barranquilla;99;5
297827591;2014;3138093;1;Barranquilla;1;Barranquilla;99;5
10101152;2014;798430;1;Barranquilla;1;Barranquilla;99;5
10101153;2014;811578;1;Barranquilla;1;Barranquilla;99;5
10101289;2014;649642;1;Barranquilla;1;Barranquilla;99;5
10101290;2014;340338;1;Barranquilla;1;Barranquilla;99;5
297818562;2014;451375;1;Barranquilla;1;Barranquilla;99;5
297826799;2014;895927;2;Bogotá;2;Bogotá;99;5
297718659;2014;1748609;2;Bogotá;2;Bogotá;99;5
297826796;2014;2771514;2;Bogotá;2;Bogotá;99;5
297827958;2014;7246476;2;Bogotá;2;Bogotá;99;5
297827000;2014;5165535;2;Bogotá;2;Bogotá;99;5
414681;2014;3740128;2;Bogotá;2;Bogotá;99;5
382101;2014;2138683;4;Cali;15;Popayán;99;5
297826978;2014;15144291;2;Bogotá;2;Bogotá;99;5
297826677;2014;3522044;2;Bogotá;2;Bogotá;99;5
297826828;2014;11596962;2;Bogotá;2;Bogotá;99;5
297826830;2014;4517864;2;Bogotá;2;Bogotá;99;5
452491;2014;1682747;1;Barranquilla;9;Cartagena;99;5
9807355;2014;25261828;2;Bogotá;2;Bogotá;99;5
297826832;2014;5997374;2;Bogotá;2;Bogotá;99;5
297826833;2014;19715231;2;Bogotá;2;Bogotá;99;5
297826834;2014;17381229;2;Bogotá;2;Bogotá;99;5
452129;2014;1545028;2;Bogotá;2;Bogotá;99;5
9807356;2014;1827301;2;Bogotá;2;Bogotá;99;5
9807357;2014;2162959;2;Bogotá;2;Bogotá;99;5
297826941;2014;2069681;2;Bogotá;2;Bogotá;99;5
297826946;2014;10136076;2;Bogotá;2;Bogotá;99;5
297826982;2014;5570800;2;Bogotá;2;Bogotá;99;5
296886228;2014;18536508;1;Barranquilla;9;Cartagena;99;5
297826663;2014;2252761;2;Bogotá;2;Bogotá;99;5
297826985;2014;3726343;2;Bogotá;2;Bogotá;99;5
297826986;2014;7063772;2;Bogotá;2;Bogotá;99;5
297838044;2014;2700868;2;Bogotá;17;Tunja;99;5
409910;2014;2186985;5;Manizales;11;Ibagué;99;5
450883;2014;3747076;2;Bogotá;2;Bogotá;99;5
299303284;2014;24431214;2;Bogotá;2;Bogotá;99;5
337133;2014;4613652;2;Bogotá;2;Bogotá;99;5
75007;2014;584640;2;Bogotá;2;Bogotá;99;5
410376;2014;609457;1;Barranquilla;16;Santa Marta;99;5
296886229;2014;2758672;1;Barranquilla;16;Santa Marta;99;5
297718272;2014;3433555;2;Bogotá;2;Bogotá;99;5
297826922;2014;2469575;2;Bogotá;2;Bogotá;99;5
451251;2014;1129782;1;Barranquilla;9;Cartagena;99;5
451446;2014;1414746;1;Barranquilla;16;Santa Marta;99;5
455513;2014;36963452;2;Bogotá;2;Bogotá;99;5
9807403;2014;6074685;2;Bogotá;2;Bogotá;99;5
297730683;2014;2382577;2;Bogotá;2;Bogotá;99;5
296886232;2014;4357947;2;Bogotá;2;Bogotá;99;5
296886233;2014;3196536;2;Bogotá;2;Bogotá;99;5
296886234;2014;10661870;2;Bogotá;2;Bogotá;99;5
296886235;2014;4026728;2;Bogotá;2;Bogotá;99;5
296886236;2014;4697569;2;Bogotá;2;Bogotá;99;5
3834328;2014;4532624;2;Bogotá;2;Bogotá;99;5
297826903;2014;2814987;2;Bogotá;2;Bogotá;99;5
451463;2014;1423960;2;Bogotá;2;Bogotá;99;5
451466;2014;816362;2;Bogotá;2;Bogotá;99;5
297826734;2014;16727001;2;Bogotá;2;Bogotá;99;5
297826735;2014;23394630;2;Bogotá;2;Bogotá;99;5
452253;2014;16471021;2;Bogotá;2;Bogotá;99;5
296886239;2014;12595976;5;Manizales;11;Ibagué;99;5
452256;2014;2694368;2;Bogotá;2;Bogotá;99;5
297826882;2014;2650267;2;Bogotá;2;Bogotá;99;5
297826889;2014;13422917;2;Bogotá;2;Bogotá;99;5
297826988;2014;1897812;2;Bogotá;2;Bogotá;99;5
457978;2014;579067;2;Bogotá;2;Bogotá;99;5
297718280;2014;877357;2;Bogotá;2;Bogotá;99;5
451402;2014;437204;2;Bogotá;2;Bogotá;99;5
297826991;2014;922405;2;Bogotá;2;Bogotá;99;5
9807346;2014;1142110;2;Bogotá;2;Bogotá;99;5
9807408;2014;6054624;2;Bogotá;2;Bogotá;99;5
297826672;2014;1076513;2;Bogotá;2;Bogotá;99;5
297838058;2014;1558056;2;Bogotá;2;Bogotá;99;5
297827017;2014;1179564;2;Bogotá;2;Bogotá;99;5
297826791;2014;1417441;2;Bogotá;2;Bogotá;99;5
297826945;2014;1295804;2;Bogotá;2;Bogotá;99;5
297838050;2014;2452381;2;Bogotá;91;Leticia;99;5
299303287;2014;4340888;2;Bogotá;2;Bogotá;99;5
9815066;2014;1834680;2;Bogotá;2;Bogotá;99;5
450816;2014;2696820;2;Bogotá;2;Bogotá;99;5
74977;2014;416080;2;Bogotá;2;Bogotá;99;5
407032;2014;1922000;2;Bogotá;2;Bogotá;99;5
297826739;2014;3284708;2;Bogotá;2;Bogotá;99;5
