Nro_Orden_Establecimiento;Periodo;CODSEDE;Sede;CODSUBSEDE;Subsede;NOVEDAD;ESTADO
442290;2014;1;Barranquilla;22;San Andrés;99;5
125800;2014;1;Barranquilla;1;Barranquilla;99;5
297826960;2014;2;Bogotá;2;Bogotá;99;5
297821378;2014;2;Bogotá;18;Villavicencio;99;5
444265;2014;3;Bucaramanga;10;Cúcuta;99;5
297822798;2014;6;Medellín;6;Medellín;99;5
297826670;2014;1;Barranquilla;1;Barranquilla;99;5
297826831;2014;1;Barranquilla;1;Barranquilla;99;5
297826723;2014;1;Barranquilla;1;Barranquilla;99;5
441900;2014;1;Barranquilla;9;Cartagena;99;5
297838192;2014;1;Barranquilla;1;Barranquilla;99;5
297826718;2014;1;Barranquilla;1;Barranquilla;99;5
297826953;2014;1;Barranquilla;1;Barranquilla;99;5
297826792;2014;1;Barranquilla;1;Barranquilla;99;5
297826898;2014;1;Barranquilla;1;Barranquilla;99;5
296886290;2014;1;Barranquilla;9;Cartagena;99;5
9816110;2014;1;Barranquilla;1;Barranquilla;99;5
9815988;2014;1;Barranquilla;1;Barranquilla;99;5
297826722;2014;1;Barranquilla;1;Barranquilla;99;5
297827969;2014;1;Barranquilla;1;Barranquilla;99;5
297819041;2014;1;Barranquilla;1;Barranquilla;99;5
452218;2014;1;Barranquilla;1;Barranquilla;99;5
441772;2014;1;Barranquilla;1;Barranquilla;99;5
441802;2014;1;Barranquilla;1;Barranquilla;99;5
408986;2014;1;Barranquilla;1;Barranquilla;99;5
441854;2014;1;Barranquilla;1;Barranquilla;99;5
10101150;2014;1;Barranquilla;1;Barranquilla;99;5
297827591;2014;1;Barranquilla;1;Barranquilla;99;5
10101152;2014;1;Barranquilla;1;Barranquilla;99;5
10101153;2014;1;Barranquilla;1;Barranquilla;99;5
10101289;2014;1;Barranquilla;1;Barranquilla;99;5
10101290;2014;1;Barranquilla;1;Barranquilla;99;5
297818562;2014;1;Barranquilla;1;Barranquilla;99;5
297826799;2014;2;Bogotá;2;Bogotá;99;5
