Nro_Orden_Establecimiento;Periodo;C6GAA2ab;C6GAA1e;C6GAA2d;C6GAA2f;C6GAA2g;C6GAA2h;C6GAA2i;TOTALGAA;C6GAAB1a;C6GAAB1b;C6GAAB1c;C6GAAB1d;C6GAAB2a;C6GAAB2b;C6GAAB2c;C6GAAB2d;C6GAAB3a;C6GAAB3b;C6GAAB3c;C6GAAB3d;C6GAAB4a;C6GAAB4b;C6GAAB4c;C6GAAB4d;POTPSFR;C6AAC1d;POTPERM;C6AAC2d;POTTCDE;C6AAC3d;POTTCAG;C6AAC4d;POTPAU;C6AAC5d;POTTOT;C6AAC6dT;GPPSI;GPPER;GPPPSP;GPPPST;GPPCPO;GPPANO;GPPAVO;GPPGPA;GPPGPN;GPPTPOT;GPPPTA;C6AAC1bRPA;C6AAC2bRPA;C6AAC3bRPA;C6AAC4bRPA;C6AAC5bRPA;C6AAC6bRPA;C6AAC7bRPA;C6AAC8bRPA;C6AAC9bRPA;C6AAC10bTRPA;C6AAC11bRPA;C6AA12bPSAAA;CREE;CREE_B;CREE_SALUD;CREE_SALUD_B;CODSEDE;Sede;CODSUBSEDE;Subsede;NOVEDAD;ESTADO
442290;2014;0;0;0;0;0;0;0;0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;0;12;0;0;0;0;0;0;0;13;0;0;101605;26760;0;16730;7890;0;0;9230;162215;0;0;0;0;0;0;0;0;0;0;0;0;0; ; ; ; ;1;Barranquilla;22;San Andrés;99;5
125800;2014;0;0;0;0;0;0;0;0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2;0;8;0;1;0;0;0;1;0;12;0;0;68046;15252;11000;15923;6124;0;6160;0;122505;0;0;0;0;0;0;0;0;0;0;0;0;0; ; ; ; ;1;Barranquilla;1;Barranquilla;99;5
297826960;2014;0;0;0;0;0;0;0;0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;0;0;30;0;0;0;0;0;0;0;30;0;0;224876;53111;0;57024;15753;0;0;16416;367180;0;0;0;0;0;0;0;0;0;0;0;0;0; ; ; ; ;2;Bogotá;2;Bogotá;99;5
297821378;2014;0;0;0;500;0;0;0;500; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;0;0;15;0;0;0;0;0;0;0;15;0;0;115000;60000;0;26000;11000;0;0;0;212000;0;0;0;0;0;0;0;0;0;0;0;0;0; ; ; ; ;2;Bogotá;18;Villavicencio;99;5
444265;2014;0;0;0;0;0;0;0;0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;0;0;30;0;0;0;0;0;1;0;31;0;0;230500;50318;0;47091;20745;0;7392;23040;379086;0;0;0;0;0;0;0;0;0;0;0;0;0; ; ; ; ;3;Bucaramanga;10;Cúcuta;99;5
297822798;2014;0;0;0;0;0;0;0;0; ; ; ; ; ; ; ; ; ; ; ; ; ;b;31/03/2013;31/03/2016;0;0;0;0;0;0;26;0;0;0;26;0;0;0;0;0;0;0;0;0;0;0;275268;0;0;0;0;0;0;0;0;0;0;0;0; ; ; ; ;6;Medellín;6;Medellín;99;5
297826670;2014;0;0;0;0;0;0;0;0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;0;0;24;0;45;0;0;0;4;0;73;0;0;275013;109500;672583;95260;4520;0;19500;210535;1386911;0;0;0;0;0;0;0;0;0;0;0;0;0;24743; ;24743; ;1;Barranquilla;1;Barranquilla;99;5
297826831;2014;0;0;0;0;0;0;0;0; ;b;24/05/2013;22/01/2016; ; ; ; ; ; ; ; ; ; ; ; ;1;0;69;0;0;0;0;0;2;0;72;0;0;750944;331862;0;74478;22293;0;14784;31507;1225868;0;0;0;0;0;0;0;0;0;0;0;0;0;2508; ;2508; ;1;Barranquilla;1;Barranquilla;99;5
297826723;2014;0;0;1000;1000;0;0;0;2000; ;b;26/07/2006;25/07/2018; ; ; ; ; ; ; ; ; ; ; ; ;0;0;77;1;0;0;140;0;4;0;221;1;0;1549071;358778;0;238886;82133;0;21252;245073;2495193;2241011;0;2000;524;0;12;1;0;0;0;2537;0;0;0;0;59704;0;1;Barranquilla;1;Barranquilla;99;5
441900;2014;11345;1231;0;556;0;0;0;13132; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;1;34;2;0;0;0;0;3;0;38;3;0;291312;63564;0;48131;26218;0;15873;0;445098;0;0;15000;3497;0;2474;1348;0;0;0;22319;0;0; ; ; ; ;1;Barranquilla;9;Cartagena;99;5
297838192;2014;0;0;0;0;0;0;0;0; ;b;25/08/2004;28/08/2016; ; ; ; ; ; ; ; ; ; ; ; ;0;0;5;0;0;0;26;0;0;0;31;0;7884;171042;58297;0;33463;12052;0;0;35253;317991;591132;0;0;0;0;0;0;0;0;0;0;0;0;0; ; ; ;1;Barranquilla;1;Barranquilla;99;5
297826718;2014;0;0;0;0;0;0;0;0; ;b;31/08/2012;30/08/2015; ; ; ; ; ; ; ; ; ;b;31/03/2013;30/03/2015;0;0;158;1;0;0;5;0;7;0;170;1;472526;2160563;552143;0;350843;123314;0;38661;201530;3899580;278058;0;12845;2800;0;2847;1156;0;0;742;20390;0;0;132736; ;132736; ;1;Barranquilla;1;Barranquilla;99;5
297826953;2014;0;0;0;0;0;0;0;0;a; ; ; ; ; ; ; ; ; ; ; ;a; ; ; ;2;0;48;0;0;0;0;0;1;0;51;0;0;403620;226320;0;100790;4163;0;7392;0;742285;0;0;0;0;0;0;0;0;0;0;0;0;0;0; ; ; ;1;Barranquilla;1;Barranquilla;99;5
297826792;2014;0;0;0;0;0;0;0;0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;0;0;0;20;0;58;0;2;0;81;0;0;0;0;244764;30951;10611;0;14784;20371;321481;1232417;0;0;0;0;0;0;0;0;0;0;0;0;28929; ; ; ;1;Barranquilla;1;Barranquilla;99;5
