Nro_Orden_Establecimiento;Periodo;C3RHE3;C3RHE4;C4VERTIADAPT;C6GAA1f;TOTALAVERTI;C3RHD1PTRV;C3RHD2PPVP;C3RHD3PMSV;MULTAVERT;C3RHD4TGTV;C3RHB1TAR;C3RHB2a;C3RHB2b;C3RHB2c;C3RHB2d;C3RHB3a3A;C3RHB3b3A;C3RHB3c3A;C3RHB3d3A;C3RHB3eT3A;C3RHB3a3B;C3RHB3b3B;C3RHB3c3B;C3RHB3d3B;C3RHB3eT3B;TOTVERTIDA;C3RHB4VAL;CODSEDE;Sede;CODSUBSEDE;Subsede;NOVEDAD;ESTADO
297838192;2014;104604;0;12225;0;116829;0;66;0;0;66;NO; ; ; ; ;0;0;0;0;0;0;0;44188;0;44188;44188;0;1;Barranquilla;1;Barranquilla;99;5
297826718;2014;0;0;60;0;60;3045;1255;0;0;4300;SI;a; ; ; ;9195;0;0;0;9195;27584;0;0;0;27584;36779;57602;1;Barranquilla;1;Barranquilla;99;5
297826953;2014;0;1000;800;0;1800;76;1500;0;0;1576;SI;a; ; ; ;1022;0;0;0;1022;0;0;0;0;0;1022;1361;1;Barranquilla;1;Barranquilla;99;5
297826792;2014;0;0;0;0;0;434;0;0;0;434;SI;a; ; ; ;1682;0;0;0;1682;3701;0;0;0;3701;5383;7850;1;Barranquilla;1;Barranquilla;99;5
297826898;2014;0;2980;320;0;3300;9580;0;0;0;9580;SI;a; ; ; ;20580;0;0;0;20580;50676;0;0;0;50676;71256;115670;1;Barranquilla;1;Barranquilla;99;5
296886290;2014;0;0;0;0;0;528;0;0;0;528;NO; ; ; ; ;0;0;0;0;0;14202;0;0;0;14202;14202;30605;1;Barranquilla;9;Cartagena;99;5
9816110;2014;0;600;2800;0;3400;113;0;0;0;113;SI;a; ; ; ;1389;0;0;0;1389;1773;0;0;0;1773;3162;2036;1;Barranquilla;1;Barranquilla;99;5
9815988;2014;0;0;0;0;0;169;0;0;0;169;SI;a; ; ; ;608;0;0;0;608;1418;0;0;0;1418;2026;3031;1;Barranquilla;1;Barranquilla;99;5
297826722;2014;0;0;0;0;0;684;0;0;0;684;NO; ; ; ; ;0;0;0;0;0;8246;0;0;0;8246;8246;12322;1;Barranquilla;1;Barranquilla;99;5
297827969;2014;0;0;2887;0;2887;134;2236;0;0;2370;SI;a; ; ; ;861;0;0;0;861;1291;0;0;0;1291;2152;2488;1;Barranquilla;1;Barranquilla;99;5
297819041;2014;0;1200;400;0;1600;1244;800;0;0;2044;SI; ;b; ; ;9;0;0;0;9;15316;0;0;0;15316;15325;23773;1;Barranquilla;1;Barranquilla;99;5
452218;2014;0;0;1200;0;1200;1446;0;0;0;1446;SI;a; ; ; ;7059;0;0;0;7059;10590;0;0;0;10590;17649;26220;1;Barranquilla;1;Barranquilla;99;5
441772;2014;0;0;0;0;0;660;0;0;0;660;NO; ; ; ; ;0;0;0;0;0;7893;0;0;0;7893;7893;11800;1;Barranquilla;1;Barranquilla;99;5
441802;2014;0;0;0;0;0;933;0;0;0;933;NO; ; ; ; ;0;0;0;0;0;5872;0;0;0;5872;5872;9395;1;Barranquilla;1;Barranquilla;99;5
408986;2014;0;0;0;0;0;240;0;0;0;240;NO; ; ; ; ;0;0;0;0;0;2913;0;0;0;2913;2913;4394;1;Barranquilla;1;Barranquilla;99;5
441854;2014;0;5805;30463;0;36268;0;0;0;0;0;SI; ;b; ; ;0;0;16868;0;16868;0;0;0;0;0;16868;0;1;Barranquilla;1;Barranquilla;99;5
10101150;2014;0;0;0;0;0;35;0;0;0;35;NO; ; ; ; ;0;0;0;0;0;11235;0;0;0;11235;11235;16586;1;Barranquilla;1;Barranquilla;99;5
297827591;2014;0;0;0;0;0;20;245;0;0;265;NO; ; ; ; ;0;0;0;0;0;3169;0;0;0;3169;3169;4923;1;Barranquilla;1;Barranquilla;99;5
10101152;2014;0;0;0;0;0;310;0;0;0;310;NO; ; ; ; ;0;0;0;0;0;3702;0;0;0;3702;3702;5534;1;Barranquilla;1;Barranquilla;99;5
10101153;2014;0;1754;0;0;1754;8997;0;0;0;8997;SI; ; ; ;d;10402;0;0;0;10402;0;0;0;0;0;10402;6267;1;Barranquilla;1;Barranquilla;99;5
10101289;2014;0;0;0;0;0;96;0;0;0;96;NO; ; ; ; ;0;0;0;0;0;4048;0;0;0;4048;4048;4110;1;Barranquilla;1;Barranquilla;99;5
10101290;2014;500;0;0;0;500;233;0;0;0;233;NO; ; ; ; ;0;0;0;0;0;2792;0;0;0;2792;2792;4174;1;Barranquilla;1;Barranquilla;99;5
297818562;2014;0;0;600;0;600;105;0;0;0;105;SI;a; ; ; ;0;0;6599;0;6599;0;0;0;0;0;6599;0;1;Barranquilla;1;Barranquilla;99;5
297826799;2014;0;2160;0;0;2160;214;0;0;0;214;SI;a; ; ; ;307;0;0;0;307;2758;0;0;0;2758;3065;4835;2;Bogotá;2;Bogotá;99;5
297718659;2014;1235;0;895;0;2130;166;0;0;0;166;SI;a; ; ; ;629;0;0;0;629;1756;0;0;0;1756;2385;3720;2;Bogotá;2;Bogotá;99;5
297826796;2014;0;0;0;0;0;299;0;0;0;299;NO; ; ; ; ;0;0;0;0;0;5594;0;0;0;5594;5594;8944;2;Bogotá;2;Bogotá;99;5
297827958;2014;0;0;4365;0;4365;857;0;0;0;857;SI; ;b; ; ;3658;0;0;0;3658;8535;0;0;0;8535;12193;19000;2;Bogotá;2;Bogotá;99;5
297827000;2014;0;0;0;0;0;361;0;0;0;361;NO; ; ; ; ;0;0;0;0;0;5285;0;0;0;5285;5285;12542;2;Bogotá;2;Bogotá;99;5
414681;2014;0;1078;0;0;1078;540;0;0;0;540;SI;a; ; ; ;2324;0;0;0;2324;5422;0;0;0;5422;7746;12155;2;Bogotá;2;Bogotá;99;5
382101;2014;0;0;0;0;0;433;0;0;0;433;NO; ; ; ; ;0;0;0;0;0;6800;0;0;0;6800;6800;5782;4;Cali;15;Popayán;99;5
297826978;2014;0;0;5960;0;5960;1937;0;0;0;1937;SI;a; ; ; ;8287;0;0;0;8287;19338;0;0;0;19338;27625;43486;2;Bogotá;2;Bogotá;99;5
297826677;2014;0;0;0;0;0;316;0;0;0;316;NO; ; ; ; ;0;0;0;0;0;4511;0;0;0;4511;4511;7078;2;Bogotá;2;Bogotá;99;5
297826828;2014;0;3800;4700;0;8500;673;0;0;0;673;SI;a; ; ; ;2886;0;0;0;2886;6734;0;0;0;6734;9620;15276;2;Bogotá;2;Bogotá;99;5
297826830;2014;0;65;1170;0;1235;417;0;0;0;417;SI;a; ; ; ;1856;0;0;0;1856;2785;0;0;0;2785;4641;8314;2;Bogotá;2;Bogotá;99;5
452491;2014;0;0;0;0;0;275;0;0;0;275;NO; ; ; ; ;0;0;0;0;0;7401;0;0;0;7401;7401;15949;1;Barranquilla;9;Cartagena;99;5
9807355;2014;0;0;12500;0;12500;2593;0;0;0;2593;SI; ;b; ; ;12600;0;0;0;12600;23400;0;0;0;23400;36000;63648;2;Bogotá;2;Bogotá;99;5
297826832;2014;0;700;3800;0;4500;444;0;0;0;444;SI;a; ; ; ;1260;0;0;0;1260;5042;0;0;0;5042;6302;9697;2;Bogotá;2;Bogotá;99;5
297826833;2014;0;0;0;0;0;3433;0;0;0;3433;SI;a; ; ; ;7357;0;0;0;7357;41694;0;0;0;41694;49051;75440;2;Bogotá;2;Bogotá;99;5
297826834;2014;0;0;19320;0;19320;1714;0;0;0;1714;SI; ;b; ; ;15688;0;0;0;15688;8800;0;0;0;8800;24488;38629;2;Bogotá;2;Bogotá;99;5
452129;2014;0;250;3420;0;3670;253;0;0;0;253;SI;a; ; ; ;1616;0;0;0;1616;6466;0;0;0;6466;8082;13501;2;Bogotá;2;Bogotá;99;5
9807356;2014;0;1000;2450;0;3450;260;0;0;0;260;SI;a; ; ; ;408;0;0;0;408;3304;0;0;0;3304;3712;5917;2;Bogotá;2;Bogotá;99;5
9807357;2014;0;4200;500;0;4700;403;0;0;0;403;SI;a; ; ; ;568;0;0;0;568;5162;0;0;0;5162;5730;9097;2;Bogotá;2;Bogotá;99;5
297826941;2014;0;0;0;0;0;219;0;0;0;219;NO; ; ; ; ;0;0;0;0;0;3538;0;0;0;3538;3538;5600;2;Bogotá;2;Bogotá;99;5
297826946;2014;0;600;100;400;1100;946;100;0;0;1046;SI;a; ; ; ;3525;0;0;0;3525;17302;0;0;0;17302;20827;19696;2;Bogotá;2;Bogotá;99;5
297826982;2014;0;3574;0;0;3574;1551;0;0;0;1551;SI; ;b; ; ;7775;0;0;0;7775;14440;0;0;0;14440;22215;35115;2;Bogotá;2;Bogotá;99;5
296886228;2014;0;0;0;0;0;971;0;0;0;971;NO; ; ; ; ;0;0;0;0;0;25784;0;0;0;25784;25784;55564;1;Barranquilla;9;Cartagena;99;5
297826663;2014;0;1602;0;0;1602;291;0;0;0;291;SI; ;b; ; ;2062;0;0;0;2062;2143;0;0;0;2143;4205;6602;2;Bogotá;2;Bogotá;99;5
297826985;2014;2800;0;4500;0;7300;466;0;0;0;466;SI;a; ; ; ;2642;0;0;0;2642;3963;0;0;0;3963;6605;10110;2;Bogotá;2;Bogotá;99;5
297826986;2014;0;900;0;0;900;1000;0;0;0;1000;SI; ;b; ; ;3696;0;0;0;3696;11088;0;0;0;11088;14784;22738;2;Bogotá;2;Bogotá;99;5
297838044;2014;0;0;0;0;0;0;0;0;0;0;NO; ; ; ; ;0;0;0;0;0;9011;0;0;0;9011;9011;7074;2;Bogotá;17;Tunja;99;5
409910;2014;0;900;200;0;1100;0;0;0;0;0;SI;a; ; ; ;0;8289;0;0;8289;0;0;0;0;0;8289;9118;5;Manizales;11;Ibagué;99;5
450883;2014;0;0;1200;0;1200;269;0;0;0;269;SI;a; ; ; ;1206;0;0;0;1206;2813;0;0;0;2813;4019;6309;2;Bogotá;2;Bogotá;99;5
299303284;2014;0;0;20300;5000;25300;3078;0;0;0;3078;SI; ;b; ; ;39460;0;0;0;39460;0;0;0;0;0;39460;63728;2;Bogotá;2;Bogotá;99;5
337133;2014;0;0;4200;0;4200;342;0;0;0;342;SI;a; ; ; ;12;0;0;0;12;4866;0;0;0;4866;4878;5232;2;Bogotá;2;Bogotá;99;5
75007;2014;0;0;0;0;0;77;0;0;0;77;NO; ; ; ; ;0;0;0;0;0;1114;0;0;0;1114;1114;1749;2;Bogotá;2;Bogotá;99;5
410376;2014;0;650;3400;0;4050;0;0;0;0;0;SI;a; ; ; ;0;0;840;0;840;0;0;0;0;0;840;0;1;Barranquilla;16;Santa Marta;99;5
296886229;2014;0;2400;5950;0;8350;0;0;0;0;0;SI; ;b; ; ;0;0;8732;0;8732;0;0;0;0;0;8732;0;1;Barranquilla;16;Santa Marta;99;5
297718272;2014;0;0;0;0;0;809;0;0;0;809;NO; ; ; ; ;0;0;0;0;0;11555;0;0;0;11555;11555;18403;2;Bogotá;2;Bogotá;99;5
297826922;2014;0;0;1270;0;1270;284;0;0;0;284;SI;a; ; ; ;406;0;0;0;406;3656;0;0;0;3656;4062;6560;2;Bogotá;2;Bogotá;99;5
451251;2014;0;0;0;0;0;68;0;0;0;68;NO; ; ; ; ;0;0;0;0;0;1829;0;0;0;1829;1829;3905;1;Barranquilla;9;Cartagena;99;5
451446;2014;0;4100;1630;0;5730;0;0;0;0;0;SI;a; ; ; ;0;0;7877;0;7877;0;0;0;0;0;7877;0;1;Barranquilla;16;Santa Marta;99;5
455513;2014;5345;9948;0;0;15293;6706;1363;0;0;8069;SI; ;b; ; ;45898;0;0;0;45898;49724;0;0;0;49724;95622;153951;2;Bogotá;2;Bogotá;99;5
9807403;2014;0;0;0;0;0;7890;0;0;0;7890;NO; ; ; ; ;0;0;0;0;0;41525;0;0;0;41525;41525;182710;2;Bogotá;2;Bogotá;99;5
297730683;2014;0;0;0;0;0;480;0;0;0;480;SI;a; ; ; ;3465;0;0;0;3465;13864;0;0;0;13864;17329;27726;2;Bogotá;2;Bogotá;99;5
296886232;2014;0;0;0;0;0;21;0;0;0;21;SI; ;b; ; ;0;69800;0;0;69800;0;0;0;0;0;69800;0;2;Bogotá;2;Bogotá;99;5
